#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-2.468560822897e+00,-2.753502183787e+00, 3.697061546227e+00,                  B,-4.572204528553e-01,-4.072495311863e-01,-1.305750747080e+00
                  B,-1.327475027590e+00,-2.802159621539e+00,-3.070286703962e+00,                  A,-1.038340567617e+00,-7.545973180797e-01, 1.472069192082e+00
                  A, 1.557853666381e+00,-1.072418885971e-02,-9.525759815855e-02,                  B, 2.538008354570e+00, 8.724741744315e-01,-3.188056051784e-01
                  B, 2.101670517081e+00, 1.196619486133e-01, 6.743718814825e-01,                  A, 1.673822779589e+00, 3.268938927587e+00,-8.064316812264e-01
                  A,-1.912421373694e+00,-3.433032674776e-01, 1.181762674950e-02,                  B, 8.227113049774e-01, 6.791373889792e-01,-1.422329692195e+00
