#         p0 flavor,              p0 x0,          p1 flavor,              p1 x0
                  B, 1.035731113673e+00,                  A,-1.705869478306e+00
                  A, 2.053979570923e+00,                  B, 2.053065536670e-02
                  B, 9.574279638299e-01,                  A,-2.748153089579e+00
                  A,-5.099283257762e-01,                  B,-1.391982455924e+00
                  B, 1.495970656574e+00,                  A,-2.737659221567e-01
