##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    A, -6.2081545399735e-01,  1.5065795852481e+00,  1.0141894502979e+00,                    B,  1.8326337542436e+00, -6.5243050607222e-01, -7.5328557149957e-01,                    B,  5.2088185422147e-01, -3.0829135978130e-01, -1.1077047079469e+00,                    A, -2.1197716664669e-01,  4.3484518428638e-01, -1.7819039757810e+00,                    A,  1.0187494081174e+00, -3.9235357225343e-02,  3.4813920848140e-01,                    B,  9.4553836149392e-02, -7.2957920697526e-01,  5.9634873471510e-02
                    B,  1.6028965232145e+00,  1.5445390762010e+00, -1.1851915130434e+00,                    B, -3.4311962746043e+00, -6.7005636238430e-01,  1.1855823112364e-01,                    A, -2.0243219720622e+00,  7.4107922685841e-02,  2.0490593247075e+00,                    A, -1.1233206645045e-01, -5.1253271247189e-02,  7.5772138337931e-02,                    B,  2.4277899076694e-01,  1.2952269573447e+00,  1.6217648569720e+00,                    A,  9.4139814727282e-01, -7.0860357427662e-01,  1.1105665031636e+00
                    B,  2.0226680052817e+00,  5.8652791512017e-01,  2.3585500008462e+00,                    B,  6.5327029586110e-01,  2.4297677113915e+00, -1.0504770775503e+00,                    A,  2.8014325774263e-01, -5.1390776624120e-01,  1.6760910716599e+00,                    A, -1.2384273358456e+00,  2.3215410570057e+00, -1.3906621035740e+00,                    A, -7.4487186765319e-01,  5.3828883502329e-01, -7.4552949453590e-01,                    B, -1.2403388229530e+00, -1.5745281791871e+00,  2.3516385221408e+00
                    B, -2.5480145552394e-01, -7.4442287542631e-01,  1.4788437032643e+00,                    A, -2.9147116255654e-01, -2.8975294347301e+00, -1.1085947723515e+00,                    B, -2.3409707698664e+00, -1.5745556123503e-02, -2.3492723616316e+00,                    A,  8.0301129288447e-01,  2.0684245435737e+00,  8.5638509604989e-01,                    A, -7.3123565939171e-01, -1.8067389934079e-01,  1.5281645249396e-01,                    B, -3.0000333864904e+00, -8.2027649584321e-01,  1.6676098968678e+00
                    A, -3.8756612500883e-01,  1.4483755536363e+00,  5.3596737594325e-01,                    A,  1.4158051070570e+00, -1.1212461031290e+00, -1.1894028682670e-01,                    B, -2.5433402678971e-01, -1.2817499574881e+00,  2.6909761859335e-01,                    A,  1.1899013976834e+00, -1.1977044777753e-01,  9.1846780643444e-01,                    B,  1.2020735716498e+00,  1.3090254996072e+00, -1.2248637412500e+00,                    B, -6.2098399944603e-01, -1.9782061192837e+00, -1.5467587406470e+00
                    B,  5.6075901929185e-01, -3.0910029776656e+00,  8.3909509606964e-01,                    A, -1.1608145158897e+00,  8.4606468379384e-01, -1.6047109413391e+00,                    B,  1.1665251906563e+00, -6.1774722315688e-01, -1.6057436246668e-01,                    A,  6.7659669845599e-01,  2.0532129616994e+00, -1.0095749382566e+00,                    A, -8.1181851961975e-01,  8.1427942848277e-01, -2.1244999733718e-01,                    B, -9.3796506443385e-01,  7.8713136509767e-01,  1.0247707842039e+00
                    B,  1.1652581081183e+00, -3.9550326083476e-01,  6.3368070265895e-01,                    A, -1.8917915376088e+00, -1.6691063786983e+00,  3.9769257700684e-01,                    A, -1.2787424116771e+00,  9.4468194644806e-01,  7.4006948006770e-01,                    B, -9.0114531535235e-01, -1.7082848881125e+00, -7.4606063921327e-01,                    A,  7.1445129301273e-01,  1.0235162347800e+00,  7.2390117484659e-01,                    B,  1.7777420935897e+00,  6.2843400839277e-01, -9.0203039036700e-02
                    A,  9.4400880694445e-04, -3.0530797153596e-01,  1.8209751672018e+00,                    A,  5.0548599277480e-01,  5.7163997323579e-02, -1.0024498273235e-01,                    B, -2.5933456424507e+00,  8.6566656268098e-01,  9.1096422409352e-01,                    B, -1.0600214888331e-01, -1.2205629661567e+00, -9.4335739250031e-01,                    B, -1.1691248169938e+00, -1.3793353511925e-01,  4.8538639298003e-01,                    A,  1.0347382594611e+00,  1.4443280347338e+00,  1.4781383910866e+00
                    B, -1.5520380240916e-01, -1.1460307956102e+00, -1.8565072527293e+00,                    A, -5.8436651730947e-01, -1.0883984685719e+00,  2.2202499036258e+00,                    B,  5.1748870865436e-03,  7.6197609632663e-01,  9.6825863873375e-01,                    A,  1.2995792872219e+00,  1.7390946662524e-01,  1.5524324085835e+00,                    B,  1.9969682908007e+00, -9.2639415359987e-01,  1.6174183046555e+00,                    A,  1.1189072092362e+00, -3.7572603806523e-01, -5.3172252727346e-01
                    B, -3.4333317621458e-01,  2.8065226325351e-01,  4.2632765190090e-03,                    A,  2.5533967253815e-01, -1.0805524631979e+00, -5.1020321844403e-02,                    A, -2.8413576345113e-01,  2.0595261843309e+00, -7.9420418993967e-01,                    B,  2.8689722923643e-02,  6.2751316182343e-01,  1.1640419378139e+00,                    A,  1.0759962451212e+00, -1.1584176372764e+00, -1.0096300409558e+00,                    B,  1.3523498450228e+00,  2.8836529044157e-01,  2.5144896024145e+00
