#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  B, 9.676422798152e-01, 2.959052083096e+00, 2.723819439742e-01,                  A,-6.460031682215e-01,-1.959747644054e-01,-3.940844603911e+00,                  B,-1.422959074855e+00,-3.197221600207e-01,-6.007419637468e-01,                  A, 6.616699095997e-01,-2.873991312230e-02, 4.888972165495e-01,                  B, 1.815626447763e-01,-2.297174829214e+00, 3.136604394234e+00,                  A, 2.363991427488e+00, 2.994705605486e-01,-1.101931203408e+00
                  B,-1.832284220780e-01,-1.392424332023e+00, 1.282570435511e+00,                  B, 9.486817069431e-01,-2.023945441087e+00,-1.181118926321e+00,                  A,-4.600654979095e-01, 9.497853639382e-01,-1.036580900840e+00,                  A,-4.544691856123e-01,-3.099730091463e-01, 2.401533477128e+00,                  B, 1.067077877642e+00,-4.247623551554e-01,-5.931386162954e-01,                  A, 4.875583237706e-01,-2.994978871140e+00,-1.614101309902e-01
                  B,-7.940575742621e-01,-2.712008012272e+00, 5.885458146229e-01,                  A,-2.752479333156e+00, 1.198787792178e-01,-3.252866726790e+00,                  B, 1.514508782641e+00, 1.000841600309e+00,-1.256981054945e+00,                  B, 2.483706698678e+00,-7.248129133757e-01, 7.536953021344e-01,                  A, 2.115672464172e-01,-2.032313055948e-01, 1.298639554860e+00,                  A,-2.197058815190e+00,-4.749173136688e-01, 1.427904167852e-01
                  B, 9.527715547298e-01, 1.476654523181e-02,-5.281941148670e-01,                  A, 1.677530469251e-01, 1.644604078514e+00,-1.043794481852e+00,                  B,-1.806546295722e+00,-5.620161424998e-01,-1.765438671223e+00,                  A,-2.650390563804e-01,-3.994607380447e+00,-8.382425322578e-01,                  A, 7.806018513087e-01, 2.099562065505e+00,-3.874216880612e-01,                  B, 6.466813858808e-01,-5.197816984468e-01, 1.160696117967e+00
                  B,-2.093833834560e+00, 6.458793342589e-01,-2.119654482024e+00,                  A, 5.152100682940e-02, 5.095196493404e-01, 5.647341968401e-01,                  B, 4.105274300538e-01,-7.703630783929e-01,-3.329909365266e+00,                  A,-1.895368207751e+00,-4.974268876936e-01,-9.820053722721e-01,                  A, 9.789363287342e-01, 1.190728212998e+00, 1.148552676862e+00,                  B, 3.211612035870e+00,-9.139406039665e-01,-9.529823301157e-01
