##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    A, -1.1082100118798e+00,  2.3118201974687e+00, -2.0151772293233e+00,                    B, -2.1644433634529e+00,  1.8049042069086e-01, -1.2986356509632e+00
                    B, -2.1601162136394e+00, -2.4205801521075e+00, -1.1919124271830e+00,                    A,  6.5379987564196e-01, -8.5270710462131e-01,  1.7546831404535e+00
                    B, -7.8274189004532e-01,  8.3089878818672e-01,  8.6947775078010e-01,                    A,  1.8542728133922e-02, -6.2465185576276e-01, -1.4912288412890e+00
                    B, -1.2973139680618e+00,  5.2838523163160e-01,  1.9145787083135e+00,                    A, -2.3644722726600e-01, -9.4257641676665e-01,  6.6369250741633e-01
                    B,  4.4068700837538e-01, -1.2949012395374e-01, -8.2754860847262e-01,                    A,  2.3408536131000e+00,  1.2250012542343e+00,  6.2904736452199e-01
                    A,  1.3332405347607e+00, -4.6961263252699e-01, -1.4406123805569e+00,                    B,  3.5306776695689e+00,  3.2642702655432e-01, -1.4621172405873e+00
                    A, -4.7393792872583e-01,  4.8254055056689e-01,  1.8973658284366e-01,                    B, -1.0370062477352e+00, -9.4542316523176e-01, -6.0137912157746e-02
                    A,  2.6144923440807e+00,  1.0928308988813e-01, -5.1938698591387e-01,                    B, -5.1486699179949e-01, -1.5906273182665e-01, -1.4807885507423e+00
                    A, -6.7687062568026e-01, -1.3994159238380e-01, -1.4641835279677e+00,                    B,  9.9266387381050e-01, -8.7293343338084e-02,  1.5038469046278e+00
                    B, -6.8235273528481e-01, -5.2829591747450e-01, -1.6961572567590e-01,                    A, -3.2234486459102e-01, -2.4274587546271e+00,  2.7425197834902e+00
