##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -9.5350631883223e-01, -2.5507865703490e+00,  6.0394721064515e-01,                    A,  4.8585853216520e-01, -1.7184637328738e+00,  8.6281047295441e-01,                    A,  3.0294102899942e-01,  2.0140441791820e+00,  5.4037688824226e-01,                    A,  5.6344022460710e-01, -3.3316454984742e+00, -1.3773691181049e+00,                    A, -9.1406138827949e-01, -2.2134128150125e+00, -2.1689786192009e+00,                    B,  3.2580583035013e+00, -7.0844084536285e-02, -1.0169769567375e+00,                    B, -7.8125004009199e-01,  2.6650953817976e+00,  3.2735876736281e-01,                    B,  1.2176758588388e+00, -6.6597043173937e-01, -1.9194126699294e+00
                    A,  1.8787016498317e+00,  2.1154442706620e-01, -2.0656290173272e+00,                    B, -3.3837561351589e-02,  1.8123289453098e+00, -1.8433072154865e+00,                    B, -4.9998365523591e-01,  3.0753743803538e+00,  9.9191968409553e-01,                    A, -3.2209489284845e-01, -1.9894156938413e-01,  8.7397483137181e-01,                    B, -3.0947826612809e-01, -4.4832159148425e-01, -9.7591995128186e-01,                    A,  1.5766130943019e+00,  9.0154362750926e-01,  1.2227071012307e+00,                    B, -1.2803157169218e-01, -1.4100701668896e+00,  1.6651928768974e+00,                    A,  1.2876659167497e+00, -5.0200500434812e-01,  2.8692327353539e-01
                    B, -1.3142805658524e+00,  2.9307595806142e+00, -1.8100458953063e+00,                    A, -7.7024609323817e-01,  4.8384312226325e-01, -1.3443005697707e+00,                    A,  7.2870710215810e-01,  2.0196427156322e+00, -8.2379309522434e-01,                    B,  1.2401027108977e+00,  3.9896380931320e-01, -1.8216660684368e+00,                    A,  1.4879533743101e+00, -1.5363036556821e-01,  2.0354611970085e+00,                    B,  9.3478304816898e-01, -5.8054540298110e-01, -2.2125128667530e+00,                    B,  1.2762871005480e+00, -1.3049179009184e+00, -1.4921361585586e-01,                    A, -2.5487865654614e+00,  1.1262468201721e+00, -2.2430595937906e+00
                    B, -1.9667524169758e+00, -1.7169899189431e-01, -1.2799528905625e+00,                    A,  6.7942210822565e-01,  3.2244935192048e-01,  2.0711522967819e+00,                    A, -2.0773384105850e+00, -8.8319170265614e-01,  2.2563538326696e+00,                    B, -1.7880480047041e+00,  1.4192292547273e+00,  3.3856466799391e-01,                    B, -1.0825937128802e+00, -3.4326862155189e+00, -1.0522768197041e+00,                    A,  1.0298817885008e+00, -3.3133557891182e+00,  1.3427049453044e+00,                    B, -2.3637243457133e+00, -8.9708357663884e-01,  3.4711237087623e-01,                    A,  5.2801231647883e+00,  2.0522366323745e+00,  4.4926843992675e-01
                    B,  2.9865860065342e+00, -5.2073987858657e-01,  2.2129468695631e+00,                    B,  1.5553621557457e+00,  1.5945970485987e+00,  1.3496661835185e+00,                    A, -5.1989464720466e-02,  2.5438449586277e+00, -8.9139227584701e-01,                    A, -2.8580137313169e+00,  7.6904417865922e-01, -1.6690425986471e+00,                    A, -4.6208982097007e-01, -9.4607633143611e-01, -4.8876151999020e+00,                    A, -1.8013430309738e+00, -2.3068032490112e+00,  8.8563437172682e-01,                    B,  1.4281788469009e+00, -1.3106527083601e+00,  6.2096817156493e-01,                    B,  2.0708501188731e+00,  6.1302022561562e-01,  2.0054859628331e+00
                    B, -9.8476762135158e-01, -4.6331816403254e-01, -6.1015537028894e-01,                    A,  1.3676131932163e+00,  1.7869727127556e+00, -1.7325317831933e+00,                    B,  4.6263645573086e-01, -4.1952571004538e-01,  9.3077984100631e-01,                    A,  1.2462382657866e+00,  1.7694788656966e-01, -5.0030397709535e-01,                    B, -2.8256292468372e+00,  1.9326644053837e-01,  7.7737334214921e-01,                    A,  3.7703905557101e+00, -1.6816536382494e-01, -1.7664329540314e+00,                    B, -8.5246260380711e-02,  2.4808874993304e+00,  1.3219988836676e+00,                    A, -2.6772924171653e-01,  2.8243742900328e+00,  4.1489699923265e-01
                    A, -1.6205399634496e+00,  2.4835159599622e-01, -3.0255718386663e-01,                    A,  1.8836963201013e+00,  2.7147809295124e+00, -3.7509350742860e-01,                    A, -3.9849213858490e-01, -1.3038792052887e+00,  3.3613321875170e-01,                    B, -9.3748417476394e-01, -2.2891224167634e+00,  4.6653188561637e-01,                    B, -1.4230040295106e+00,  1.6072044348901e+00, -2.3176940812489e+00,                    A,  1.6562868980925e+00, -2.1608120073217e+00, -1.9837942812254e+00,                    B,  1.8096618073281e+00,  1.7360785818069e-02,  8.7695170012700e-01,                    B,  8.1166293401497e-01, -1.8070696738580e+00,  1.5199661940372e+00
                    B,  1.4549244991234e+00,  2.7119455342997e-02, -1.9131876599719e-01,                    B, -3.8401012694998e-01, -2.3796421900915e+00, -1.0198545072579e+00,                    A, -2.3653574897250e+00, -1.2238006020565e+00,  8.8796322055027e-01,                    A,  7.7429634611059e-01,  3.1530148557853e+00, -3.9159335130902e-02,                    A,  5.2635853114353e-01, -9.4193640288927e-01, -2.0871738369164e+00,                    A,  3.8080101101984e-01, -2.5923081453687e-01,  1.8726478085230e+00,                    B, -2.6203139804940e-01,  3.4285243465032e-01, -3.5416395644892e-01,                    B,  5.5184629159396e-01, -1.3894514692365e+00,  2.5792542843514e-01
                    B, -7.6057402219995e-01,  3.1579860249253e+00, -6.8734552659318e-01,                    B,  1.1023716550939e-01,  3.8090247282225e+00,  1.3208888965495e+00,                    B, -6.5266699255303e-02,  2.1006233815903e-01,  3.0560664856656e-01,                    B,  1.0273038449511e+00,  1.1374078180762e+00, -8.7690572707140e-01,                    A, -6.8230812600731e-01,  1.1217707768313e+00,  4.2512810954507e-01,                    A,  1.6823675527272e+00,  1.3249661230637e-01,  2.3545097907836e+00,                    A,  6.8528237607721e-01, -7.2006926148018e-03, -1.4755701330640e+00,                    A, -1.7417190173825e+00,  1.5397169518558e+00, -2.8851849422790e-01
                    B,  1.6909280827096e+00,  1.8622407838494e+00, -1.2977587116778e+00,                    B, -6.5858078665561e-01,  1.8698289575832e+00,  1.8630766996958e+00,                    A,  2.3466720062347e+00, -1.1137797874872e+00,  1.7618146935820e+00,                    A,  1.9308307759564e+00, -8.4357877934212e-01,  5.3894782695577e-02,                    A, -1.5594429856581e+00,  3.5675358629970e-01,  2.9137051072673e+00,                    B, -1.1223097076038e+00, -1.3675917775500e+00,  1.8686850068038e+00,                    A, -1.1685412429131e+00,  2.5111521767219e+00, -8.9972927956953e-01,                    B, -7.6263945625817e-01, -2.2506062601289e+00, -4.3608728526804e+00
