##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  3.6420063284434e-01,  1.4781481523649e+00,  7.9427140776595e-01,                    A,  7.4384816386248e-01,  8.9591942374126e-02, -2.0914408069948e+00,                    A,  1.8983223384606e+00, -9.9295683888877e-01,  8.3617277162242e-01,                    A, -5.1576672271567e-01, -8.9017426835598e-01,  2.0636081795146e+00,                    A,  2.2576347401944e-01, -1.2408852791613e+00,  1.0919296775550e+00,                    B, -1.2114379321613e+00,  7.9553177091549e-01, -1.3756712713655e-01,                    B, -1.2734400516564e+00,  1.9975843572881e+00, -1.9329022273453e+00,                    B,  1.4389056359729e-01, -1.0739270741545e+00, -9.3688156521549e-01
                    A,  4.1066535474740e-01,  2.2595114804904e-02, -1.2970855702098e+00,                    A, -1.0010988147199e+00,  9.3505595331035e-01,  1.0649161343349e+00,                    A,  1.5686232665799e+00,  5.1248541914212e-01,  1.1734922236223e+00,                    B, -1.4949877695546e+00,  7.3814746175708e-01, -4.7115147658312e-01,                    A, -1.3262631741237e+00, -2.6906718017223e-01,  6.2780610837652e-01,                    B,  3.0709188622773e-01,  1.0075898875965e+00,  3.3171376889016e-01,                    B,  2.3917356369448e-01, -9.7468927177355e-01, -1.6965940278945e+00,                    B,  8.4205289231771e-01, -4.7205965663318e-01,  1.0382552197071e+00
                    B, -2.9053568365391e-01, -1.4473561936355e-01,  1.9828977320638e-01,                    A,  5.9251190545420e-01, -2.9438978230624e+00,  5.4129557295293e-01,                    B, -5.5401852435772e-01,  1.6042029839018e+00,  4.7246868984344e-01,                    B, -8.3447005430959e-01,  4.6481600690343e-01, -1.4128163274711e+00,                    A,  2.9183523619641e-01,  6.8259294718172e-01,  7.2836880964754e-01,                    A, -1.3494051158908e+00,  1.5473649899653e+00,  2.6814757229427e+00,                    B,  8.7538703987933e-01, -1.2484503968536e+00,  1.0728812573712e+00,                    A,  1.7304852188008e-01,  1.0588540150373e-01, -9.0079311056524e-01
                    A,  1.9685722385187e+00, -1.7473749244178e+00, -1.6567388014873e+00,                    A, -1.7357951910041e-02, -1.5374608163708e+00,  8.7889968218821e-01,                    B,  3.0160458992170e+00, -3.1540245206140e-01,  6.7442197147247e-01,                    B,  5.9665925172933e-01,  5.9806149786307e-01, -6.9026057369167e-01,                    B, -1.8716225895971e+00,  2.7119285665506e-01,  6.8289490642563e-01,                    B, -1.5023702471775e+00, -1.6173172056187e+00,  4.2871598388746e-01,                    A,  1.4098320635301e+00, -8.7828581300336e-01,  6.5102681914595e-01,                    A,  4.2866751562124e-01,  4.0793620634654e-01,  1.2032086385237e+00
                    A, -9.0234941786421e-01, -7.5739325580191e-01, -1.8391035337677e+00,                    A,  3.8775050434871e-01,  1.7939056626845e+00,  5.4809313352334e-01,                    B,  2.6791763812055e+00,  3.2430494625838e-02,  4.2819673268350e-01,                    A, -2.1045130908102e+00,  1.3953796137770e-01,  6.9330695981398e-01,                    B, -3.5901816050425e-01,  2.0116966568980e+00, -2.3793278540150e-01,                    B, -9.9259028927157e-01,  1.1027288151711e+00,  2.1667620372313e-01,                    B,  1.0444150744240e-01, -1.2035649489514e+00, -3.3739232048551e-01,                    A,  1.6928147225788e+00,  9.4769094882380e-01, -3.7328248559639e-01
                    B,  8.1884046728613e-01, -4.2069718737755e-01,  1.0466666379377e+00,                    B, -2.6578776028274e-01, -5.1943108855537e-01, -2.7886196348519e+00,                    A,  7.2921976820720e-01, -7.8213356968818e-01, -4.4933751295884e-01,                    A, -1.6801962247729e-01,  1.3629916124742e+00,  1.5344520701127e+00,                    B,  2.3867789160100e-01, -2.0548782318569e+00,  2.2580553042561e-01,                    B, -1.4570729098177e+00,  8.3766703210357e-01, -2.8095526992146e-01,                    A, -9.3244821878756e-01, -1.2766903059749e+00,  1.4689743897652e+00,                    A, -5.1028590139236e-01,  3.9244242339288e-02, -1.3814571902706e+00
                    A,  9.0285577330590e-01, -9.2143944763529e-02,  1.4938151931215e-01,                    A,  9.2637361745789e-01,  1.2568899215446e+00, -9.8303942017254e-01,                    A, -5.0867450803737e-01, -1.8085216840414e+00,  1.2649411331972e-01,                    B,  1.6176122400487e-01,  3.4199447724120e+00,  8.1875957821357e-01,                    B, -6.5264926100659e-01, -4.4324186463648e-01, -8.0921959937443e-02,                    B, -6.6063509525993e-01, -1.3647559100131e+00,  1.7219091616229e+00,                    A,  1.4406291113475e-01,  1.4436439401959e+00,  2.4855209948084e-01,                    B, -4.7914646329372e-01,  7.3923066788863e-01, -1.7754901476562e+00
                    B, -1.4502777664304e+00,  5.5782384250411e-01,  1.0661023093620e+00,                    B, -6.7899989835375e-01,  1.8600625112918e+00, -2.1428272360597e-01,                    B,  1.5570265032850e+00, -6.3088203318108e-01,  1.1534710646602e+00,                    A, -4.9953040578861e-01, -9.5048465601445e-01,  9.6447061168765e-01,                    A,  9.9909483120008e-01,  7.1045304114168e-02,  5.7704379180575e-01,                    B,  2.0408738437462e-01, -7.5268050569937e-01, -3.7249652406142e-01,                    A, -2.8081258442406e-01,  3.9567443722007e-01,  2.0813399032810e+00,                    A,  2.8388580493903e-01,  9.9834508243064e-01,  6.5069185623223e-01
                    A, -4.2625238200503e-01,  4.3270853537168e-01,  4.5337348265781e-01,                    A,  1.6521677039733e-01, -3.6890769643291e-01, -2.0588880963435e+00,                    B,  3.0330462874478e-02, -6.0267913368332e-01,  2.3111176430310e+00,                    A,  8.4422644370670e-01,  1.5476272496888e+00, -7.0870103527609e-01,                    B, -3.1549827822149e-01, -9.5485498685671e-01,  4.9401103196350e-01,                    B,  1.3886863658385e+00,  1.3981380111216e+00,  7.0802805162254e-01,                    A,  1.9147002130914e+00, -1.1560193011835e+00,  7.3267621111197e-01,                    B, -1.8575276838831e+00, -7.3526950904694e-01,  2.4936378691289e+00
                    A, -7.1475700410413e-01, -9.0748508846834e-01, -1.0747338183071e-01,                    B,  3.3401750863722e+00,  1.3472205315923e+00, -2.2872390462140e-01,                    B,  1.0084652477214e+00, -2.4283357342452e-01, -1.3757289758819e-02,                    B,  1.1211065985358e+00,  8.8418763579097e-01, -1.6954475643685e+00,                    A, -2.3063388075422e+00, -7.8565681387051e-02,  3.6962229437444e-01,                    A, -2.7936775702108e+00, -8.1752656374436e-01,  1.6639026841912e+00,                    A, -3.1366976634514e-01, -1.2620089105438e-01,  9.7365828263381e-01,                    B, -9.7781498541564e-01,  6.9219222105809e-01,  8.6646429099781e-02
