##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2,            p8 flavor,                p8 x0,                p8 x1,                p8 x2,            p9 flavor,                p9 x0,                p9 x1,                p9 x2,           p10 flavor,               p10 x0,               p10 x1,               p10 x2,           p11 flavor,               p11 x0,               p11 x1,               p11 x2
                    B, -3.9908225780634e+00,  1.0683057615392e+00, -8.6412535729910e-01,                    B,  1.6040563120102e+00, -3.9661362487710e+00, -2.2721457926678e-01,                    A, -6.2746203135146e-01, -1.1178125316876e+00,  9.4171124366008e-01,                    A, -7.6036571754392e-01, -1.6504646187544e-01,  2.4401695357831e+00,                    A, -1.1114603855193e+00, -2.4162014632328e+00, -5.1321720706835e-01,                    B,  5.3808050047266e-01,  2.8131389327011e-01, -2.6683497809709e+00,                    B,  7.2565986033129e-01, -3.6163765027310e+00,  3.4381415374109e-01,                    A,  3.0354908817854e+00,  2.8953241749966e+00,  2.5081573405331e+00,                    A, -2.7435546349043e+00, -4.0768965543043e+00,  2.4116274784438e+00,                    B, -1.1828336853132e+00, -1.8345142928686e+00,  2.8066978799989e+00,                    B,  4.6249310172814e+00, -1.1763540224430e+00,  3.0501176373909e+00,                    A, -1.8725861603612e+00,  1.0490584251467e+00,  3.5982687907760e+00
                    A,  3.8286365902165e+00, -1.7862389647485e+00, -3.0044608764751e-01,                    A,  1.5783664073641e+00, -3.0138276758818e-01,  1.2151992772773e+00,                    B, -1.0773508690868e+00, -2.0626092748980e+00,  1.8288167638806e+00,                    A, -6.8933840506305e-01,  2.1661539165302e+00, -8.2691110435582e-01,                    B,  4.0577945106374e-01, -1.8952389571866e+00, -7.5903846966190e-03,                    A,  3.4544892353225e-02, -7.1683646143256e-01, -6.5476628739223e-01,                    B,  1.1581519437831e+00,  3.0058872144277e+00, -3.2428464470293e+00,                    B,  8.5455543225576e-01, -7.0034956287241e-01,  3.1608216745962e+00,                    B, -1.6176011353641e-01,  6.5998630355999e-01,  2.7374721784595e-01,                    B,  6.4818646638223e-01, -1.6110147478447e+00, -2.6396485958990e+00,                    A,  1.0906675986624e+00,  1.0116471820794e+00, -4.1609266696165e+00,                    A, -1.8592094928589e+00,  4.2930498268556e-01, -4.7457078322391e+00
                    A, -2.1134796623671e+00, -2.0953119004808e+00,  1.7718695768485e+00,                    A, -4.2375094117809e-01, -2.7739747883404e+00, -2.0032116445296e+00,                    A,  1.3949445057125e+00,  1.9638338727890e+00,  1.8698046045754e+00,                    B, -1.8321838340025e+00,  2.9228196485685e+00,  1.6206634483864e+00,                    B,  8.9971053555615e-01, -2.1925247831515e+00,  1.8747440570657e+00,                    B,  4.8524455701883e+00, -2.4020119869226e+00, -3.1655304685162e+00,                    A,  1.0700615246619e-01, -2.0107147324228e+00, -8.5113082262234e-02,                    B, -3.3796025105173e-01, -5.0948883287157e-02, -2.5672963202634e-01,                    B,  4.1572478498683e+00,  2.0977454156216e+00,  1.6225320393547e+00,                    B, -1.7131564254260e+00,  1.1967916607327e+00, -3.1380590516319e+00,                    A, -4.0670892557653e+00,  8.1928807980099e-01, -2.5159428119714e-02,                    A, -2.1549914602153e+00, -8.5890302438754e-01, -4.0122588832171e+00
                    B,  3.5248979289190e+00,  2.3607662988789e+00, -3.0788448985212e+00,                    B, -1.4028155301227e+00, -3.8795330837779e-01,  1.5787171252737e+00,                    A, -2.2379365919527e+00, -2.0834145282861e+00,  2.8626231591095e+00,                    A, -9.9760158427325e-01, -5.0316127920583e-01, -6.0304947184510e-01,                    A,  2.1858421732115e-02, -1.8173943459243e+00,  1.3877421965340e+00,                    B, -1.5569250054289e+00, -6.0023728765185e+00, -1.5422437144906e+00,                    B,  3.0805356142650e-01, -1.0913552680643e+00,  4.2044155807219e+00,                    A,  2.1574800157266e+00,  2.0396812554636e+00, -1.8106278886162e+00,                    B, -9.4647732734529e-02, -6.8146500990816e-01,  6.3484115162792e-01,                    A,  3.6585946892894e+00,  2.5123302457847e+00,  3.8810408005820e+00,                    A,  2.5626197825497e+00, -1.1689844462984e+00, -1.9062645843978e+00,                    B, -2.6143425484493e+00,  3.1983815610106e+00,  2.5205523911653e+00
                    A, -1.4521132116166e+00, -4.0652420760144e+00, -1.1785367990061e+00,                    B,  1.3781955151743e+00,  8.7825814618009e-01, -1.7190698693850e+00,                    B,  3.7743067997427e+00,  2.6604412718512e+00,  1.1351734838478e+00,                    A, -2.3392663538179e+00, -5.8586209334767e-01,  2.1713317318868e+00,                    A, -1.0548215489353e+00,  8.7944049682818e-01,  2.4651998327756e+00,                    B,  4.1369472922830e-01, -8.4644417540824e-01,  1.8763512457345e+00,                    A, -3.8653548043037e+00,  4.1696222900021e+00, -1.0520484222780e+00,                    A,  2.7236348291832e+00,  1.4448946151482e+00, -7.6254575814654e-01,                    A, -3.3544854257490e+00,  4.2446932917953e-01,  1.2653365040461e+00,                    B, -1.8063511545034e+00, -2.7548621245192e+00, -1.3458158487122e+00,                    B, -3.5427227056507e-01,  9.5255918438525e-01,  6.1490523991440e+00,                    B,  1.5752576236221e+00, -3.7643386788092e+00,  6.0649839346748e-01
                    B, -1.4949883902867e+00,  3.4192896163374e+00,  1.6105824399489e+00,                    A,  1.2459951028811e+00,  3.4659841409884e+00, -3.6078152874073e-01,                    B, -1.6433692968868e+00, -1.1641054629803e+00, -1.0819593670313e-01,                    A,  7.9272335498568e-01,  1.7271312241443e-01,  8.7177461210452e-02,                    A,  8.1345108017952e+00,  5.6399613280896e-01, -3.1157221156523e-01,                    A,  2.7371867224481e+00,  2.7907079379948e+00, -3.2113417369673e+00,                    B, -1.1869950169084e+00,  5.2861354220560e+00,  4.5750194214413e-02,                    B, -2.0231100561667e+00,  2.1711556249982e+00, -8.2933691950389e-01,                    A,  3.7487222494009e-01, -3.3887202454886e-01, -9.7372451620114e-01,                    B, -1.4801172876232e+00, -2.1246795933175e+00, -3.5852295804070e-01,                    A,  1.0770890456300e+00, -1.4945560371601e+00,  9.2493257021037e-01,                    B, -2.3615164491618e-01,  4.9811492199354e-01,  4.1913233994861e+00
                    A, -4.1817787200340e+00, -1.9988060686144e+00, -4.0445919117419e+00,                    B, -4.5795550844079e-01,  1.1197311461742e+00,  4.1181461052204e+00,                    B,  1.6588081314246e+00, -4.8844350374293e+00, -8.9402556963322e-01,                    B,  2.1795247848265e-01,  3.2036784179326e+00, -1.4981135134500e-01,                    B, -2.5385969213249e-01,  1.3970375876231e-01, -2.3223337207747e+00,                    A, -1.0864932762966e+00,  2.1470932294236e+00, -1.2245014327219e+00,                    A, -2.0164715117381e+00, -3.3600748052143e-01,  4.1774810134338e+00,                    B, -1.5406960589831e-01, -1.9376136141328e+00,  3.4311829809119e-01,                    B,  1.2003375639662e+00,  8.5790557324736e-01, -8.9604147306681e-01,                    A, -2.8217126808640e-01,  2.5876154424012e+00,  6.3561063392203e+00,                    A, -1.5735416356941e+00,  2.5957978012508e-01,  2.2211524727506e+00,                    A, -2.0652471040167e+00, -3.4944675813176e+00, -1.1599318481740e+00
                    A, -3.0517235016027e+00,  1.1698690259382e-01,  1.1609703440139e+00,                    B,  1.7568109717935e+00, -1.5192224963036e+00, -5.8356883169228e-01,                    B, -5.1805234544839e+00, -1.8873626207372e+00, -1.6112461083057e+00,                    A,  4.4547134321692e+00, -3.1196523473005e-01, -2.3210299453653e+00,                    B,  1.5601177146831e+00,  1.0977481344619e+00, -2.4593624495070e+00,                    A,  6.5321394986641e-01,  8.6540015673902e-01, -2.9459689862583e+00,                    A, -1.3614143760957e+00, -9.5669080647850e-01,  3.8809999567346e+00,                    A,  4.7601060994607e-01, -9.0815204832470e-02,  2.5109137002688e+00,                    B,  2.4366699224193e+00, -5.0156504928523e+00, -4.2709150943357e-01,                    B,  3.4650183120590e+00, -7.2579305894483e-02,  2.3294599754347e+00,                    A, -2.5005596550141e+00, -8.6049560590070e-03, -3.8057602281465e+00,                    B,  1.2503097080171e+00,  2.8852160469024e+00,  1.2627718728434e+00
                    B,  3.7635550174109e+00,  8.3593070297397e-01,  1.7823648335978e-01,                    A,  6.3679185184386e+00,  9.2555404777206e-01,  2.3957632583137e+00,                    A, -5.8726390015551e-01,  1.0979418510144e+00,  4.8847030153386e-01,                    B,  6.7335286949290e-01, -6.0853666378640e-01, -1.4094685611025e+00,                    A, -3.0634079418391e+00, -1.3232777789127e+00,  1.3136807474399e+00,                    A, -2.0329535719645e+00,  3.4369431834782e-01,  4.5064409441789e+00,                    B,  3.0481579864895e+00,  3.2241107420368e+00, -8.1699061953011e-01,                    B,  3.1025034770738e+00, -2.6725453898139e+00, -3.0233028772527e+00,                    A, -6.4320596157712e-02, -1.9524188980168e-01,  3.3266560839714e+00,                    B, -1.6971781056855e+00,  1.2364098229950e+00,  1.5774536805389e+00,                    A,  2.5880910259560e+00,  1.5686566777734e+00,  2.2247243210721e+00,                    B, -1.6620568819102e+00,  4.9874765573067e+00, -8.3251056581455e-01
                    B, -2.3042460886072e+00, -1.0352005464869e-02,  3.2378492649578e-02,                    B,  3.1746071817775e+00,  3.5118019740606e+00, -5.9696534053236e-01,                    A, -2.6512871965132e+00, -5.0551972373243e-01, -1.4870368066621e+00,                    A, -6.3529570334208e-01,  7.8750033766164e-01, -3.6416110138390e-01,                    B, -2.2301000788820e+00, -1.6453941466854e+00,  1.7965737974225e+00,                    A, -1.8340760497902e+00,  1.8470901870205e+00,  6.7483221635454e-01,                    B,  1.4901823554275e+00,  1.7744467839236e+00, -1.3515383056075e+00,                    A,  1.2031419102459e+00, -3.6666858399343e+00, -4.7654272332172e+00,                    A,  7.1472375949691e-01, -6.0314052941129e-01, -2.7928894058601e+00,                    B,  3.9938437572936e-01,  3.8568614355122e+00,  4.9630530093268e-01,                    B, -2.3551004702577e+00, -2.8920315012128e+00,  5.4699085848127e-01,                    A, -1.6680744245560e+00,  1.4042505957584e+00, -2.6501127593170e+00
