#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 5.212044100866e-01,-8.046031500968e-01, 1.060985404344e+00,                  B,-5.206576019157e-01,-2.850367272081e+00, 7.067624482447e-01,                  B, 2.472429698858e+00,-7.919983866629e-01,-3.066388817329e-01,                  A, 1.671096654736e+00, 2.220233090235e-01, 1.472552228453e+00,                  A, 1.212309332909e+00,-5.399856975785e-01,-1.757418546347e+00,                  B, 1.353834206960e-01, 9.125968064038e-01, 1.963928051617e+00,                  A, 8.772908288972e-01, 1.910970067913e+00, 3.995373768627e-02,                  A, 8.441697525786e-01, 9.458547936714e-01,-1.612729691348e+00
                  B,-7.975506402160e-01,-6.947973125600e-01,-1.854690922918e+00,                  A,-1.155740071310e+00,-2.110572786886e+00,-1.817390149428e+00,                  B,-1.726852356191e+00, 9.311540058964e-01,-1.531667772759e-01,                  A,-3.994908624793e-01,-1.584634063724e-01, 2.070749308735e+00,                  A,-5.950981098382e-01, 8.360341423790e-01,-2.157215859889e+00,                  B,-1.574681455566e+00,-1.297730328610e+00, 8.592524064537e-01,                  B, 6.623936194960e-01, 7.878348718487e-01,-3.641582350802e-01,                  A, 1.813750428599e+00, 2.023871585019e+00, 1.319453403318e+00
                  A, 1.383127088334e+00,-6.955917175334e-01, 1.250124962381e+00,                  B, 1.531250926831e+00, 8.629925706795e-01, 2.462837456173e+00,                  B, 6.029060443995e-01,-1.734674407301e+00, 6.213578129350e-01,                  A, 2.621970814399e+00,-3.073755307002e-01,-3.213801746824e-01,                  B, 6.610848848296e-01, 3.770178652234e-02,-9.504253285124e-01,                  A, 1.899162879923e+00, 1.711257198679e-01,-8.319072317347e-01,                  A,-4.294205548072e-01,-2.837774875943e-01,-2.130234080997e+00,                  B,-1.527221341666e+00, 1.155397196747e+00,-2.612143994967e-01
                  A, 2.680352145581e-01,-5.368982552853e-01,-7.528641539425e-01,                  B,-2.921498982133e+00, 7.103219677220e-01,-7.864512197702e-01,                  A, 1.320661141848e+00,-1.386721295069e+00,-1.656881028558e+00,                  A,-2.406094277401e-01, 2.131118210117e+00, 3.749861802154e-01,                  B, 2.895709932302e-01,-7.518901830656e-01, 4.484607397995e-01,                  B, 5.815725916472e-01,-2.678335479629e+00,-1.566426932975e-01,                  A,-7.200389858573e-01,-1.389216232689e+00,-2.912673303157e+00,                  B, 2.617324735145e+00, 5.924306475836e-01,-6.924686176151e-02
                  A,-1.368532153953e-01,-1.144073532308e+00, 1.713325715485e+00,                  B, 6.427197786595e-01,-5.292119770730e-01, 8.345740263285e-01,                  A, 5.002067944031e-01, 4.758910217229e-01,-2.418113230963e+00,                  B, 1.516314138540e+00, 4.508469021867e-02,-4.288912782949e-01,                  A, 5.486998379483e-01,-1.940057594400e+00, 5.105300599775e-02,                  A,-6.167226873258e-01,-1.984257883107e+00,-1.497994021886e-01,                  B,-3.167182981188e+00,-4.245780787691e-01, 1.578109131205e+00,                  B,-1.210243323772e+00,-4.245308793340e-01, 1.018123658009e+00
