##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  1.8180402555339e-02,  2.4802207733223e+00, -1.3665345956233e+00,                    A,  1.9838040332069e+00,  6.4720953446315e-01,  5.7668519290543e-01,                    B, -1.0511277174400e+00, -2.7364354505811e-01,  6.4056986138288e-01,                    A, -1.3797392226716e+00, -2.3220448888325e+00, -8.2037030613338e-01,                    B,  5.2871816496107e-01, -8.9073967109478e-01, -1.6193929606944e+00,                    A,  1.8398663865457e+00, -2.8345113135741e+00, -9.9804339100189e-01,                    B,  1.4058868739844e+00,  6.8320754852556e-02, -1.6393077650897e+00,                    B,  1.8468399928020e-02, -2.6228240037232e+00,  1.7067862572088e+00
                    A,  1.2789124896449e+00,  9.5769886111531e-01, -1.3651266202371e+00,                    A, -2.5149057567485e+00, -4.0267611223812e-01,  6.1882907202928e-01,                    B, -1.3907705489171e+00,  3.0044080353513e+00, -7.2029286437209e-01,                    A, -2.9027805070495e+00,  7.0403881984876e-01, -1.9070668921720e+00,                    B,  9.7007804001191e-01,  3.0525291428036e+00, -9.4717934186354e-01,                    B, -6.8409583074286e-01,  1.6758274477835e+00,  1.0068090396508e-01,                    A,  1.5739896713082e-01,  1.3879922382429e-01,  8.3380055149873e-01,                    B,  1.3536582111997e+00, -7.3712284671019e-01,  1.4406660043926e+00
                    A,  2.9480865388050e+00, -6.3801028686201e-01, -4.1357189224830e-01,                    A, -1.5423351078692e+00,  2.4599230357397e+00, -2.1637943848397e-01,                    A,  1.5420671083783e+00, -3.7233311050398e-02, -3.7920975275801e-01,                    B, -1.7863324109467e+00, -5.7540699873621e-01,  2.3100542856816e+00,                    A, -2.3074998644357e+00,  2.2098131310765e-01, -2.4382998266156e+00,                    B,  1.0971273581000e+00,  1.5221547986603e-01,  1.1196873105299e+00,                    B, -1.6919893806708e+00, -1.6733251983274e+00, -4.1578212631001e-01,                    B, -8.6942648573748e-01,  1.7362117535278e+00, -1.9877032088544e+00
                    B, -1.3034824652031e+00,  1.5652754074629e+00, -1.7311275088704e+00,                    B, -1.9644942421715e+00,  1.3752312229044e+00,  1.1748607631694e+00,                    A,  2.3543978599370e-01, -1.6387641568052e+00, -7.1719815665222e-01,                    A,  3.0537101930092e+00, -2.2306577655856e+00, -1.7682451573565e+00,                    B,  1.1853597148052e+00, -2.7978975060365e+00,  1.5915361785078e+00,                    A, -1.0156525660346e+00, -1.6678153817840e+00, -2.5282573848060e+00,                    B, -3.0944636611892e+00,  1.5333627031920e+00,  3.0883128697545e-02,                    A,  4.0275438243376e-01,  2.2468395893928e+00,  3.9615040833675e-02
                    B, -1.5733223702262e+00,  1.6796573463332e+00, -1.6100901765331e+00,                    B,  1.6359127075386e-01, -2.1585308510337e+00, -3.6981620132266e-01,                    B,  2.1865844454603e+00,  1.6064256611013e+00,  1.1678590998291e+00,                    A, -1.2854894887571e+00, -4.9765983263544e-01,  5.1334134268475e-03,                    B,  9.7596555138279e-01, -2.1549480844416e-01, -3.1778228691904e+00,                    A, -2.4874795080382e-01, -8.0041739048977e-01,  9.7066024070301e-01,                    A, -1.2572122459576e-01, -2.8281588896451e+00,  8.5066495802549e-01,                    A,  3.5974823400142e+00,  4.5331732288619e-01, -1.7443015726628e+00
                    A,  1.9529115309800e+00, -5.7426399674972e-01, -4.4711606768026e+00,                    B,  3.2623900259193e+00,  1.0773999008553e+00, -8.7756170468175e-01,                    B,  8.4457735536995e-01,  1.2585662771438e-01, -2.5530060642615e+00,                    A,  1.4959932845083e+00,  5.5138654123939e-01, -1.9997617822937e-02,                    B,  4.7368160370851e-01,  1.1730798574020e+00,  2.4830308252636e+00,                    A, -2.2306537198931e+00, -2.4482158854362e+00, -3.8757661857730e-01,                    A, -3.0182168060189e+00,  1.0206864005491e+00, -4.7832550600409e-01,                    B,  2.7579788278417e+00,  2.1642604242088e+00, -1.5165109781063e+00
                    B, -5.1664625078508e-01, -3.2361414477610e+00,  1.7145571279039e+00,                    B,  2.6574079686506e-01, -2.5424190472405e-02,  5.7514764528133e-02,                    A, -1.9312324947335e+00,  3.8783608328148e-01, -3.2951656021691e-01,                    A,  2.3714028425806e+00,  3.5307896462079e-01,  1.0525069542883e+00,                    B, -3.1307658346282e+00, -1.3652634441501e+00, -1.1593472576429e+00,                    A, -6.1479086882017e-01, -8.5993646229726e-01, -2.9899854214821e+00,                    A, -2.2562619543220e-01,  2.3183607538329e+00,  1.0133023346104e+00,                    B,  5.9373737745582e-02,  8.4732793382826e-01, -2.8793079737496e+00
                    B,  2.4770903516250e+00, -1.0971605175353e+00, -8.1332385933846e-01,                    B, -3.2269493466364e-01, -5.5138365608225e-01,  9.0287890283027e-01,                    A,  1.1641105809476e+00,  3.1665409357288e+00, -2.7493656253311e+00,                    B,  2.4711711557597e+00,  2.6155699298770e+00,  9.9661114136318e-01,                    A, -5.4672043931423e-01,  4.9067932755251e-01, -8.3835280530979e-01,                    A, -3.9715198555895e-01, -1.2230416810226e+00, -1.4583319883761e+00,                    A, -3.3826849280374e+00, -5.5743444713502e-01,  1.0075554785527e+00,                    B,  3.2995795741996e-01,  1.4427623752130e+00, -1.2821211261478e+00
                    B, -4.7196766680028e+00,  9.7233636617445e-02,  3.7968607947894e+00,                    B, -8.7674158592888e-01, -1.2276544137793e+00,  1.0072666677828e+00,                    A,  7.1553146756038e-01,  8.4408710444028e-01, -2.4354877771020e+00,                    A,  2.2231706242490e+00, -2.2083007019239e+00,  3.4812392905065e-01,                    B, -1.5374031775534e+00, -2.6870089527117e+00, -1.4188131992764e-01,                    A,  1.7715162893501e-01, -2.2218626722973e+00, -1.8162675604756e-01,                    B,  3.6161188973443e-01, -8.0968915257477e-01, -4.7124249606303e-01,                    A,  3.1926368260391e-01,  1.8973800405764e+00,  2.4972840929354e+00
                    B, -1.2457328720109e+00, -1.5773302167052e+00,  1.4787054261962e+00,                    A,  3.9169178678325e-01, -8.1729361856045e-01, -6.5072997966066e-01,                    A,  1.3596039385218e+00,  3.1644284264494e+00, -7.6787263886130e-01,                    B,  1.4215847423271e+00,  1.5883471599652e+00, -2.2587401060336e+00,                    A,  1.3594250424424e+00,  1.2783819467040e+00,  1.2353479127687e-01,                    A, -1.1843886348922e-01,  3.9311993094323e+00,  2.2037517291114e+00,                    B, -3.5334544919393e+00, -2.8977434232871e-01,  1.1136422858127e+00,                    B,  3.1974700675580e-01, -2.2301179716551e-01,  1.3585766257138e+00
