##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -1.0969163408808e+00, -3.9788818505794e+00,  1.4629948228437e-01,                    A, -2.7837178916927e+00, -2.3628576583081e+00,  8.8272419171366e-01,                    B,  3.8862979532423e+00,  1.0377006539213e-01, -2.1157049667423e+00,                    A,  7.0200387577516e-01,  2.3700115249570e+00, -1.2313186335338e+00,                    A,  2.5144596272042e-01, -2.0043472503046e+00, -8.0217704263945e-01,                    B, -3.5562053745844e-01, -1.5278209668196e-01,  8.6077539912504e-01,                    B, -2.1176500271301e-01, -3.1035647335022e+00,  2.0897938147525e-01,                    B, -1.1701359925397e+00,  3.0788760693152e-01, -1.0884472434767e+00
                    B,  1.2322118433809e-01, -1.8671871037954e+00,  1.0266424346142e+00,                    A,  5.5106551723593e-01, -1.2166667136683e-01,  7.1366060617982e-01,                    B,  1.3521668937769e+00,  7.2823210649251e-01,  1.3554269743417e+00,                    A,  2.6338763046972e+00, -1.7507625803200e+00, -1.1720017755395e+00,                    B,  3.9828256812934e-01, -1.1059163799412e+00, -1.9468992391097e+00,                    A,  1.9130757472980e+00, -8.4450538683578e-01,  2.7444704393069e-01,                    B,  1.7584794771773e+00, -1.5454579462294e+00,  7.9758331459759e-01,                    A,  1.5089495311624e+00, -3.5476241131130e+00,  1.9778043825033e-01
                    B,  1.8924282010485e+00, -1.3229634047335e+00, -1.0379426423940e+00,                    A, -8.2661091462564e-01, -6.4179384245022e-01, -8.9957649067787e-01,                    B,  2.1805719215100e+00, -4.0852922615095e+00, -1.4989087759983e+00,                    B, -2.2684734817828e+00, -3.7177993668096e+00,  3.0189454248385e+00,                    B,  4.8636391901611e-01,  1.5217775654951e+00, -1.0964727762392e+00,                    A,  1.7158515165888e-01, -9.4866737962028e-01,  2.0588008144447e+00,                    A, -1.1170318786680e+00,  2.3623045390843e+00, -4.4844140774135e-01,                    A,  1.7920368835294e+00, -8.0697911268358e-02, -1.4139938204906e+00
                    A,  2.6724436365268e+00, -2.6910782176743e+00,  1.0793987400160e-01,                    B, -2.2609442170398e+00, -7.5154527385672e-02,  2.4510291339371e+00,                    B, -2.6200234065125e-01, -1.2927021136068e+00,  7.5464100086770e-01,                    A, -2.0039295393301e+00, -3.1206179849260e-01, -5.9948661186116e-02,                    A,  1.9098382089232e-01,  3.1125902567575e+00, -5.4973521587032e-01,                    B,  1.0770518071050e+00,  1.4506722057759e-01,  4.6825300848386e-02,                    A, -1.9891580080529e+00,  2.7720827898343e+00,  2.2092878247341e+00,                    B,  4.1262039794515e+00, -1.6107170962805e+00, -1.7609469829579e+00
                    A,  3.0245728661880e+00,  3.3221558954719e+00, -1.1483503783849e+00,                    A, -4.4120159590565e-01,  1.2989624529051e+00, -6.6312317934057e-02,                    A, -6.6422694212943e-01, -5.1890364771456e-01, -2.2960415684873e+00,                    B, -1.6748083426409e+00,  5.3426820647507e-01,  1.0542047657716e+00,                    B, -1.2920095495822e+00, -3.0762217368295e+00, -1.3704097931573e+00,                    B, -7.1948446504250e-01,  2.4550655310945e+00, -1.1762667126273e+00,                    A,  6.8481766871713e-01, -1.4443823551256e+00, -2.7736216962979e+00,                    B,  2.0894413344936e+00, -7.5624536379844e-01,  2.1800791444625e+00
                    A,  4.7187703775605e-01, -8.4296450594459e-01,  4.3847418506578e-01,                    A, -1.7969967648520e+00,  1.3694629160579e+00,  3.6819454337440e-01,                    A,  8.2086155163704e-01,  1.1127399540033e+00,  2.7308103923369e+00,                    B, -7.2668635229813e-01,  2.5049486847728e-01, -2.0301297248158e-01,                    B,  6.0785562428834e-01,  1.0216103519522e-01, -1.7523639384500e+00,                    B,  3.0840101972961e-01, -1.3378683853579e+00, -2.0644437346982e+00,                    B, -4.5620112031024e-01, -2.8060269346868e+00,  8.0578202228440e-01,                    A,  7.8322792735369e-01,  5.5795491809592e-01,  2.0387364442379e-01
                    A, -1.4268682912577e+00,  1.8114157682070e+00,  1.4906650099683e-01,                    B, -1.0763590424548e+00,  2.1352269320880e-01, -9.2541456573592e-01,                    B,  1.2390403840067e+00, -1.4505004686245e+00, -4.0053330697857e-01,                    A,  2.1189626358352e-01, -7.2774218534420e-01, -2.1577395901076e+00,                    A, -1.8407184730802e+00, -2.3710635656771e+00, -1.8073309797007e+00,                    B,  1.3497441238164e+00, -3.5537767234926e-01,  2.2825835491318e+00,                    A, -3.4765696260898e-01,  7.5919057471172e-01, -1.0461431765680e+00,                    B, -1.4645112311923e-01,  3.8492268934698e-01, -4.0693041946493e-02
                    B,  4.5771697839114e+00, -1.8507716516516e+00,  4.8710525078290e-01,                    B,  6.8564027208771e-03,  1.1471210951276e+00,  1.4873480294208e+00,                    A, -1.9172519603833e+00, -1.1643166784426e+00,  2.1062853736205e-02,                    A, -6.5934670670106e-01,  2.4749111852034e+00, -3.3499545976033e+00,                    B,  3.0791440749723e+00,  1.6976076755168e-02, -1.3577989228252e+00,                    A, -1.5850917014932e+00,  8.2512014224799e-01,  3.7110312614093e-01,                    B, -2.0783823022784e+00, -6.4462033146003e-02, -1.8898476519550e+00,                    A,  1.1330395028753e-01, -3.2580506840919e+00,  2.5743465562234e+00
                    A,  1.1221763864397e+00, -1.5038988807854e+00, -6.5369646287943e-01,                    B,  1.5308226482716e+00,  1.0222963532053e+00,  3.6661374584892e+00,                    B,  4.0291121638296e-01, -2.6524026812245e-01, -5.5486976350306e-01,                    B, -2.1371952051577e-01, -1.7802205467525e+00,  2.3301803075364e+00,                    A, -1.2833485149392e+00,  4.2008722420679e-01,  9.7742478987864e-01,                    B, -1.9051972445725e+00, -1.6765185325568e+00,  1.3858794811075e+00,                    A, -2.6705673982323e+00, -1.6741025864480e+00, -7.4609194588946e-02,                    A,  1.9086096016845e+00, -1.2620755082952e+00, -1.6950119032082e+00
                    A, -2.2260234554391e+00, -3.1760507003137e-01,  2.8905763265179e+00,                    A,  4.0655803993560e-01,  1.3914850659294e+00,  3.4204352374765e-01,                    B,  2.1345303475402e-01, -1.7731356014087e+00, -9.1623543232279e-01,                    B, -4.5599810266788e-01, -4.8895009471137e-01,  6.5156483303939e-01,                    B, -1.6456261313243e+00, -6.1922733892750e-01,  3.9673612756051e-01,                    B, -1.1623193512812e+00,  1.3556923747203e+00, -1.3253340794733e+00,                    A,  1.6561945690572e+00, -2.8342711043587e-01,  9.0436164666633e-01,                    A, -1.3489505029686e+00,  2.3865586421840e+00,  2.8320115535645e-01
