#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A, 1.122688961031e+00,-6.961245847896e-02, 2.664692287302e+00,                  B, 4.826318854242e+00, 4.001371138077e+00,-1.520689399796e+00
                  A,-3.785160282570e+00,-1.589371288191e-01,-3.272667150792e+00,                  B, 6.663041454200e+00,-2.703139397701e+00,-2.754717727256e+00
                  A,-8.880996444404e+00, 2.962400856159e+00, 9.675394727409e-01,                  B, 7.323153561333e+00, 5.682498940655e+00,-5.046232388782e+00
                  A,-5.162451214284e+00,-5.274171263897e-01, 2.788193467927e+00,                  B, 5.005442282190e+00,-6.307762879782e+00, 2.566945855350e-01
                  B,-2.532212609013e+00, 3.496007725853e+00, 3.536483213983e+00,                  A, 1.332288375587e+00, 1.398073641471e+00,-3.290611774248e+00
