#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 1.567721711369e+00,-4.712485784435e-01,-2.791501420950e+00,                  A,-7.414937303590e-01, 1.915196066509e-01,-3.557489112581e+00,                  A, 3.417590174185e+00,-5.577844364110e-01,-1.794006169290e+00,                  B, 2.371995426193e+00,-1.410674473597e-01, 1.697420200610e+00,                  B,-2.330614455932e+00, 2.265267869738e+00,-3.733701559002e+00,                  A, 1.214777585792e+00, 2.182911488158e+00, 2.968936918392e+00,                  A,-1.165683050885e+00,-2.427405910031e+00, 4.152177952505e-02,                  B,-2.133182246622e+00,-2.697756692132e+00, 3.183025841563e+00
                  B,-7.751268848690e-01, 3.226863434068e+00,-1.259610894711e+00,                  B,-1.718364036158e+00, 5.084242100242e-01, 3.444798120794e+00,                  A,-2.607766380300e+00,-2.228718267250e+00,-1.985980523968e+00,                  A, 4.184983009264e+00, 8.374970292587e-01, 2.121802627410e+00,                  A,-2.352335231127e+00,-1.217879221189e+00, 2.721056965580e+00,                  B, 3.277405751753e+00, 1.568608357683e+00, 1.484296482566e+00,                  A, 8.460741449808e-01, 1.010185876837e+00,-1.874699392895e+00,                  B, 1.537826003537e+00,-1.439598418964e+00,-2.062099701980e+00
                  A,-3.095352621188e-01,-7.130969518791e-01, 3.971014090737e+00,                  B,-2.029035303687e+00, 2.301519588285e-01, 5.971116461571e-02,                  A, 3.283283013059e+00, 8.238337844654e-01, 3.842578204616e-01,                  B, 1.984433523762e+00,-1.077183190349e+00, 3.450427770252e+00,                  A,-1.083827335420e+00, 1.081749466007e+00,-7.507877178737e-01,                  B, 2.634933994639e+00, 2.069301355836e+00,-5.198946127495e-01,                  A,-5.233663253449e-01,-3.388696280940e+00,-3.112922967348e-01,                  B, 3.808454569764e-02, 1.234388530908e+00,-4.286548618102e+00
                  A,-1.652627615422e+00,-1.889477855769e+00,-3.183920009137e+00,                  B, 3.002393137871e+00,-5.217203523949e+00, 5.072285256827e-01,                  B,-1.662949779055e+00, 9.317723991775e-01, 4.580515747493e+00,                  A, 1.502665465280e+00, 1.085999259843e+00, 4.625133093861e+00,                  A, 1.757396265394e+00,-1.165493923602e+00, 9.649699069868e-01,                  B,-8.412468377113e-01,-5.954890467085e-01,-1.753967228432e+00,                  A, 2.259265918907e-01, 3.221833770297e+00,-1.207210928011e+00,                  B, 4.490571091494e+00, 1.812364489720e+00, 1.811407319723e+00
                  A, 3.524650204588e-01, 1.347769607716e+00, 2.112497200597e+00,                  B,-3.809681334752e-01, 1.872268574332e+00, 5.512447477294e-01,                  A,-1.898612037616e+00,-3.390664857255e+00,-1.256914884687e+00,                  B,-2.262266695722e+00,-1.899432924784e+00, 5.813393878039e+00,                  A, 3.454575278754e+00,-5.530730999969e-01,-9.226223872129e-01,                  B,-2.531211549113e+00,-3.384499732572e+00,-2.365950610398e+00,                  A,-4.566441961765e+00, 2.414995831160e+00,-3.422927045271e-01,                  B, 1.700731190947e+00, 4.206117443283e+00,-2.785364272208e+00
                  B,-3.722337079809e-01,-9.952434477397e-01, 2.516475734007e+00,                  B, 4.345675984752e+00,-1.349761039762e+00,-9.354113831252e-01,                  B,-6.586555894378e-01,-4.064014521949e+00,-1.930330425646e+00,                  A, 4.561549837848e+00, 3.141033671031e+00,-2.217834303087e+00,                  A,-2.853026265871e+00, 5.413210053656e-01,-1.714727634423e+00,                  A, 5.836992014731e-01,-2.787862241383e+00,-4.170104864545e-01,                  A, 2.360251812961e+00,-2.247207862938e+00, 3.223474943930e+00,                  B,-3.783654547846e+00, 2.594296750549e+00,-2.437259920707e+00
                  A, 1.003584966394e+00,-2.582423783729e+00,-4.598352472143e-01,                  A, 4.771712990869e-01, 2.966989193972e+00,-2.863679203677e+00,                  B,-3.137231028764e+00, 3.869182916366e+00, 1.457623234055e-01,                  B, 1.988470841313e-01,-4.407868930132e+00, 9.047530394624e-01,                  B, 4.415761833920e+00,-6.680749582946e-01, 1.830929001063e+00,                  A,-3.053175343697e+00, 1.127275481864e+00,-9.410203786652e-01,                  A, 3.462130731360e+00, 8.826808659773e-01, 2.634281706270e+00,                  B, 2.449991345328e-01, 2.369346318300e-01,-2.153519786281e+00
                  A, 4.188351837057e-01, 1.812415957219e+00, 1.956255528213e+00,                  A, 7.143034700462e-01,-2.771211115571e+00, 6.878030166474e-01,                  A, 9.255580421870e-01, 4.531333676208e+00,-1.830918051920e+00,                  B, 2.483656089596e+00, 3.576044491569e-01,-7.015789371777e-01,                  B,-1.895212091203e+00,-3.094917026264e+00,-2.186503216824e+00,                  B,-3.332765257155e+00, 2.117796436577e+00,-1.378955921330e+00,                  A, 5.931181984535e-01,-1.842832368158e+00,-3.509030900770e+00,                  B, 1.544875765701e+00, 1.068110535406e+00, 3.393421376551e+00
                  A,-8.261169437591e-02, 2.948209945522e+00,-2.636020035268e+00,                  B, 5.887490335697e-01,-1.124012261042e+00,-1.818377736302e+00,                  B,-3.788266277101e+00,-1.119136372349e+00, 1.645568043845e+00,                  A, 3.682290820933e+00, 2.971983509199e+00,-4.112479498196e-01,                  A,-2.242099825220e+00,-2.362477103818e+00,-2.376940407896e+00,                  B,-8.160983345506e-01, 4.028257409292e+00,-1.352886247815e+00,                  B, 3.202378772626e-01, 2.325731547076e+00, 5.888262100898e+00,                  A,-1.061375682819e+00, 5.963134406233e-01, 3.123121465657e+00
                  B,-2.812558816685e+00,-4.659593038339e+00,-4.665619128319e-01,                  A,-1.418860316106e+00, 5.188364002349e+00,-1.125539228982e+00,                  A,-1.504482237449e+00, 2.882308330497e+00, 4.017739767574e+00,                  B,-2.676648452300e+00, 1.489060442576e+00,-2.494949265900e-02,                  A, 4.500998239495e+00, 1.054225285308e+00,-6.687706605838e-01,                  B, 4.221278630257e+00,-2.232744891168e+00, 4.675925809795e-01,                  A,-1.494556158994e+00,-2.470822410016e+00,-1.842177058770e+00,                  B,-2.760444495697e-01,-2.108561109103e+00, 3.371570448962e+00
