#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B, 2.350146746835e-01, 2.256646164851e+00, 8.545044336472e-01,                  A,-1.302338287584e+00,-4.002713503458e-01, 2.168289487784e-01
                  B,-2.932376638786e-01,-3.557981934057e-01,-1.073002086894e+00,                  A,-2.234758002495e+00, 1.246894704063e-01, 7.450440365690e-01
                  B, 1.052940355302e+00,-1.716334347899e-01, 6.517115866738e-01,                  A, 8.039021398432e-01, 6.930127368019e-02,-1.614211413705e+00
                  B,-2.901341027615e-01, 4.004349178189e-01, 9.653486286817e-02,                  A,-3.554257272924e+00,-4.836419724601e-01,-2.358099616571e-01
                  B, 3.372650328609e+00,-8.418689706360e-01,-1.579508124872e+00,                  A, 1.084855067394e-01, 1.405217089214e+00, 2.689884718094e+00
