##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    B, -2.0003601993555e-01,  1.0115691355125e+00,  1.2070624567203e+00,                    A, -5.2396584690336e-01,  2.9823855018649e+00, -3.3285143606481e-01,                    A, -1.3117812943066e+00, -5.5572112902532e-01,  1.0475018752755e+00,                    B,  3.3749136734304e+00,  6.8628679137585e-01,  5.5417463962878e-01
                    B, -6.3850647394180e-01, -6.6096722704824e-01,  1.6929989061615e+00,                    A, -2.2484277711379e-01, -2.1097261028737e+00,  1.2096690011954e+00,                    B, -1.5588546877933e+00,  1.7994631972406e-01,  2.1719248359721e-01,                    A,  1.2432476497085e-01, -2.3477113067444e+00, -9.3574644665427e-01
                    B,  6.2508445348222e-02, -3.7921747804256e+00,  5.2398029956063e-01,                    A, -2.1816373015146e-01,  2.6912203068477e-03,  1.5579363512484e+00,                    A,  2.6818412317120e+00, -1.1368993121148e-01, -8.7642295699665e-01,                    B, -2.5056891541450e+00, -1.8641127537015e+00,  3.2578369328591e-01
                    B, -9.2885061367006e-02, -3.9774303211591e-01,  9.3419237713961e-01,                    A, -2.3538512657619e-01, -2.4123927318117e-01, -6.3358355765475e-01,                    B, -2.9652114641345e+00, -1.7846930189623e+00, -8.2316697940906e-01,                    A,  4.3517879072847e+00, -2.9768518545889e-01, -1.7736135710856e+00
                    A, -3.0537951001326e-01, -4.6925412159865e-01, -3.6693881481433e+00,                    B, -1.2612784752262e+00, -8.2898784010520e-02,  7.0141136265120e-01,                    A,  1.7243918733571e+00, -1.0728940866626e+00,  2.4914496489157e+00,                    B, -9.2372769197003e-01,  4.1358973312148e-01,  2.4021287822243e+00
                    A, -7.0713536584589e-02, -1.6007595652531e+00, -5.6465187444704e-03,                    A, -1.2277312142951e-01,  2.6251844731692e-01, -1.2731965626149e+00,                    B, -1.8041487136959e+00,  2.3607615876103e+00, -2.3896761036928e-01,                    B,  7.6569426371970e-01, -5.3291434845876e-01,  5.8928947314348e-01
                    A, -2.0527555981825e+00,  1.1410451696814e-01, -7.9889664377128e-01,                    A, -2.8076918244196e-01,  9.3604475488020e-01,  1.6046828714472e+00,                    B, -6.1156792052629e-01,  1.1769755379262e+00, -1.4789800341539e+00,                    B,  2.4360107086920e-01, -3.2832073747243e-01,  2.8361651042417e+00
                    B, -5.9743859958167e-01,  3.1439411561808e-01,  1.7312198230241e+00,                    B,  3.5672122884496e-01, -2.2288776965797e+00,  8.1357130582424e-01,                    A, -7.6672639236863e-01,  1.6491103700131e+00,  8.1917593470093e-01,                    A,  2.3315249190904e+00, -1.0566524192219e+00, -4.3066185492350e-01
                    B, -2.3571688846225e-01,  3.0342895326393e-01,  1.1961003829799e+00,                    A,  3.6924713924404e+00, -2.1137169410442e+00,  3.0806394555553e-01,                    A,  9.9642449065498e-02, -1.2175569828704e+00,  1.8377365804740e+00,                    B, -1.8520314139983e-01,  1.3678474572125e+00,  2.6549865355345e+00
                    A, -2.5558572913756e+00, -1.2159375663035e+00,  1.5450456894653e+00,                    B,  1.6980268815459e+00,  1.4553904889312e+00, -1.2625919420005e+00,                    A, -1.8584647405914e+00, -8.5376395481196e-01, -1.3185649691307e-01,                    B, -1.3736088730547e+00,  2.8263026858703e+00,  9.0323944036298e-01
