#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B, 5.765314227461e+00, 3.451682969427e+00,-4.009562217971e+00,                  A,-3.466583256823e+00, 1.167728903045e+00, 1.313163290152e+00
                  A,-2.007081448640e+00,-3.219376862763e+00, 3.666615486971e-01,                  B,-2.832202405961e+00, 1.332288770288e+00, 2.141308011081e-01
                  B,-5.036422863164e+00, 1.054097885513e+00, 1.754454163737e+00,                  A,-6.740851123094e+00,-1.387386393667e+00,-6.541808790540e-01
                  B, 2.456695966452e+00, 4.274073878354e+00,-2.020207702168e+00,                  A, 5.341166410375e-01,-2.120183400483e+00,-3.573109512060e+00
                  A,-5.073255447202e+00, 1.795048533067e+00, 2.425669194906e+00,                  B, 5.262168438035e-01, 2.702326395965e+00, 2.785574101881e+00
