#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-2.714129611057e+00, 3.851701153950e-02,-2.653915181277e+00,                  B,-1.533689277745e+00,-2.169173436149e-01, 3.016598127192e+00
                  B, 3.474397798593e+00,-4.778087905748e+00, 2.630363180091e-01,                  A, 2.439286492772e+00, 2.156913710548e+00,-4.463807827205e+00
                  A,-2.649136959657e+00, 2.970765220098e+00, 2.943768415536e+00,                  B,-9.188428286006e-01,-7.342333493599e-01, 2.711120965943e+00
                  B,-1.335628570368e+00, 2.892912071676e+00,-1.575531179196e+00,                  A, 1.029613856819e+00,-1.012565818179e-01,-4.941916787352e-01
                  A,-6.183907465552e-01, 5.761681434904e-02, 4.993343182646e-01,                  B, 5.392404380828e-01, 1.909041526891e+00,-1.595070562397e+00
