##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  4.3404540852323e+00,  2.7860932209484e-01, -1.3142554445324e+00,                    B,  9.8689772026330e-01,  1.0056988111458e+00,  2.4914231764362e+00,                    A, -6.1522013863994e-01, -1.3494230992118e+00,  8.4611678991378e-01,                    B, -1.8623255865700e-01,  2.6582856882458e+00,  1.2458349340249e-02,                    A, -2.5294212625868e+00,  4.5526019232344e-01,  8.9408010386915e-03,                    A,  1.1695962090943e-01,  1.1570003745737e+00,  1.3554761188853e-01,                    A, -3.7445137616519e-01,  1.5480609981091e+00, -1.1650189531316e+00,                    B,  4.9544949875057e-01, -1.0694805392586e-01,  1.6370137853946e+00
                    B,  5.1945742204132e-01, -5.0993944245881e-01,  1.0711493621562e+00,                    A,  2.9088753078845e-01, -1.3866956011487e+00, -2.2195664890007e+00,                    A,  5.5291246524492e-01,  9.7280619556986e-01,  2.4690455466795e+00,                    A,  1.8144783436603e+00,  3.5432743337743e-01, -3.4489740308326e-01,                    A,  1.4052618531476e+00,  5.2796417842530e-01,  1.3163779199350e+00,                    B,  1.9754312158359e+00, -1.9727513959382e+00,  1.7303062066013e+00,                    B, -6.3215717135101e-04,  2.8600338927412e+00,  3.0145172479828e-01,                    B, -8.3514039395679e-01, -9.4301660730146e-01, -4.0339428849727e-01
                    B, -2.4606883722726e+00,  9.2456690145104e-01,  3.2568405446886e-01,                    A,  8.3065315279724e-01, -4.6714774767118e-01, -4.5432732719136e-01,                    B, -4.3783150730906e+00, -1.4212075120114e-01, -7.9819975973191e-01,                    A, -1.0630356744623e+00,  9.4574292576138e-01,  1.0924668323177e+00,                    A, -5.0759833776735e-01, -1.1300401513274e+00, -7.6993510263245e-01,                    B,  4.8668732174125e-01, -1.7747560919213e+00, -1.0371651565843e+00,                    A,  9.2466249846967e-01, -2.0362374050688e+00,  4.8669623987624e-01,                    B, -8.9960968187470e-01, -2.0117881145391e+00,  1.6721496102006e+00
                    A,  3.3984304304113e-01,  1.5399874275370e+00,  2.2419644753638e+00,                    A, -9.2132616380077e-01,  9.8118422532963e-01, -8.3756626853852e-02,                    A,  1.7526123484176e+00, -1.7083703429756e+00, -2.4859488602787e-03,                    A,  1.7050236186558e+00,  6.0545965705526e-01,  6.0470592477131e-01,                    B,  4.9973147502072e-01,  2.4746190319872e-01, -1.6267184830225e-01,                    B, -1.0367713217067e-02,  3.4017189862753e-01, -1.5406600241202e+00,                    B, -5.4962468798472e-01,  2.4127595140853e+00, -2.0402708889937e+00,                    B,  1.0053585182130e+00,  1.7060502158814e+00, -1.2090122492617e+00
                    A,  2.7562170553191e+00,  2.7457209994424e+00,  3.3169371936326e+00,                    A, -4.2153355364622e-01, -8.5440297563465e-01, -1.4425817589804e+00,                    A,  1.9347133756441e+00,  3.2161046414755e+00, -2.4340275072179e-01,                    B,  4.9200609880897e-01, -3.3277111888868e+00, -1.6145981206377e+00,                    A,  4.8475141008476e-01,  2.7784422402892e+00, -6.3393136867151e-01,                    B,  9.6031098762464e-02,  1.4167640200612e+00, -1.7054217002170e+00,                    B, -2.1249770449209e+00,  4.4854109682160e-01,  8.3976693157998e-01,                    B,  6.3068579019082e-01,  1.6604574132051e+00, -4.9773699339849e-01
                    B, -1.6243699667038e+00,  4.5201865731927e-01, -9.6337686058267e-01,                    A, -2.9267023934778e-01,  1.0835942343216e+00, -2.1638525239853e+00,                    A, -4.2802969163943e+00,  3.6268148544304e+00, -3.2386175892312e+00,                    A,  4.5361304238024e-01,  1.0484512255289e+00,  2.0432170641714e+00,                    B,  5.0631895231794e-01, -1.8369818050733e+00,  1.3353312755715e-01,                    B, -4.0359013682628e-01, -1.0273897631773e+00,  1.9822394280966e-01,                    A,  2.1152843020493e+00,  5.7189960728615e-01,  1.3505500518288e+00,                    B, -3.3224052807128e+00, -1.2031435581361e+00, -1.5922610560911e-01
                    B,  2.8995144031944e-01, -1.3086325634695e+00,  1.4309582034028e-01,                    B, -9.2741084519630e-01, -1.2658622736879e+00,  3.4046107828941e+00,                    A,  2.3891272312249e-01,  4.4235278202858e-01,  8.2939918085231e-01,                    A,  1.4730105846174e+00,  2.0467836072345e+00, -2.1912207567572e+00,                    B, -1.3909210058133e+00,  2.0873826607168e+00, -9.1181496430500e-02,                    A, -4.5749429224142e-01, -3.8378707004921e-01, -6.1837758072680e-01,                    B,  3.3072100642702e+00, -1.6296577939740e+00,  2.7820003162086e-01,                    A, -8.0140102944402e-01,  2.1610154010989e+00, -1.9446636774011e+00
                    B,  5.7268740861661e-01,  2.2028631043792e-01,  8.1748783888922e-02,                    A,  1.6455049341465e+00, -4.0998425075910e-01,  2.5594151424049e-01,                    A,  1.8942780047938e-01,  2.1975553632320e+00, -2.9795571492129e+00,                    B,  1.4745056463994e+00, -2.7127844032039e+00, -1.1068242358186e+00,                    A, -1.4086357533667e+00,  8.4092388588234e-01, -1.1532504243904e-01,                    B,  8.5332460237889e-01, -1.6596984807781e+00, -1.3510970112143e+00,                    B,  2.3382250393093e+00,  1.4496523994059e+00,  4.5916323991386e-01,                    A, -1.3307699870169e+00, -2.1806439196132e-01, -3.5175440078595e+00
                    B,  2.8727058098324e+00,  2.1716802768308e+00, -5.1459710309118e-01,                    B,  1.2114481968620e+00, -1.8004445559819e+00,  2.0536144800485e-01,                    A, -1.0710363375924e+00,  3.0119394498089e+00, -2.7417417469738e+00,                    B,  3.4361961723553e-01,  1.1009378721095e+00, -1.3149386788094e-01,                    A, -3.4626087644833e-03, -2.4004780920226e-01,  5.1902512309302e-01,                    A,  3.3221268631297e+00, -2.0595976122354e+00, -1.0858610575430e+00,                    A, -1.1689007732620e-01, -9.9056390360704e-01,  1.5862097607996e+00,                    B, -3.7337803149253e+00,  2.7650019232682e+00, -6.8374819568548e-01
                    A, -2.9346570168496e-01,  2.9987286055587e+00,  1.4952003446601e+00,                    B, -2.1084560909727e+00,  2.2579208785620e-01,  2.8817004875365e+00,                    B, -1.7146704119978e-01,  1.9606545133646e+00,  1.1521321465286e-01,                    B,  2.9463026569824e+00,  2.8250762453655e+00, -1.8340734633129e+00,                    B, -2.3687016076329e+00,  3.4371526194425e-01,  4.4691030471764e-01,                    A,  9.4821282271341e-01,  6.0750023743476e-02, -1.0870940601392e+00,                    A,  1.9699905682922e+00,  2.7119616283858e+00,  1.8462660911112e+00,                    A, -7.5201217740360e-01,  5.7133615312573e-01,  3.1563983559482e+00
