##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    A,  6.3900314881603e-02,  3.9811185150581e-01, -3.6752167969454e-01,                    B,  9.4271597143129e-01,  1.6829015032719e+00,  1.6441825276156e+00,                    B,  4.4370744490986e-01,  6.4852351650033e-01,  7.5149491454669e-01,                    A,  1.6688411857796e-01, -1.5753719858516e+00,  1.0465444894111e+00,                    A,  2.6786112307332e+00, -9.1779838367675e-01,  4.4666697015007e-01,                    B, -1.0644610425001e+00,  1.2234101497997e+00, -1.1515260412204e+00
                    B,  2.5146144208424e+00,  4.0654923545110e-01, -4.0641593588508e-01,                    B, -5.8941736412411e-01, -1.2507324849113e+00, -4.4881493394529e-01,                    A,  1.9273382833064e+00, -3.0212960764916e+00, -5.0671444271261e-02,                    A,  9.5061821231060e-01,  1.1673129920067e+00,  1.8047786331961e+00,                    B, -6.1675737772944e-01,  2.2755124518415e+00,  1.0292517885419e+00,                    A,  3.6645505049841e-01, -5.9519782814930e-01, -1.2654841577643e+00
                    B, -2.7473300686233e+00, -1.6163145569310e+00, -7.6872061241952e-02,                    A,  9.4290841344249e-01,  7.4382294021014e-01,  1.6764327426908e-01,                    B,  1.9369362667962e+00, -7.7452631373779e-01, -7.5179076409389e-02,                    A, -2.4325373744197e-01, -1.8203186190084e+00,  8.0825395637741e-01,                    A, -1.2995349244072e+00,  3.0846651511568e-01, -6.5546287227090e-01,                    B,  9.0666478148933e-01,  2.3565223380031e-01,  1.4048979246279e+00
                    B,  8.0176333912953e-01, -5.2358238990346e-01,  1.8752692345586e-01,                    B,  6.9059999339243e-01,  2.3377412381296e-01,  1.8034854138049e+00,                    B, -4.4250503562053e-02,  2.5807163621880e-01, -2.6274452578599e-01,                    A, -2.7226113200693e-01, -9.0740869446741e-01, -1.7414299122789e-01,                    A, -2.0253148009977e+00, -7.5929087209066e-01,  1.8870660182531e+00,                    A,  1.0209999495654e+00,  2.4013126333739e+00, -4.1606310551236e-01
                    A,  5.7755939167008e-01, -1.3015911512611e+00, -2.0817095238288e+00,                    A,  2.1563234501626e+00, -4.4987915216902e-01, -6.1411403106592e-01,                    B, -1.5603827466929e-01, -3.0489924765761e-01, -5.2793215548036e-01,                    A,  7.2629642980156e-01, -9.1861167009878e-01, -4.6504318082836e-01,                    B, -1.3407843404635e+00,  1.6333260755479e+00, -1.1218749702622e-01,                    B, -1.4557896250512e+00, -1.6003287802410e-01, -2.2145015480211e-01
                    B, -1.5503866088078e+00,  8.0301292199774e-01,  1.2716960822731e+00,                    A, -1.7404584559169e+00, -1.1217340300965e+00, -3.5742562547440e+00,                    A, -2.2021680073041e-01,  8.2050412736675e-01,  9.5934529778379e-01,                    B,  8.7420292168959e-03,  1.3582009973226e+00, -1.3386667679613e+00,                    A,  2.0286769636263e-01, -1.9508710517418e+00,  1.0919907173530e+00,                    B,  1.0894443278627e-02, -1.4776487861946e+00, -6.3404940775731e-01
                    A, -9.9622430471572e-01, -3.8957938033763e-01, -1.0907928847602e+00,                    A,  9.5148219561114e-01, -1.2973436419369e+00,  1.1305770101241e+00,                    B,  1.3697095545670e+00,  1.1856631780272e+00, -1.5563452674566e+00,                    B, -1.2380218921818e+00, -1.3287192237059e+00,  5.4015384512415e-01,                    B,  1.0173956681244e+00,  6.9192082208012e-01, -5.6843277238865e-01,                    A, -1.8813212881550e+00,  2.5019908798347e-01,  3.0899304003324e-01
                    A,  1.0107398355006e+00, -6.5787302957061e-01,  6.6760327542883e-01,                    B,  9.3902791872428e-01, -1.2063981256792e-01,  1.6225533511818e+00,                    A, -1.3065817221857e+00,  1.1690926470292e+00,  4.3871548360552e-02,                    B, -9.9890884270382e-01, -1.0461266930082e+00,  6.2198049097616e-02,                    A, -2.0844364886056e+00,  4.0891788460585e-03, -5.7794000538749e-01,                    B,  6.7917672746197e-01,  2.5248766343383e+00,  6.7357995985747e-01
                    B, -5.4636593473628e-01, -1.2652960015322e+00,  1.0652856046977e-01,                    B, -9.2802714820093e-01, -2.8988752834420e+00,  1.0005551374830e+00,                    A, -6.3598885624868e-01, -4.0235395302814e-01,  3.1218585693356e+00,                    B,  1.5283534560750e+00,  1.3510164914353e+00,  6.6721019919785e-01,                    A, -2.0986705307700e+00, -1.6525980214382e+00,  8.6193249643729e-01,                    A, -1.0652038014423e-01,  1.2259067800237e-01, -9.9542432193251e-02
                    A, -1.2386779752332e+00,  1.4296913046175e+00,  1.7653926687184e-01,                    A,  1.0193998221654e+00, -6.8291708388534e-01,  1.2391624817693e+00,                    A,  1.1209236963898e-01,  2.9947644159384e-01,  3.9600541575138e-01,                    B, -6.9275313685688e-01,  6.8961999031309e-01, -1.0744718402042e-01,                    B,  4.1949448633493e-01, -5.7695409584408e-01, -1.3046142635472e+00,                    B, -2.0393474528674e+00, -2.0545668904857e+00,  1.0081294921097e+00
