##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B, -1.0835752082589e+00,  2.2941205219816e+00, -1.4095421346770e+00,                    B, -1.3128037718109e+00,  1.5023733847665e+00, -1.5127717710083e+00,                    B,  2.5272434260747e+00,  1.3209470073354e+00, -1.1015187515108e+00,                    A,  1.1311418763257e+00,  1.0931184291867e+00, -3.9235884316436e-01,                    A,  7.9205370408036e-02, -1.9255141108741e+00,  1.5096635502670e+00,                    A,  2.4283317738473e-01, -1.2583470376363e+00,  5.3115828471043e-01
                    A, -1.1426059462389e-01,  2.5004172385790e-01,  8.5568854361121e-01,                    B,  4.6939973409503e-01,  1.2933194555705e-01,  3.4925816972521e-01,                    A, -1.6587140458355e+00,  6.9514059055794e-01, -2.9452546028696e-01,                    B, -1.0804652621053e-01, -1.2803968188675e+00, -1.4590584781705e+00,                    B,  2.0438354776333e-01,  1.6859988486365e+00, -2.3922866892999e+00,                    A,  1.5213409937299e+00, -8.4167811939939e-01,  1.9819223506362e+00
                    B, -2.3263788736566e+00, -1.1096272522137e-01,  3.2003539812680e-01,                    A,  3.3408288487810e+00, -2.6978734244415e+00,  9.5512656371103e-01,                    B, -4.4351241821235e-01,  2.0617162155438e+00, -1.4611751658288e+00,                    A, -5.0406637720320e-01, -2.0755614334649e+00, -1.2484421361285e+00,                    B, -4.3736458008344e-01, -2.4758685737140e+00,  3.1000460267132e-01,                    A, -3.6545246035181e-01, -1.2768888967798e+00,  1.9132135922061e+00
                    A, -1.4696960600900e-01,  3.0027934047648e-01, -3.0602897246690e+00,                    B, -5.6729477419747e-01,  8.9684464465016e-01,  1.3643581518423e+00,                    B, -5.3995317498362e-01,  1.0316318220881e+00,  3.1416627847574e+00,                    A, -1.5764386454374e+00,  1.1116564580751e-01,  1.1827643464748e-01,                    B, -3.7237833040626e+00, -4.1683696327475e-01,  1.6281414768245e+00,                    A,  6.5476106511752e-01,  1.0277757334841e+00,  7.1918479582412e-02
                    B, -2.1162623591715e-01, -8.6239735153970e-01,  3.1469117751253e-01,                    A, -1.7054275344443e+00, -1.3642255481446e-01, -2.4691649193077e+00,                    A,  6.5642857235044e-02,  2.4379156861850e-01, -7.9444562139616e-02,                    B, -1.7007154504360e+00, -7.9879298212909e-01,  2.5838215898138e-01,                    B,  1.2853038920623e+00,  2.5240937518860e-01,  2.0622131407715e+00,                    A,  4.6973146756919e-01, -1.8555814952892e+00, -1.6191854457583e+00
                    B,  2.2507966361904e+00,  3.7210220377766e-01, -1.1667472156635e+00,                    B,  6.0819195783106e-02,  1.1438436808895e+00, -7.2518693126338e-01,                    B,  7.3490443279150e-01,  1.8255391255275e-01, -1.6818027673709e-02,                    A,  3.0274505585439e+00,  2.8330988647883e-01, -2.0113802359293e+00,                    A, -4.3396459507825e+00, -4.1591109318577e-01, -1.8173041137735e+00,                    A,  1.1363460507715e-01,  2.4497168851567e+00, -1.0609439600025e+00
                    B, -4.9811615797184e-02,  5.3011141785294e-01,  1.8938641937762e+00,                    A,  1.9295134859115e+00,  1.0171275183963e+00, -1.9984365325428e-01,                    A, -5.1170589639085e-01, -2.1836002433851e-01,  2.3284103967871e+00,                    B, -1.0791083099465e+00,  1.0275836639644e+00,  4.1280229547131e-01,                    A, -1.9984572786873e+00, -7.6847313187748e-01,  1.7456718969406e+00,                    B, -4.1722806355808e+00, -3.7522174618782e+00,  1.1395628102213e+00
                    B, -6.1618981440446e-01, -1.3517079692455e+00,  1.6341067234011e+00,                    A,  2.3829396806715e+00,  1.7310880544813e+00,  2.0583403222719e+00,                    B,  2.4046217953890e+00, -5.7885096391510e-03,  8.1006424283058e-01,                    A, -8.0842676906006e-01,  1.3181490449905e+00, -3.3536723955283e-01,                    A,  4.3656549081378e-01, -1.9244120420268e+00, -1.9801356557428e-01,                    B, -1.0741162330518e+00, -1.0204180334708e+00,  1.5671418017425e+00
                    A, -1.6392779735625e-01, -1.1964338869313e+00, -1.5551636732947e+00,                    A,  9.1407269154433e-01,  2.4458164510628e+00,  1.0391484809754e+00,                    B, -1.6696262838147e+00, -3.1809037042845e-01,  5.1608611714984e-01,                    B,  5.8577614089470e-03,  2.2388546938137e+00, -1.6576594992783e-01,                    B, -1.4164029357486e+00, -1.3661448833645e+00, -1.7864532526152e+00,                    A,  1.1805291953070e+00, -5.8520279034566e-01,  1.4343691536956e+00
                    B, -2.3178026088022e+00,  1.1432144448338e+00,  4.5874564458682e+00,                    A, -1.1015155842469e+00,  1.9394020438670e+00,  6.2600351089534e-01,                    B,  1.5041666037446e+00,  5.1537481603269e-01,  4.0106204284182e-01,                    A,  2.8954035914142e-01,  3.1164945164876e-01, -6.8951872409210e-01,                    A,  1.3692264355692e-01, -8.6645213830677e-01,  2.0177261885600e+00,                    B,  3.3290613436430e-01, -7.0817924981648e-01, -2.2010633647510e-01
