#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  A,-4.929542055296e-01, 1.656051235474e-01,-2.720515414939e+00,                  B,-1.326607053010e+00, 5.674256168664e-01, 1.983097384246e+00,                  B,-2.275233780986e-01,-2.295126368108e+00, 1.328271206535e+00,                  A, 7.494806257455e-01,-1.243228730819e+00, 3.267670336917e+00
                  B, 1.831199257876e-01,-1.446286973224e+00, 2.790954983917e+00,                  A, 5.517519893307e-01,-1.876943783284e+00, 2.800734061989e-01,                  B, 8.343663298864e-01, 6.023204031793e-01,-1.949605670021e+00,                  A, 9.620482477665e-01,-4.244681876810e-02, 7.261976573855e-01
                  B,-5.321248427031e-01, 4.821575164141e-01, 5.310262623405e-01,                  A, 5.349111544301e-01, 8.801787617396e-01, 3.485208591483e+00,                  A, 1.114569304256e+00,-1.420171074156e+00,-3.101116341020e+00,                  B,-6.431301116953e-01,-1.482722773421e+00, 1.930797910505e+00
                  A,-1.748157134380e-01,-6.438886586873e-01, 1.486226737341e-01,                  B, 9.351583431436e-01,-8.144933576270e-01,-2.779891863185e+00,                  A, 2.292404703626e+00, 4.507479300178e-01, 4.871763423603e-01,                  B,-8.604890358207e-01, 1.312776257764e+00, 5.588851026429e-01
                  B,-1.195638035575e-01,-2.841729191641e+00,-6.869474314294e-04,                  B,-2.574389714816e-01,-9.283764147278e-01,-1.520802811474e+00,                  A, 4.296234788079e-01, 7.928347750810e-01, 1.399457755845e+00,                  A,-1.276300448672e+00,-8.288054753044e-01, 9.107646360260e-01
