##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -1.0253586213756e+00,  2.3234288608569e+00,  3.3021041359027e+00,                    A,  3.6774218334686e+00,  1.4070198016111e+00,  1.3991356160115e-01,                    B,  3.0220812142388e+00, -2.8376112699002e+00,  6.6744572742962e-01,                    B, -4.8776411603442e-01,  3.4429794154082e+00,  1.5408328217544e+00,                    A,  1.3425021734946e+00,  6.9740237796707e-01, -7.8363739670186e-02,                    A,  4.4841066839102e+00,  4.1343492508028e-01, -5.7492407898074e-01,                    A, -1.4883285349227e+00, -5.2042766961438e+00,  1.2254807861840e+00,                    B, -4.1520733238341e+00, -5.0053904068520e+00,  3.4048481294098e+00
                    A,  6.9896492531589e-01,  4.5695661321842e+00, -2.7195655146171e+00,                    A, -5.2991630994223e+00,  6.8190787395267e-01,  5.4634802249196e+00,                    B, -5.7726881702435e-01, -5.1442938274258e+00,  4.1294139468539e+00,                    A,  2.0520144644376e-01,  2.4709130897365e+00,  3.2321105990644e+00,                    A, -1.8565235593728e+00,  2.9983522359429e+00,  1.2774007173855e+00,                    B,  8.7816621640012e-01, -3.6392083772451e+00,  3.6066981447152e+00,                    B, -4.7045883792630e+00,  4.2729739005244e-01, -5.0290047994175e-02,                    B,  2.3650542827152e+00, -3.9857364725240e-01,  4.0696510765807e-02
                    A,  1.1993576556425e+00, -2.8389808807039e+00, -4.9993807488167e+00,                    B,  4.3310574738136e+00, -1.9394418688281e+00, -2.4249541818427e+00,                    A, -2.2232856019945e+00,  1.2990764820996e+00,  5.1083408758264e+00,                    B, -3.1214749080460e+00,  1.4409577446652e+00,  4.9890135412432e+00,                    B,  2.0310965054439e+00, -1.2950180975398e+00, -2.0278709794654e+00,                    A, -8.4786357243681e-01, -8.8374774720208e-01, -2.0624620156094e-01,                    A,  5.6480750613460e-01, -1.3945603464473e+00,  7.6173521129074e-01,                    B, -3.4433771555544e-03, -3.5711884156529e+00,  7.8572287003588e-01
                    B,  3.7620036517387e+00, -4.9706423512349e+00, -2.7971245500227e-01,                    B, -5.9128216157670e+00,  1.3467901683939e+00,  2.3181947993894e+00,                    A, -6.7238400015799e-01, -3.3905522179169e-01,  3.6365114189544e+00,                    B, -4.5565080245169e+00,  3.8767016030844e+00,  7.4877633275784e-01,                    B, -7.0234394241736e-01,  2.6968325689444e-01, -1.3357400140294e+00,                    A,  3.4541286501217e-01, -1.4948568112062e+00, -9.8990468143874e-01,                    A,  4.4957188393144e+00,  4.2922202738877e-01, -6.4588621092905e+00,                    A, -3.7171575486049e+00,  3.6794638987966e+00, -8.3969952791655e+00
                    B, -3.1003128959395e+00,  5.0767530895398e+00, -2.6819343086970e+00,                    B,  3.3490106697846e+00, -8.7279740639723e-01, -4.5874119713531e+00,                    A, -1.8540906984560e-01, -4.0016620714711e+00,  9.8652959755575e-01,                    A,  1.0939722247130e+00, -2.1470458345910e+00, -4.5517193599922e+00,                    B,  8.3557489145614e-01,  1.1093443749496e+00, -4.2584573806434e+00,                    A,  1.6993590825768e+00, -2.8856178538385e+00,  6.0324671550517e-01,                    B, -7.5621939656580e-01,  1.0642901599673e+00, -6.7045091010421e+00,                    A, -1.2994510052773e+00, -1.5187875078976e+00, -1.2355965057566e-01
                    A, -2.8819177116039e-01, -1.6799627870506e+00,  4.7229315509768e+00,                    B,  5.2122799717986e-01, -6.2708003661668e+00,  9.8628642335965e-01,                    A,  4.2271961473081e+00,  1.0729349686049e+00,  5.7444392516511e-01,                    B,  1.5500558858360e+00, -1.1302389754172e+00,  3.2025103230810e-01,                    A,  3.4176384825060e+00, -5.9067536242494e+00, -3.3300736822391e+00,                    B,  1.9228578561025e+00,  8.6243936131090e-01, -1.7483186675193e+00,                    B, -3.7852440126844e+00,  4.5488738042559e+00,  4.8040410538772e+00,                    A,  1.2078640177559e+00, -1.8527412275565e-01, -4.0064702036542e-03
                    B, -4.6774573919505e+00,  1.4425054397359e+00, -5.4374821613987e-01,                    A,  5.4431327443085e-01, -9.5528213555349e-02,  1.0130624802983e+01,                    A,  4.6604251922650e-01,  3.0185706352990e+00,  1.1490645186780e+00,                    A, -1.9521605092838e+00,  2.1899344284435e-01, -1.0598387282181e+00,                    B, -1.1565413796518e+00,  2.6229188700073e+00, -1.3493408267825e-01,                    A, -1.0382058617249e+00,  5.3791550870845e-01, -2.9051992386445e-01,                    B,  5.3063046527937e-01, -6.4852658471759e-01, -1.2615580219975e+00,                    B,  5.3390216900520e-01,  1.6088760751236e+00, -1.9601692802519e+00
                    A, -7.2982467264870e-01,  1.1748076918868e+00, -8.6034892626400e-01,                    B, -2.1259120788504e+00,  3.7617074127267e+00,  1.0706439984654e+00,                    B,  1.5898010630924e+00,  2.5969882061302e+00,  3.8991631870216e+00,                    B, -1.0655123887831e+00,  2.2303993781893e+00, -4.7009056495316e-01,                    A,  3.5204103525411e+00, -6.8131215848914e-01, -1.0152150554261e+00,                    B,  8.9853766157554e-01,  2.0089020101486e+00,  2.2964711792413e-01,                    A, -1.2751694364671e+00,  5.7551910468245e+00, -1.7511577546037e+00,                    A,  3.9442682428336e+00,  1.9588930966898e+00, -5.5146590727221e-01
                    A,  1.6597900825841e+00, -6.8829568104557e-01,  2.1394290733955e+00,                    B,  1.5464810199946e+00,  1.8385493658739e+00,  1.3339277080721e+00,                    A,  1.5882258375209e+00, -2.9936607526176e+00, -1.9889197274448e+00,                    B, -4.9170081676624e+00,  1.5029715120747e+00,  2.3490516844878e+00,                    B, -1.2100688849791e+00, -8.9111677490928e-01, -4.7201749090591e+00,                    A,  2.2070440185212e+00,  4.6250546616283e-01,  4.8655716065240e+00,                    A,  3.1662732728974e+00, -3.9438854646715e+00,  4.2850860318299e+00,                    B,  2.2271307301781e+00, -1.9579755079216e+00, -2.2777805769525e+00
                    B,  1.8139495134237e+00, -3.2308499897862e+00,  1.9026743477879e+00,                    A,  1.7809121390181e+00, -8.4321974174895e-01,  2.1252656444591e+00,                    B, -9.1455907900918e-01, -1.5372909089218e+00, -1.1183157879867e+00,                    B, -6.7361595306910e-01,  3.1880003808828e+00,  2.5671051852769e-01,                    A, -2.1461885297040e+00, -6.9773206739158e+00,  1.2206397856353e+00,                    A,  3.4127931231097e+00,  6.1874278562568e+00, -5.1435931310583e+00,                    B,  8.1518218974860e-01, -5.0784422905689e+00, -1.1523907968525e+00,                    A, -4.1074585786757e+00,  3.7698077286981e+00,  1.1506731829652e+00
