##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B,  1.1378706447994e+00, -2.7230134291099e+00,  7.4223725284545e-01,                    A,  6.9098477135743e-01,  8.1895644546418e-01,  2.0488055624347e+00,                    B, -2.2452455530864e+00, -4.8816235317176e+00, -1.2207333789418e+00,                    A,  7.5259201140876e-01, -6.5881666490086e-01, -3.3263764585140e+00,                    B,  7.6284577084773e-01, -8.2604221189574e-02,  1.1805874013491e+00,                    A, -2.0239324215095e+00,  6.3396401163505e-01, -1.3189034381392e+00,                    B, -6.5166114405747e-01,  1.2137971787678e-01, -2.0353671323967e+00,                    A, -3.1561547272668e+00, -6.8226927940308e-02,  6.6756385877314e-01
                    B,  1.6528239190100e-01, -7.3477080978023e-01,  3.5534640674299e+00,                    A, -2.6611978738285e-02,  1.0365787984745e+00,  4.0938584641840e+00,                    B, -2.0008170922139e+00,  4.3497844720280e+00, -1.1134713126831e+00,                    A, -1.1859412230956e+00, -1.8383245304019e-01, -1.7562975052794e+00,                    B,  1.3140019373949e+00, -4.6637311363270e-01,  3.3133670015889e-01,                    A,  2.4889068818187e+00, -2.3695845568709e+00,  8.0623350481119e-01,                    B, -1.3901936159066e+00,  2.0833479388208e+00,  2.8847615752634e-01,                    A, -4.1260527314484e-01,  9.2336351987610e-01,  5.4683793744982e-01
                    B,  3.7860082737477e-01,  6.2026166020937e-01,  2.2525950503165e+00,                    B, -2.2457265937652e+00,  5.0918468180525e-01,  1.4597923838326e+00,                    A, -4.1733016949711e-01, -3.1145335018137e+00,  1.4657990224422e-01,                    B, -1.9456408111626e+00, -7.4244058258150e-01, -2.1256146047651e+00,                    A,  5.2563899594191e-01,  8.4238543494079e-02,  8.2182941955359e-01,                    A,  2.3810530207391e+00,  5.5941906872105e-01,  2.4833100698857e+00,                    B, -3.8840358148358e+00, -2.1331437322338e-01,  1.6452828940930e+00,                    A,  2.5252886371684e+00,  1.3895048185108e+00, -2.6875259863909e+00
                    B,  1.0286520521595e+00, -1.0550843746094e+00,  5.1075759580015e-01,                    A, -1.1641977806953e+00,  1.8303813458385e+00, -5.1709517982184e-02,                    A,  1.9942223868319e+00,  5.5846898376736e-01,  1.0596648239155e+00,                    A,  4.6374071901460e-01, -4.9871855784407e-01,  2.4981592294132e+00,                    B,  1.3391526119280e+00, -1.6695255746731e+00, -1.3508504413796e+00,                    A,  1.6417532299176e-01, -1.8662943700377e+00,  4.3023850030271e-01,                    B, -1.5214829234329e+00, -1.7273425070450e+00, -4.5200117683609e-01,                    B,  9.9304948879237e-01,  4.3319696001283e+00,  7.8934942469202e-01
                    B, -9.0124357811499e-01,  2.0912317389859e+00, -1.2549420453518e+00,                    B,  2.7428647336748e+00,  2.9592521218875e-01,  3.8289616199787e+00,                    A,  1.5435693898914e+00,  3.7859107003867e-01, -6.4745260831771e-01,                    B, -3.2873580370969e-01,  2.2176841685772e+00,  5.0289828347899e+00,                    A,  2.4803469160876e+00, -1.0662554607747e+00,  3.8637890718091e-01,                    A, -2.5567982487965e+00, -2.8450650278173e+00,  1.0989644980237e-01,                    A,  8.3812764003850e-01,  4.6518266563031e+00,  5.6808834300171e-01,                    B,  6.4852870438629e-02,  8.3799331057103e-01, -2.5337715878957e+00
                    B,  8.0776212230237e-01,  8.0588501215954e-01,  9.1110917032294e-01,                    A, -1.6791228046616e+00, -9.2649364218636e-01,  7.8285254604739e-01,                    B,  1.7367339645359e-01, -3.0749653353821e-01,  1.3085616886960e+00,                    B, -3.9145521691697e+00, -5.2571837479552e-01, -1.0417790254944e+00,                    A,  3.2295402821854e+00,  2.8581045208830e-01,  9.0680495578655e-02,                    B, -4.4780012085561e-01, -1.1219771997307e-01,  2.9506137387512e+00,                    A,  2.5119497266441e-01, -3.8813532359656e+00,  3.1293672597623e-01,                    A,  2.3895155857218e+00, -1.6849526138494e+00, -8.9537049193969e-01
                    A,  1.5716993159477e+00, -7.2710237622334e-01,  1.2825182283236e+00,                    B, -2.0960135348456e-01, -2.2879143351489e+00, -1.8011912386177e+00,                    B,  3.1387448667926e-01,  1.9713910807412e+00,  2.7495600954199e+00,                    A, -2.4603516259018e+00, -1.9152248414593e+00,  1.4011995222368e+00,                    A,  9.4359312260665e-01,  2.5240820817119e-01,  2.7866697254255e+00,                    A, -7.6477570717366e-01, -1.7650096221593e+00,  1.3257912823355e+00,                    B, -6.4216176989757e-01,  1.3915628863320e+00, -3.9646449640513e-01,                    B, -2.7013257349511e+00,  3.8562330369806e+00, -2.9496460158086e+00
                    A, -2.0707194510787e+00, -1.4906427869080e+00, -1.5328916185184e-01,                    A,  1.0373712513471e+00, -9.6477391753181e-01,  3.7168030222141e-01,                    B,  3.5255006462743e-01, -2.0958546511587e+00, -1.8266461591499e+00,                    B, -9.2824028011652e-01,  2.0086539374896e+00, -2.6829641643765e-01,                    B,  7.8595459852433e-01, -2.0470695740487e+00, -2.0895394521295e-01,                    B,  1.2249082756771e+00,  2.3616536850895e+00, -8.2982783472258e-01,                    A, -2.7358258582975e+00, -8.0852666851736e-02, -3.2634441402190e+00,                    A,  2.8842166704896e+00, -1.7215964252369e-01,  2.4314690131726e-01
                    B,  1.8529099875399e+00,  2.0662038363257e+00, -3.8704595497903e+00,                    B, -8.4190696078963e-01,  4.5146114274973e-02, -1.2375166904957e+00,                    A, -9.0284573679702e-01, -1.1403115149084e+00,  1.8604162484701e+00,                    B,  1.4601587180174e+00, -2.6159302641317e+00,  1.7703979523133e-01,                    A, -2.6297409408313e+00,  4.1944616049827e-01, -1.5420630755379e+00,                    A,  1.6829785688280e+00,  6.2947730433155e-01,  1.3503752453369e+00,                    B,  2.9909949289845e+00,  8.8351262289248e-01, -1.2252254563677e+00,                    A, -7.7185514264994e-01,  3.7555680677823e-01,  2.6265645934043e+00
                    A, -5.6209633890884e+00, -1.4826381427428e-01, -3.0243170509925e+00,                    A, -1.6559018793199e+00,  1.1534277387714e+00,  8.9033090870197e-01,                    B, -2.3802388865614e+00, -1.2751434045026e+00, -1.2589551448674e+00,                    A,  3.5982438253327e-01, -2.4111259863262e+00, -1.1467667129135e+00,                    B,  1.3368088412212e+00, -1.8956929644762e+00,  1.1390210594395e+00,                    A, -5.8982349834748e-01, -2.1850885987996e+00,  1.6580454273934e+00,                    B,  4.1077323828702e-01,  2.5110152981742e+00,  1.4779123141322e+00,                    B,  1.3821287120524e+00, -8.4064073108666e-01, -3.6484702998344e+00
