##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B, -6.4963687133237e-01, -2.1488762691541e-01, -1.1844446053431e+00,                    A,  9.1153467914235e-01,  1.7481068459634e-01, -3.0088162013139e-02
                    A, -3.3053371668645e-01,  1.8249357598149e+00, -1.2255108769841e-01,                    B, -7.4879870779959e-01, -5.3024544608950e-01,  2.3330790005065e+00
                    B,  9.2661891771913e-01,  2.0992989956808e-01, -1.3151075182730e+00,                    A,  1.6754659957798e-01,  5.2611821129139e-01,  1.5300829386249e+00
                    B,  7.1367534206989e-01,  1.4205338037807e+00,  1.4200458356507e+00,                    A,  1.3767805452045e+00,  4.6409010578957e-01, -1.2416057122041e-01
                    A,  5.3677850403950e-01, -1.6681055363906e+00,  2.1918558379438e+00,                    B, -5.3131393914804e-01, -9.9535278874942e-01,  1.7948523582535e+00
                    B,  2.2290938211532e+00, -1.7770056882509e+00, -4.2984787599663e-01,                    A, -1.5377573140487e+00, -3.6644132462119e-02,  1.9448898053235e-01
                    A, -7.3821796747122e-01, -5.8086349793863e-01,  2.7788405019411e+00,                    B,  1.0227293408271e+00,  1.3626818247573e-01,  1.0564540773638e+00
                    B, -2.6267251376754e+00,  2.2312044247609e+00,  5.9486899265869e-02,                    A,  2.9812002553873e+00, -1.2950997672727e+00,  1.1477134382851e+00
                    B, -1.3114698129718e+00,  7.7817590512521e-01,  7.0764741092017e-02,                    A, -2.7383725738667e-01,  4.2175527309515e-01, -1.6280208872304e+00
                    A,  1.4706429785363e+00, -2.9704478207174e-01, -1.0375682655393e+00,                    B,  9.6301664534604e-01,  1.0402748616421e+00,  6.8009684235671e-01
