##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    B, -3.3061928339097e-04,  1.7640266511259e+00,  1.9228861336772e+00,                    A, -6.5994019999705e-03, -6.6744905384912e-02, -2.4647167099483e-01,                    B,  2.3282649969353e+00, -7.8898102133527e-01, -7.4280789105185e-01,                    A,  4.6379681329267e-01, -2.1399570896958e+00,  2.7733553490252e+00
                    B,  1.0545337410033e+00,  7.6246864677318e-01, -1.9706231227058e+00,                    B,  5.4734802409011e-01, -1.2963021496458e+00, -3.5173357750507e-01,                    A,  8.7479699361667e-01,  8.5985494203941e-01,  2.3302088468439e+00,                    A, -3.4514792370098e-01,  3.4436966099852e-01,  1.9057256510276e+00
                    A,  4.9408401149623e-01,  1.5913908798836e+00, -1.0065076218916e+00,                    A,  4.9384589278424e-01,  2.5021385711565e+00,  7.0316534390949e-01,                    B, -1.4161514487139e-01, -1.3850637262784e+00,  8.6662996883570e-01,                    B, -9.3510760194686e-01,  2.7165767170214e-01, -2.6385848690553e+00
                    B,  9.6484426872704e-01,  1.4001228004988e-01, -3.1902977057960e+00,                    B,  8.3503447312869e-01,  4.5576442048221e-02, -5.0323743125991e-01,                    A, -8.0232925098791e-01, -5.4453347884856e-01,  1.1506026103089e+00,                    A, -2.0572557665523e+00,  6.1199711411399e-02, -1.0004303510964e+00
                    B, -3.8455450384123e-01,  8.3130042682613e-01, -2.7341616329187e+00,                    A, -1.5911359291231e+00,  1.5052141968764e+00, -2.9773053256121e-01,                    A, -7.1687274393549e-01,  3.7168122679365e-01,  1.2142053814601e+00,                    B, -1.2357484209019e+00, -2.7652409865155e+00,  2.0040178752636e+00
                    A, -7.3970613467602e-01, -9.3360764704309e-01,  6.2017078636098e-01,                    B,  1.7932916183697e+00,  3.4587298047610e-01, -3.3205311727514e-03,                    B, -2.5250846604779e-01,  1.6611216903119e+00,  1.1617584059021e+00,                    A, -1.6373474178771e+00, -2.0473857480421e+00, -1.2949748301422e+00
                    B, -4.7784684211963e-01,  1.8163364006234e+00, -5.8695878454627e-01,                    A,  7.2892857271718e-02,  5.1901271098891e-02,  9.7712153840039e-01,                    A,  1.7106817139423e+00, -1.0468189113508e+00, -6.6489167933681e-01,                    B, -9.6095246794251e-01,  1.2300318136317e+00, -2.0048507060482e+00
                    B, -5.5157299913058e-01,  1.8775186483241e+00, -2.4423474522919e+00,                    B, -7.7502434914425e-01, -1.6101364625076e+00, -6.6587625349400e-02,                    A, -2.5603975962315e+00,  4.1709246140613e-01,  1.4735339993091e+00,                    A,  3.8635332253163e-02,  6.6861647718734e-01,  1.7683460649163e+00
                    B, -1.1044195665323e+00,  1.2466658650783e+00,  1.8453282730890e+00,                    A, -7.1873657279869e-01,  1.0921860812392e+00, -8.2936372270648e-01,                    B, -6.3781758108801e-01, -7.9590373823581e-01,  1.4703618805207e+00,                    A, -5.2943629808471e-01,  3.7898238436960e+00,  5.0971210728630e-01
                    B,  2.2701231890978e+00,  1.6295618095733e-01, -2.0327816469167e-01,                    B,  1.5589542925516e+00, -9.7782057346637e-01,  2.7660473351707e-01,                    A,  1.6670784964419e-01,  2.6563592420671e+00, -1.1216496662644e+00,                    A,  1.7880195049930e-01,  8.5164535303149e-01, -1.9215142853561e+00
