##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2,            p8 flavor,                p8 x0,                p8 x1,                p8 x2,            p9 flavor,                p9 x0,                p9 x1,                p9 x2,           p10 flavor,               p10 x0,               p10 x1,               p10 x2,           p11 flavor,               p11 x0,               p11 x1,               p11 x2
                    B,  7.6228287747048e-01,  1.1671631254325e+00,  8.9035040947899e-01,                    B,  9.3762083654011e-01, -2.7429021913782e-01, -3.2567225928028e-01,                    A,  2.5175587627943e+00,  1.3008579886125e+00,  9.4515286459356e-01,                    A, -1.5894693152004e+00,  7.8488165350737e-02,  3.5041459862897e-01,                    B,  2.9325699760258e-01,  1.4675306291346e+00, -1.1405489322506e+00,                    B, -2.0291955123237e+00,  6.1543301611754e-01, -1.0754419507361e+00,                    B, -1.0139030290984e+00, -1.4357593805403e+00,  5.0180494203120e-01,                    A,  7.8429214707146e-01, -1.5022085346402e-01,  5.0568309052452e-01,                    A, -3.7671949047782e-01, -1.8696527021757e+00,  1.8437894081708e+00,                    A,  8.1766200966179e-01,  1.8812701621167e+00, -1.6289949872143e-01,                    A, -8.5372236010091e-01,  1.8051509250644e+00, -1.2360391601763e+00,                    B, -7.6621834210096e-01, -1.9191139017645e-01,  2.3201228342646e+00
                    B, -8.0533122197566e-01, -2.9107706843412e-01, -8.7398608789411e-01,                    B,  8.5547483549824e-01, -8.1317669181661e-01,  9.7309564828422e-02,                    B,  3.1066098681258e-02,  2.3469457983584e+00,  6.9266684858247e-01,                    A, -1.3107531708338e+00,  9.1126978887553e-01, -8.9048875330823e-01,                    A,  7.5748615632884e-01,  2.0342629984456e+00,  1.5820126571552e+00,                    A, -4.2132629687923e-01,  5.0473129664797e-01,  1.5474105088592e+00,                    B,  1.1029957146752e+00,  1.8192810100669e+00, -8.6597822316431e-02,                    A, -1.4655662405043e+00, -1.0784338345557e+00, -1.2824579965607e-01,                    A,  1.2143212009443e+00, -9.3036622439905e-01, -4.5885932615573e-01,                    B,  6.1437446623650e-01,  5.5370880321814e-01, -8.2593793320556e-03,                    A,  2.2124529950054e+00, -1.7953296745406e+00, -1.1804148215483e+00,                    B,  1.7936947419654e+00,  8.6873161068704e-02, -9.6393673901872e-01
                    A,  2.1609388198998e-01,  8.9638960748696e-01, -1.0366584566807e+00,                    B, -3.6333837144585e-01, -9.5650316484045e-01, -1.4491790862763e-01,                    B, -1.3925274253789e+00,  2.6832245716174e-01,  1.9073227680689e+00,                    A,  2.0970893012420e+00, -1.3513224802399e+00, -8.3372625078592e-01,                    A,  7.4579778338039e-01,  1.6919307904665e+00, -1.7598103593653e+00,                    A,  2.0524655758702e+00,  2.6470566392835e+00, -3.6043324387494e-01,                    B,  3.0944517483064e-02,  6.3835663981448e-01,  5.3628192280677e-01,                    A, -1.0005790960717e+00,  7.4005307923463e-01,  9.8359309654981e-02,                    A, -6.2725166752472e-02,  2.0948962926359e+00,  2.3964985056605e-01,                    B,  1.4469214683255e+00,  6.5557713063747e-01, -1.2384296493329e+00,                    B,  7.2467198830197e-01, -3.0856560319883e+00, -3.4899961033982e-02,                    B,  5.6674095209021e-01,  2.1885853507779e+00, -7.0891807223249e-01
                    B, -1.7222366851749e+00, -6.5973937697150e-02, -4.1205068805421e-01,                    A,  2.7735810189470e-01, -9.4380125046495e-01, -3.4182199195037e+00,                    B, -9.9985747889118e-01, -2.1864710063093e+00, -8.3798060223982e-01,                    B,  1.3594961554139e-01, -6.8468461458244e-02, -4.3847710943423e-02,                    B, -8.7640635438050e-01, -1.9926107771135e-01,  1.4049012418527e+00,                    B, -1.1913596516612e-01,  8.2759609001703e-01,  8.7522854649614e-01,                    A,  2.2435965728421e+00, -4.5196039309388e-01,  1.0697680103839e+00,                    A, -1.0456055782071e+00, -1.2832777473296e+00,  1.9031967006710e+00,                    B,  9.8921110855139e-01, -1.2879185546154e+00,  1.6414384666242e+00,                    A, -1.1167310423516e+00,  4.6402038432291e-01, -1.9046262595635e+00,                    A, -7.5933168790292e-02,  1.1116360048506e+00, -1.7823752160695e-01,                    A, -1.2387383870353e+00,  2.0159689972429e+00,  9.7186658438652e-01
                    B, -1.2535090066395e+00, -1.2482276023952e+00, -3.2388618380514e-01,                    B, -1.3867871504597e+00,  3.5503103697051e+00,  1.1346370511765e+00,                    A, -9.8952541291769e-01, -1.0489379365236e+00,  1.7325184435878e+00,                    B,  1.5051326882937e+00,  1.5911456261601e+00,  1.5148514696504e+00,                    A, -1.8375286762136e-01,  1.1774282690107e+00, -3.1248908410306e+00,                    A, -1.8519313775072e+00, -2.8245361143129e+00,  6.8327882874409e-01,                    A,  7.3462467638179e-01, -1.1460358999689e+00, -2.3165429697472e+00,                    B,  4.0937333230407e+00, -4.4456405785398e-01, -2.4352095013559e-02,                    A,  4.2216054308115e-01, -1.4571163111599e+00,  1.6259322655758e+00,                    B, -6.8036163442870e-01,  1.6539836135555e-01, -6.4599554241756e-01,                    A, -5.3617963437778e-01,  2.4853475786831e+00, -8.4110339675278e-01,                    B, -1.7047902967153e+00,  4.2363064518618e-01,  2.8876847126173e-01
                    B,  3.7205889234109e-01, -1.3030500015032e+00,  6.9750874156466e-01,                    B, -2.7323342898264e-01, -1.6910231441898e+00,  1.8231989090889e+00,                    B, -2.4526374781652e+00,  1.5957239203547e-01,  1.6271438990121e+00,                    B,  4.4697532084035e-01,  1.0732517131151e+00, -7.9332616828051e-01,                    A,  1.1010289292858e+00, -6.8460894675799e-01, -7.4684952487963e-01,                    B,  3.7773734976549e-01,  1.0300382134444e+00,  2.4498292554312e+00,                    A, -1.1621680410481e-01, -6.9618550703625e-01, -7.1261773659773e-01,                    A,  8.5786392667654e-01,  1.1113444801984e+00,  1.0795472392084e+00,                    A,  2.5136162068943e+00, -5.3851585477675e-01, -1.9414597246163e-01,                    B, -5.7616932121075e-01,  1.5098588067839e+00, -1.2528781474533e+00,                    A,  1.5123138295289e+00,  4.2162093482445e-01,  3.3155983689011e-01,                    A, -7.1795023069852e-01,  2.0904517528895e-01,  8.7918017529620e-02
                    A,  3.1248248804470e-01, -2.7426835736230e-01,  9.4315715158431e-01,                    B,  1.3196569322954e+00,  1.5797461977154e+00,  1.8495163256302e+00,                    A, -9.4574345843877e-02, -1.3684986076905e-01, -1.0170838606159e+00,                    A,  1.6229747748340e+00,  1.5433519127162e-02,  1.5218775550064e+00,                    B,  1.0695168171576e+00,  1.2160698406830e+00, -1.8022672335356e+00,                    B, -1.5429457413606e+00, -8.8394798666102e-01, -1.3323314060339e+00,                    B, -2.7314785607080e+00, -4.1850966236138e-01,  2.6755329142415e-01,                    A,  1.2052329587380e+00,  1.9955672065004e+00, -1.1359780611616e+00,                    A, -7.9554152396103e-01, -1.8626680211527e+00, -4.0079486306512e-01,                    A, -4.1118207183423e-01,  1.4647030610141e+00,  2.3644352854248e-01,                    B, -4.2657744689574e-01,  1.3957681783614e+00, -1.8378082301941e+00,                    B, -6.6674623780210e-01,  2.3698116192394e-01,  2.0657168868102e+00
                    B, -3.9900523512155e-01, -2.8456716119606e+00,  1.3465315622596e+00,                    A,  1.6059618832101e+00, -1.0866021843430e+00,  1.3064107071620e-01,                    B,  1.9909769030138e+00, -5.2882570840590e-02,  1.5886599670199e+00,                    B, -2.3312079104360e+00, -4.3465014258064e-01,  2.2023748665325e+00,                    A,  1.2808318481624e-01,  3.5739405863626e-01, -1.1265000928069e+00,                    A, -2.0161542334957e-01, -3.3674994583564e-01, -1.8897459559007e+00,                    B, -2.1832608378886e+00, -6.8887693170788e-01, -6.5715365995568e-01,                    A, -2.9460464027452e-01, -1.7796004305566e+00, -1.8380544053564e+00,                    A,  2.3823350673467e+00,  9.3652609005553e-02, -5.4501551876275e-01,                    B,  2.4803273892689e-01,  6.4892254510145e-01, -4.0563570814031e-01,                    A,  1.1301247783817e+00, -2.6171712037125e-01,  1.0382997584937e+00,                    B,  9.8530206873085e-02,  8.7457078691275e-01,  1.0306571840120e+00
                    A,  3.5666561037393e-01,  2.7363164544072e+00,  1.2820774329046e+00,                    B,  1.5018791841352e+00, -2.3232652644127e-01,  5.9157125868019e-01,                    A, -7.0413250591148e-01, -5.5023282303277e-01, -1.1778057591540e+00,                    A,  1.5014323073246e+00,  6.6955031385791e-02,  2.0463488588714e+00,                    B,  1.1421788511739e+00,  1.1219696333623e+00, -1.0663206753158e+00,                    A, -1.3020627931343e-01, -2.3000041099204e+00,  1.6988199740333e+00,                    B, -3.5260776609879e-01,  1.8497445000242e+00,  6.2789270248564e-01,                    B,  2.7246911102498e-02, -5.0628529260425e-01,  5.3955719668894e-01,                    B, -2.0590829659252e+00,  9.8547314404454e-01, -7.2226765783573e-01,                    A,  8.7768122427646e-01, -1.0851114295795e+00, -2.0726719161029e-01,                    B, -2.6733546074128e-01,  1.8457961656342e+00, -7.8514018074545e-01,                    A,  5.3376729460315e-01,  3.5145298103155e+00, -9.3987157996940e-01
                    A, -4.2154774589200e-01,  2.7325197104596e-01,  8.0927639208832e-01,                    B, -1.1642417185533e+00,  1.4233509817961e+00,  2.1432315382496e-01,                    B, -1.2378206621167e-02,  6.1993208517975e-01, -1.1140988178508e-01,                    B, -1.0238081712940e+00,  1.9230480655396e-01,  4.9977019215034e-01,                    A, -7.8523580361917e-01, -1.2490314774727e-01, -6.0804883077973e-01,                    A,  1.4297138103763e-01,  5.2702418509113e-02, -1.1906293104956e+00,                    B,  1.2443968099642e+00, -1.0885700868083e-02,  1.8430195556803e-01,                    A,  1.4905522761215e+00,  1.3739746932604e+00, -9.7340662776396e-03,                    A, -1.0546870830617e+00, -1.1151532052167e+00,  1.6385188969098e+00,                    A, -1.8396901440581e+00,  5.2718851902291e-01, -1.8710125650994e+00,                    B,  2.2668777993175e+00, -9.7017957410026e-02, -7.3814316239682e-01,                    B,  3.6180595055944e-01, -9.6662748780682e-01,  1.4687847481212e+00
