#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B, 1.066029556519e+00, 1.266117690091e-01,-1.982391482476e+00,                  A,-6.067788650982e-01,-1.712874619487e+00, 2.202006249407e+00
                  A,-9.186054895612e-01, 1.599628124761e+00, 1.573606421683e+00,                  B, 1.059494420729e-02, 1.689249920786e+00,-5.527069563111e-01
                  B,-1.842802894697e-01, 1.328300200374e-01,-8.819959841928e-01,                  A,-2.098152696473e-02, 1.693168494795e+00, 6.512540297011e-01
                  A,-2.370353654091e+00,-1.714107821511e+00, 1.570174017083e+00,                  B,-6.053974104359e-01, 8.564939295902e-01,-9.248423540326e-01
                  A,-2.246373574347e+00, 8.497463202190e-01, 2.948748894415e-01,                  B,-3.255366124275e-01, 1.318723119037e-01, 4.885518163315e-01
