##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  1.0050980808206e+00,  1.1350979504653e+00,  1.6014604613654e+00,                    A,  5.3673112363988e-01, -1.1873886210878e-01,  1.2880923023243e+00,                    B,  2.0334560625021e+00, -6.9381904160228e-01, -2.0672279584159e-01,                    A, -1.0312795581816e+00,  1.5860551251707e-01, -1.0975840034386e+00,                    B,  1.2818188547883e+00, -2.6547385379176e+00,  2.5930061223793e+00,                    B, -2.0737893998554e+00,  2.1440785363724e+00,  2.2683861603085e+00,                    B,  1.6148912740811e+00,  9.5447499942459e-01,  3.1202988032267e-01,                    A, -1.1663788608800e+00, -2.5965072410689e+00,  3.2128217834280e-01
                    A,  1.6561753425803e+00, -8.3589832447005e-01,  6.8594626166263e-01,                    B,  1.6269290620452e+00,  3.7995174149590e-01, -2.4357963450646e+00,                    A,  2.0163035504763e+00, -2.0066570256940e-01, -1.1757032792403e+00,                    B, -6.5386797033760e-01,  1.0749439736158e+00, -8.0938502840496e-01,                    B, -1.2918471367160e+00,  2.4437546268595e+00,  6.4169509067741e-02,                    A, -8.1539536178238e-01, -2.5808096421142e+00,  2.6172381063495e-01,                    A, -5.3444502341906e-01, -8.5432642117864e-01,  1.2261278028731e+00,                    B, -1.2384627070120e+00, -4.3048425219964e-01, -1.5594831513542e+00
                    B, -1.2305403055883e+00, -8.5047366548945e-01,  8.1067012438759e-01,                    B, -5.6702418885316e-01,  2.3412387935647e-02, -1.7961596254796e+00,                    A, -9.1454867470082e-01,  2.5458616356105e+00,  1.9613312271495e+00,                    A, -1.7328449923947e+00,  2.3344388824560e+00, -9.5708953046456e-01,                    A, -2.2059558094746e-01,  1.5531292709041e+00,  3.6043549152133e-01,                    B, -2.4135341249731e+00, -8.3361352700845e-02,  2.1343762285263e+00,                    A,  9.1515528104499e-01, -5.1402802117175e-01,  9.4882408426754e-01,                    B, -1.0544194290000e+00, -1.7555251897892e+00,  1.3189153794689e+00
                    A,  1.0408412644309e+00,  6.2939009918014e-01,  1.5151513606937e+00,                    A, -1.0705098159750e+00, -2.1586366699254e-01,  2.0402262459599e+00,                    A,  6.5742961734142e-01,  9.7454986915185e-01,  5.8283137136045e-01,                    B, -1.2521173738899e+00, -5.1334282014776e-01, -4.1635847032867e-01,                    B,  2.0082126137564e-01, -5.2608057934866e-01,  2.3377695228542e+00,                    A, -5.6332145549523e-01, -6.1123916673575e-01, -1.1278497635947e+00,                    B,  2.1142753086036e+00, -2.0973512398605e+00, -6.7594159359436e-01,                    B,  3.0704935194674e+00,  1.7259725246444e+00, -1.5049866004273e-01
                    A,  1.0653103039910e+00,  1.3014766658206e+00, -2.4914433789349e+00,                    A, -2.0614191875391e+00, -2.3062776726053e-01, -1.6891646284954e+00,                    B,  4.6105478146981e-01, -1.8304859925235e+00,  7.8387516790418e-02,                    A,  2.5303319308233e+00, -1.1844517802093e+00,  1.1012088040836e+00,                    B,  6.9117390352537e-01, -2.5529174351360e+00, -7.5338065853731e-01,                    B,  5.0732528838647e-01, -2.1275119655526e+00, -2.4322940310793e+00,                    B, -1.1595838299053e+00, -1.4249259805909e+00, -2.1094093021880e-01,                    A,  8.0883458964559e-01, -9.2360443104153e-01,  1.0913338195827e+00
                    A,  1.1890503889370e+00, -2.4316311100377e+00, -1.1631406138525e+00,                    B, -8.1735762873987e-03, -1.3408901277313e+00,  7.9177830387668e-01,                    B, -9.7959246288796e-01,  2.1294924654635e+00,  5.0339172344055e-01,                    B, -3.7259383273178e-01, -5.4536612642625e-01, -2.0772382488477e-01,                    A,  1.3553395781775e-01, -1.2387490805281e+00,  4.3705286370034e-01,                    A, -9.5350705634243e-01,  4.2914434793939e-01, -8.2490949396185e-01,                    B, -7.7824640259975e-01, -2.4269725169041e-01,  2.8041223114566e+00,                    A, -3.6980721316703e+00,  1.2974683844639e+00, -2.0320321582659e+00
                    B, -5.5705326181391e-01,  1.3777399257331e-01, -4.5722237197622e-01,                    B, -1.8442335807966e-01,  2.4857090394568e-01,  7.1047926424075e-01,                    B, -5.3074289007402e-03, -3.4015331893273e-01, -8.1556319029974e-01,                    A,  3.5183907191402e+00, -1.3529662745334e+00,  2.5783080220612e+00,                    A, -2.4987253541745e-01, -1.1098427687098e+00,  8.4392216476232e-01,                    B, -9.5786183331605e-02, -1.1741347972028e+00,  2.7799482468308e+00,                    A, -5.0046476213751e-01, -1.2273276761912e+00,  4.4774353455832e-01,                    A,  1.1173119185463e+00,  1.1219484917855e-01, -4.8011539417350e-01
                    A, -2.1500055553826e+00,  5.1807621399453e-01, -2.0188441399398e+00,                    A,  3.5549421058427e-01,  1.1595252914236e+00,  1.2442010299503e+00,                    A,  2.8736328953594e+00, -1.3728469386239e-01, -3.3954997747603e+00,                    B,  1.2039088517358e+00, -2.2870842757939e-01,  1.3037700817217e+00,                    B,  1.0639699648031e+00, -5.6769062254658e-01,  2.5610129675810e+00,                    B, -1.5793350937500e-01, -1.7272180192207e-01,  1.2677119045876e+00,                    A, -6.7203441644485e-01, -3.5723662306156e-01, -1.2007913514417e-01,                    B,  1.3883907666423e+00, -1.0890916608874e+00,  7.1318642335684e-01
                    A, -3.9803191549854e-01, -3.8669132515227e-01, -1.6934396218455e+00,                    A,  1.2371384043471e+00,  1.1548822881492e+00,  5.3536780178125e-02,                    B,  3.6738476415696e-01,  1.3417850317347e-01,  2.6753353478732e-01,                    B, -5.9175628459604e-01, -9.8242513990205e-01, -4.0914121891035e-01,                    B,  9.0104861544278e-02,  9.4423050810603e-02, -3.9297251057886e-01,                    A, -6.3011254160234e-01, -1.6231927021122e+00,  1.4195448754751e+00,                    A, -2.7345673595275e-01, -2.3208369051482e+00, -3.7281341417065e-01,                    B,  6.4972864370961e-01,  9.7908856083021e-01, -2.9217621064975e+00
                    A, -5.6987352586656e-01,  5.9088016909813e-01,  3.1510704956177e+00,                    A,  3.0786483490689e-01,  6.1199751912311e-01,  1.4955129273165e+00,                    B,  5.8761985310885e-01, -1.6303469722209e+00, -1.3449050922699e+00,                    A,  1.2878635902632e+00, -2.2746548511450e+00, -1.2378600062827e+00,                    B,  2.1732950170022e+00,  1.9684416125744e+00,  2.6500366632410e+00,                    B, -8.0464190072328e-01,  2.6805214210608e+00, -1.4757807932274e-01,                    B, -3.5951185385368e-01, -8.4030403772983e-01, -4.4598786209853e-01,                    A, -1.5678965165113e+00,  3.2537889733650e+00,  3.8027589989897e-01
