#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B, 3.264516241451e+00,-2.059596864527e+00,-1.455245101222e+00,                  A, 3.047660688096e-01,-7.805542036209e+00,-2.041322289230e+00,                  B,-2.016455379990e+00,-2.116242521462e+00,-3.928804042627e+00,                  A, 1.219721479667e+00, 1.899234133542e+00,-1.195937802943e+00
                  A,-2.897198536045e+00, 1.752225213504e+00,-5.838933852324e+00,                  B, 5.358962323888e+00, 1.930849780329e+00, 4.017112258700e-01,                  A, 3.167631971424e+00,-2.779797415037e-01, 7.208124539972e-01,                  B,-1.774089586305e+00,-2.483317551233e+00,-1.739889094505e+00
                  B, 5.497811384507e-01,-4.093205582430e-01,-2.172897216174e+00,                  A, 1.917356441287e+00, 4.314405836759e+00, 4.437965074331e+00,                  B, 2.485443924714e+00, 1.583188501689e+00, 1.556935849604e+00,                  A,-1.904730319130e+00, 2.621017105727e+00,-1.575368773182e+00
                  B,-6.807564587554e+00,-7.606404228045e-01,-3.240444922027e+00,                  B, 2.718891076618e+00,-4.853959667332e+00,-1.561513219942e-01,                  A,-1.767414847733e+00, 4.210362762901e+00,-1.156462436999e+00,                  A,-3.627875629152e+00, 5.230506910156e-01,-1.853492540776e+00
                  A, 1.101294753361e+00, 3.585945022053e+00, 1.929380472732e+00,                  B, 1.532735356345e+00, 1.863082637190e+00, 5.927671203340e-01,                  B,-2.603118959611e+00,-8.129805007798e-01, 2.426698723451e-01,                  A, 9.435894821308e-01, 1.882948320047e+00,-3.528273045709e+00
