#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  A, 2.377043708558e+00,-8.707360671658e-01,-8.748949544227e-01,                  B,-2.232184006637e+00, 7.185397414608e-01,-5.987154915117e-01,                  B,-1.541154688466e-01,-6.208625912467e-01, 2.117225826731e+00,                  A,-5.702032726814e-01, 7.330854723889e-01,-6.429478610889e-01
                  B, 2.959851656199e+00,-5.024650439002e-01, 1.506423673619e+00,                  B,-1.052479271927e+00,-2.538743564298e+00, 2.387401706478e+00,                  A,-1.914667158942e+00,-1.989629684668e+00,-4.987378919559e-01,                  A,-1.683387263805e+00, 3.337530945075e-02,-2.706452204499e+00
                  B, 1.445249365502e+00,-1.272971129297e+00,-1.810199104392e+00,                  A,-2.215022657275e-01, 1.765230184600e+00,-4.731433605386e-01,                  B, 8.618229633738e-01,-1.248645859178e+00,-5.747834678023e-02,                  A,-1.220328060493e+00,-8.851425669036e-01,-2.232507325543e+00
                  A,-1.373600625350e+00, 1.550180232045e-02,-2.609135031521e+00,                  A,-1.261172344559e+00,-1.727263276328e+00,-3.311611234408e+00,                  B,-2.778386501815e+00, 1.573084506814e+00,-1.987707093807e-01,                  B,-7.379477162649e-01,-8.967624856099e-01, 6.207123778759e-02
                  A, 5.799023899798e-01,-4.687502233712e-01,-1.738400790127e+00,                  B,-1.086065344255e-01,-1.584423921111e+00, 1.036740696742e+00,                  B,-2.648455453615e+00,-2.977993563638e+00,-2.458212309490e+00,                  A, 5.448478656566e-01,-4.989602430524e-01, 1.689794943578e+00
