#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B,-3.712299933409e+00, 4.238282156900e+00,-9.245666462986e-01,                  A, 4.934580592433e+00, 3.297228490093e+00, 1.480083170570e+00,                  A, 2.337350420161e-01,-4.168561634435e-01, 7.334520259693e-01,                  B, 4.414213687571e+00,-1.167489513751e+00, 1.400806964074e+00,                  A,-2.485388578632e+00, 2.355541161170e-02,-4.027086621241e+00,                  B, 5.241850088199e+00, 4.720411319576e-01, 8.404888052203e-01,                  B,-4.644477528874e+00,-2.541962323750e+00, 1.843518225499e+00,                  A, 5.629432121752e-01, 2.161480295957e-01,-1.797706555289e+00
                  B, 2.652345558589e+00, 3.616692270019e+00, 2.173954841266e+00,                  B,-5.070891344312e+00, 2.663839041508e+00,-2.635690899262e-01,                  A,-1.870516925281e+00, 5.620337565255e+00, 3.955316547843e-01,                  A,-7.104912654884e-01, 4.504482349441e+00, 5.807940418999e+00,                  B, 1.676894450101e+00, 4.288611974253e+00, 4.166109048127e+00,                  B, 1.291112869432e+00, 2.903569321508e+00,-5.480354788925e+00,                  A,-2.538042229242e+00,-2.334030543184e+00,-1.208512164602e+00,                  A, 4.777401452473e-02,-5.024503514174e+00, 2.369847862662e-01
                  A,-5.254137075862e-01,-9.546905092682e-02,-6.866244388633e+00,                  A, 2.397304337703e+00, 3.555162980441e-01, 1.412117497987e+00,                  A, 5.188006449502e+00,-4.751330078229e+00,-1.619190104703e+00,                  A,-5.690206802869e+00, 1.753887963704e-01, 1.086347276037e+00,                  B, 9.254119310932e-01, 2.408119489195e+00, 4.631823746848e+00,                  B,-1.399237610449e+00, 2.929614736755e-01, 2.936324897559e+00,                  B, 2.394368973196e+00,-3.317100708757e-01, 4.012304848761e+00,                  B, 2.827087324171e+00,-4.790890855728e+00,-1.128011410011e-01
                  A,-6.867430423339e-01, 1.095476528659e+00,-1.072023314919e+00,                  B,-4.012231826011e+00, 6.353598893046e+00, 2.677796231461e+00,                  A,-2.455880787932e+00, 1.057862315004e+00,-2.538008187780e+00,                  B, 9.764526579684e-01, 2.479232648214e+00,-1.932449630889e+00,                  B, 5.121568100598e-01, 1.130499594054e+00,-1.374252205851e-01,                  A,-1.728907154107e+00, 3.925454550764e+00, 1.795590427904e+00,                  B,-1.415808242599e+00, 1.994570310568e+00, 9.911300106748e-01,                  A, 1.269251218467e+00,-5.848312656501e+00,-3.499298599004e+00
                  A, 1.183520238040e+00, 2.160251716489e-01,-2.999254840743e+00,                  A, 2.951317429842e+00, 1.755746782413e+00,-4.451981554108e-01,                  B, 2.402100583677e+00,-1.260763191294e+00, 2.694117359132e+00,                  B,-6.663977532054e-02,-2.249586794633e+00,-1.149132746116e+00,                  A, 2.995285062473e+00, 1.294898023328e-01,-3.414539687672e+00,                  B, 1.270691195936e+00, 4.108448626370e+00, 1.143215574463e+00,                  B, 3.781360096316e+00,-3.468019179069e+00,-7.208370309645e-01,                  A,-1.203147531392e+00, 1.716586784797e-01,-4.455096154709e+00
