##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  1.7288220056835e-01, -1.3837815131465e+00,  8.3720485809813e-01,                    B, -1.1754771360580e+00, -2.4458065406345e+00,  1.2168611003496e+00,                    B, -4.1312532902802e-01,  1.9947404123877e+00,  1.5550992399042e+00,                    A, -6.5410638585436e-01, -3.4867938685462e-01,  1.1238944452935e-01,                    B,  1.1748765120817e+00,  3.6667844854216e-01, -3.7593171629660e-01,                    A,  5.6469942214899e-01, -2.0244799938278e+00, -1.0089704708942e+00,                    A,  8.2994082961866e-01,  5.7027865433095e-01,  2.4842810771619e+00,                    B, -2.5331519259237e+00,  2.1537974297301e+00, -1.2696110463251e-01
                    B, -1.9827396192707e+00, -2.0223059326313e-01, -1.8459233600306e+00,                    B,  2.6976992296812e+00, -7.7774243119089e-01, -1.7850840999458e-01,                    A,  1.3784667737731e+00, -8.1156040171435e-01, -4.7336511269522e-01,                    B, -1.2934664146556e+00, -8.2421131612792e-01,  8.8369885411998e-01,                    B,  9.7828134587621e-01,  1.8059120643325e+00, -4.3057711734512e-01,                    A,  4.2936044634865e-01, -1.8116541374573e+00,  4.8306587897201e-02,                    A, -1.2202927991188e+00,  1.1124453293402e+00, -4.0188391638343e-01,                    A, -2.6781839416704e-01,  1.4063776632994e-02, -1.8536110374252e+00
                    A, -1.6484748287084e+00,  1.2881224076224e+00,  2.0776067426581e+00,                    A, -1.4925112743679e+00, -9.6741383548996e-01,  9.0169672631789e-01,                    B,  5.1126674250441e-01,  1.9390609874778e+00,  2.6107070209242e+00,                    B, -3.8021770019424e-01,  1.3316005848526e+00,  2.0887659698344e+00,                    B, -1.5172644378704e+00, -2.3471191995166e+00,  2.3319748818534e+00,                    A,  5.7752828362791e-01,  1.3887456023057e+00, -1.3172460677234e+00,                    A,  5.0097044605849e-01,  1.8101481333596e-01, -4.8186277184791e-02,                    B,  1.6462105924809e+00,  4.3779447788449e-01, -1.4713283509586e-01
                    B,  2.1826530382116e+00, -1.6775186614365e+00,  4.4001052507755e-01,                    B, -2.1711017613200e+00, -8.9102009061844e-01,  2.6786447408256e-01,                    A, -5.1503554869456e-01, -2.1690593861306e+00, -5.4788576680190e-01,                    B, -1.1997499316027e+00,  6.4664575423798e-01, -2.5573400923034e-01,                    A,  1.1335272861648e-01, -1.6035383639913e-01, -1.0751751413160e+00,                    A, -4.2747160387096e-01, -2.5898004419892e-01,  3.1004733075892e-01,                    A, -1.9936476953922e+00,  1.1347563123729e-01,  1.2654497200204e+00,                    B,  8.4745822745669e-01, -3.6039984660562e-01,  1.6433021740023e+00
                    B, -1.5721705535310e+00,  7.0389060732598e-01,  9.7152738773876e-01,                    A, -3.1065041421213e-01,  5.9678125508296e-01, -1.8049927852259e+00,                    A,  1.0374626710964e+00, -1.4938219814353e-01,  3.7888829982926e-01,                    B,  1.2477716885592e-01,  9.9215620139819e-01,  2.1054328345956e+00,                    B,  3.5046377147099e+00,  4.0291622245221e-01,  4.6481086999196e-01,                    B,  1.4525257800571e+00,  2.1205392484130e+00,  9.7654982240225e-01,                    A,  1.1947432008832e+00,  8.0332788395333e-01, -4.5825884436018e-01,                    A,  1.3073578498148e+00, -2.4775474712763e-01, -7.0855255164331e-01
                    A, -1.2260391306956e+00, -8.0205802119649e-02, -3.0205080154991e-01,                    B, -8.8428031391927e-01,  1.7058988355050e+00, -1.7492719395287e-01,                    A,  6.2535875818106e-01,  8.4841549880083e-01, -1.6248460060963e+00,                    B,  3.0504339193045e+00,  1.5607284794704e-01,  1.5577371261090e+00,                    A, -6.3805210224701e-01, -1.4902588103339e+00, -2.0653091171371e-01,                    B,  1.5602207234942e+00, -8.7553832488785e-01, -8.8024343030011e-01,                    A,  2.0902417560158e-01,  9.2233461588410e-01,  5.6245709241061e-01,                    B, -2.0257407752856e+00,  1.9553128172752e+00,  7.1102548671127e-01
                    B,  9.8736056733756e-02, -2.3585429464774e-02, -9.0725505545058e-01,                    B, -9.0340612330481e-01,  2.0823315344304e+00,  1.6363568543381e+00,                    B,  2.1007844845958e+00, -2.3571576314544e+00, -4.2961150443589e-01,                    B,  1.2499351784561e+00, -1.8366189327283e+00,  7.7524025026589e-01,                    A, -1.7626742901562e+00,  2.6472150220648e+00,  1.6092007574138e-01,                    A,  1.6162009242335e+00,  1.3482924784698e+00,  1.7999353904552e+00,                    A, -2.2998503743549e-01, -2.6497775988159e+00, -1.9593546252926e+00,                    A,  1.7675667767304e+00,  3.0950696128691e+00, -1.7821765458555e+00
                    A, -1.7509539376260e+00, -7.2753743558651e-01,  1.2805702998224e+00,                    A,  9.4165772563233e-01,  8.7774553540541e-01,  1.6263271538901e+00,                    B,  6.4242147046765e-01,  4.7670844461850e-01, -6.9921738476740e-01,                    A, -8.2338603052334e-01,  1.5147126079393e+00, -9.7766875815380e-01,                    B, -2.4140831329878e+00,  1.5668414243404e+00,  1.1408438439962e+00,                    B,  2.4220089669684e+00, -2.5012514524495e+00, -4.1817302921145e-01,                    A,  9.3564119945521e-01, -2.1697404243282e+00,  5.2558257318535e-01,                    B,  1.9005018103573e+00,  1.7154474241299e-01, -7.2323331640699e-01
                    A, -2.6512523548801e-01, -2.0233235471467e-01, -3.9647203155226e-01,                    A, -6.6831091869793e-01,  1.2099235699191e+00,  8.9725852398443e-02,                    B,  1.3489670320088e+00,  1.5787455698386e+00, -1.5115771160011e+00,                    B, -5.6546145869162e-01, -1.4968875723348e-01,  2.6225585605104e+00,                    A,  8.3462355416004e-01, -1.2835189886079e+00,  1.8317007575117e+00,                    B,  1.4865249328157e+00, -1.4620138947850e+00, -4.7325286655955e-01,                    A,  6.9055624706525e-01,  8.6352070265840e-01, -1.4284516788903e+00,                    B, -2.6575557856158e+00,  4.3477701527212e-01, -1.3100239963513e+00
                    B,  1.6415841359332e+00,  4.8243101968846e-01, -1.1494023100311e+00,                    B,  1.7033418186021e+00, -1.5309574734222e+00, -2.0920234011814e+00,                    B, -1.5969074387433e-01, -1.0146264775882e+00, -4.6775727548427e-01,                    A, -1.2810879987937e+00,  7.2152832860676e-01,  6.8565189563428e-01,                    A, -2.2095071111263e+00, -1.3669756580033e+00,  2.2131787880339e+00,                    B, -8.0410106012886e-01, -2.5476099092273e+00, -1.8037861715496e-02,                    A,  2.6304069129869e+00,  3.8881880327728e-01,  2.3766244143598e+00,                    A, -1.0026414412492e+00,  7.2593488895469e-01, -7.4296909925007e-01
