#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B,-2.160743679823e+00,-5.533086230458e-01, 1.349568112681e+00,                  A, 3.850947386910e+00, 1.177853039893e+00, 6.930064586381e-01,                  A, 1.910153391727e+00,-1.573058579721e-01, 6.473555292712e-01,                  B,-9.204065826421e-01,-1.463503613961e+00, 1.310992181730e+00
                  B, 2.704752972279e-01,-4.148022471708e+00,-2.460145487501e+00,                  A,-2.305821778763e+00,-7.298143763629e-01, 4.697287308070e-01,                  B,-3.046496363507e-01,-8.602221909977e-01, 7.270809209016e-01,                  A,-8.603401486429e-01, 5.879665110402e-01,-1.989732322703e-01
                  B,-1.066720967146e+00,-5.206981372222e-02,-4.501171881236e-01,                  A,-6.703265834582e-01,-1.120994471369e-01, 9.824602520439e-01,                  A, 1.325221268243e+00,-3.064303637378e+00, 3.606338349379e-01,                  B, 5.984556141103e-01,-1.239560217894e+00,-6.712658592166e-01
                  B,-2.281627711745e-01,-1.284178379788e+00,-1.253182715597e-02,                  B,-1.007989008281e-01, 1.008300844037e+00,-6.147255399083e-01,                  A,-2.453325221246e+00, 9.359020964902e-01, 2.964420386681e+00,                  A, 1.860176577852e+00,-1.333046878316e+00,-6.878816603960e-01
                  A,-1.036141532724e+00, 7.184365884223e-02, 7.207171666437e-01,                  B, 2.809799060215e+00,-3.742202331825e-01, 3.632161425295e-01,                  A,-9.126341662532e-01, 8.126004086435e-01,-6.675076914141e-01,                  B, 1.414686193963e+00,-1.503882025081e+00, 6.775914746275e-01
