##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    B, -9.9631190260448e-01,  2.5785898900131e+00, -7.0305699713454e-01,                    A,  9.8375702425216e-01,  5.0651099983610e-02,  1.2409854884560e+00,                    A, -6.6279459212366e-01,  7.4617739251746e-01,  1.3596099528794e+00,                    B, -8.1784392921269e-01, -1.9683102946854e-01, -7.1761062651209e-01
                    A, -1.5809614826399e+00, -8.3663773449652e-01,  1.5302372810393e+00,                    B,  1.5620638858306e+00, -2.1843874592196e-01, -1.4713102204961e+00,                    B,  3.1444335148868e-01, -5.0292214376442e-01,  1.4152796755792e-01,                    A, -1.6041831187632e+00, -1.0078490582455e+00, -1.0662947714849e-01
                    A, -9.2407608233567e-01,  3.6464924063973e-01, -1.0339518222087e+00,                    A,  1.4005582648228e+00, -1.3876447860629e+00,  1.0370717089379e+00,                    B, -1.0402541579760e+00, -3.5088482257052e+00, -2.5043170197395e+00,                    B,  1.5393110521125e+00,  1.2084987782445e+00,  4.8228072837598e-01
                    B, -1.7195727735780e-02,  7.4724972852752e-01, -2.1476104942155e+00,                    A,  5.6350093891044e-01,  2.1118734801302e+00, -8.9753188947025e-01,                    B,  2.1019456094849e+00,  7.0537022917000e-01,  6.3044434780053e-02,                    A,  7.6524758092388e-01,  4.4414365245115e-01, -2.0733218404858e-01
                    B,  3.4120991031571e-01,  5.8687528625635e-02, -2.4040100507718e-01,                    A, -1.7332200816538e+00, -1.5240339178254e+00, -1.4548645717284e+00,                    B,  1.5749931346687e-01, -9.6057423865384e-01,  8.9716718550249e-01,                    A, -1.2990827178932e-01,  2.1013611210721e-01,  9.3352894086291e-01
                    A,  4.8937923092762e-01, -1.6345149768627e+00, -1.9187012748760e-02,                    A,  2.2349988068345e+00, -8.1183826785580e-01, -8.9167719260211e-01,                    B, -2.2098879407823e+00, -7.0944896987340e-01,  1.6323510971018e-01,                    B, -1.5074434546351e-01,  1.7774114075719e+00, -3.9803874032647e-01
                    A, -8.2260854396226e-01, -8.5264998393811e-01,  2.3312936242818e-01,                    A,  2.3727234049828e-01, -2.2175361224584e+00, -1.0070583889599e+00,                    B, -4.1825321319749e-01, -2.3104165590620e+00,  1.2779774251900e+00,                    B, -2.7338060981420e-01,  9.8893169200692e-01,  2.2482627086171e-01
                    B,  1.7659438438254e-01,  1.6630847787680e+00,  2.0647777074667e+00,                    B, -5.7759091967251e-01, -8.7994428289832e-01,  1.1501755241363e+00,                    A, -5.0149724894610e-01,  5.4923376648521e-01, -1.2057055577769e+00,                    A,  6.2533941780034e-01, -1.3765310930213e+00,  5.0112984398671e-01
                    A, -2.7495331759094e+00,  1.7472672478708e-01, -2.0965244075430e+00,                    A, -1.7385488802714e+00, -1.6483094610113e+00,  6.7838810233411e-01,                    B,  6.3295332666022e-01, -4.1680358923925e-01,  1.8224035299854e+00,                    B, -4.7718048550748e-01,  7.4955403670232e-02, -2.1385208219936e+00
                    A, -2.0058294981818e-01, -1.3757902087464e+00,  6.3156829234309e-01,                    A,  7.9924287033692e-01, -1.0206072507397e+00,  1.4433729182091e+00,                    B, -3.5833957841052e-01,  2.7428800732078e-01,  1.2206424925147e-01,                    B,  2.9367594198380e-01, -1.2780284886557e+00, -8.5149877188590e-01
