##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    A, -1.0488948728372e+00, -2.4654383184280e+00, -5.2328323848745e-02,                    A, -4.2252627126727e-01,  4.4457189180170e-01, -2.6279011250196e-01,                    B,  3.1027520297584e+00, -4.6121567769410e-01,  3.0053665530182e+00,                    B,  1.5005794590131e+00, -1.4060229709034e-02,  3.9211764779679e+00,                    A, -3.2137747914908e-01, -4.5454668523882e+00, -1.4104373652651e+00,                    B,  2.8323858398890e+00,  2.0413261696467e+00,  6.3240757177371e-01
                    A, -8.8615357282604e-01, -4.5173083191877e+00,  7.5994049538909e-01,                    B,  5.9536901590640e-01,  2.5278666784691e+00, -2.2194404515595e+00,                    A,  9.3795461471869e-01,  6.0808616952574e+00, -3.9330879100233e+00,                    A,  2.2225343279841e+00, -1.9558911532493e-02,  1.3009990983434e+00,                    B, -1.6387189137570e+00, -2.8789600986221e-01,  3.5519020813602e+00,                    B,  1.0521955637286e-01, -3.4040596324325e+00,  1.4157761068823e+00
                    B, -1.8510947237100e+00, -2.5467914674173e+00, -1.3477303845113e+00,                    A,  2.5165585515838e+00, -2.5447452152809e-01, -5.5990784901503e-01,                    A,  1.4051395939625e+00, -5.9068193109145e-01, -2.1489307439121e+00,                    B,  2.9768316551063e+00,  5.4254390665354e+00,  2.6498185185448e+00,                    A, -3.3698769847017e+00,  2.0870186824804e+00, -5.4293401785898e-01,                    B, -2.3615736162228e-01,  5.5197549809561e+00,  2.4160787930386e-01
                    A,  1.8647362378551e+00, -2.0227655157760e+00, -1.2173549958692e+00,                    A,  3.1637820875345e+00,  7.1741940285042e+00,  1.9648403851042e+00,                    B,  3.7575082475998e+00,  5.4150415750123e+00,  9.0307207418713e-01,                    A, -8.5596352328413e-01,  5.4313512154127e+00, -2.6691368129536e+00,                    B, -1.1890345795229e+00,  1.2040376690291e+00,  5.2457193381591e+00,                    B, -1.2600464631499e+00, -9.5640687788372e-01, -1.7620155795422e+00
                    A, -1.2604009639117e+00,  3.0726377220385e+00,  3.9969265108627e+00,                    B,  2.4284133804601e+00,  1.8823319552528e-02,  7.1214496873550e+00,                    A,  3.3580905949784e+00,  1.0982782843231e+00, -3.6747142090902e-01,                    B,  3.6945020691227e+00,  1.8893436991603e-01, -3.6199096454160e-01,                    B,  2.2144232786216e+00,  2.3389159467012e+00,  1.0897673640861e+00,                    A,  2.2802179727475e+00, -5.4893580784241e-01, -3.8926282422920e-01
                    B, -2.8039643836244e-01,  1.2988703195357e+00, -3.8727696437291e+00,                    B, -2.4614199311881e-01,  2.3401184660598e+00,  5.2179800539278e-01,                    A,  1.4280860376236e+00,  1.5903564368202e+00,  2.7396098691755e+00,                    A, -1.2383094848710e+00, -1.6413844709858e+00,  3.6539338381335e+00,                    A,  1.5338720852423e+00,  3.2837630798594e-01,  3.7361247733875e-01,                    B,  1.4385159379002e+00, -3.3550769948655e+00, -2.8505829703887e-01
                    B,  9.2080044834500e-01,  5.2657122169148e+00,  3.3794980238694e+00,                    B, -2.3244695979845e+00,  7.8657384424740e-01, -4.4987870766879e+00,                    A,  1.7880156449835e+00,  1.1882949397976e+00,  3.0979655518044e+00,                    B,  2.5532562130118e-02, -9.5127033052301e-01,  5.5739967496160e+00,                    A, -2.7991889911596e-01,  1.3523353160000e+00,  2.9318592189205e+00,                    A,  3.4909820995564e+00, -2.8122081411403e+00,  1.7555937536082e+00
                    B, -3.3478236949581e+00,  3.4499811497724e+00, -1.4025400509819e+00,                    A,  3.2637664145601e+00, -1.9375677716589e+00, -4.4722751698547e-03,                    A,  2.2121102657981e+00,  1.4319017295439e+00, -2.0551823587193e+00,                    B, -1.7864184003939e-01, -3.1635017818461e+00, -2.3610401057278e+00,                    B, -1.2977766316170e+00, -1.3219779456351e+00,  2.3464435108501e+00,                    A,  1.9440220794822e-01,  2.6494691384869e+00,  6.7771020029260e+00
                    A, -1.3017477772390e+00, -1.3052642191237e+00,  1.7777858594076e+00,                    A,  3.4619553014949e+00,  3.1245708055185e-01,  2.3620952185720e+00,                    B,  3.1966448108464e+00, -3.3219360489482e+00, -3.5517678125885e+00,                    B,  1.0404378856026e+00, -1.1470194826451e+00,  3.5770127021153e+00,                    B, -1.5432548109203e+00, -5.1315437961754e+00,  4.3022475052663e+00,                    A, -1.2829402572607e+00,  3.4497541263157e+00,  1.9384943850800e+00
                    B,  1.9699003377640e+00, -6.4183058181395e-01,  5.3029385456739e+00,                    A, -2.7421852784178e+00,  2.9872362145196e+00,  1.8039903821424e+00,                    B,  9.3929321553056e-01, -2.2889789995356e+00,  5.3325641316671e-01,                    B,  3.2634434742695e+00, -1.9939123383679e+00, -4.1811663362223e+00,                    A,  4.4816731265192e+00, -5.6686820770456e-01,  1.5062282726478e+00,                    A,  1.7182364329777e+00,  4.0729403052312e+00,  1.4356179834835e-01
