##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2
                    A, -3.2429167312744e+00, -4.5223996950811e+00,  7.9250214185518e+00,                    A, -5.9289161083590e-01,  1.2715228099427e-01,  1.3003437044596e+00,                    B, -2.8937206281027e+00,  2.7414194580980e+00, -1.5711195778420e+00,                    B,  1.9315916517302e+00, -7.9347912878275e+00, -1.3404952269983e+00
                    A,  1.4364670094945e+00, -2.1164899252994e+00, -1.5748783713838e+00,                    B,  6.4928482239389e-01,  2.7050344530882e-02,  3.4139670947911e+00,                    A, -7.8061318989830e-01,  2.7183345755809e+00, -1.3647249729463e+00,                    B, -2.5720128390075e+00, -1.2840069299544e+00,  3.4416104592206e+00
                    A,  5.0096559575029e+00,  5.1606546509446e-01, -3.2274260014634e+00,                    A, -1.3168557849451e+00,  1.0506193096873e+00,  1.1766494503997e+00,                    B, -8.6940628763812e-01,  1.6447229548693e+00,  6.6940484922373e+00,                    B,  4.5305733704338e+00, -3.0184365821123e+00, -8.8889368811840e-01
                    B,  2.1100547973958e+00, -1.3892018854754e+00, -1.3466659899901e+00,                    A, -2.2408608144671e+00, -5.0027407007698e+00,  1.2543301886414e+00,                    B,  1.0186262553494e+00, -4.2858802254343e-01,  5.4447526974717e+00,                    A,  7.4136118854531e+00, -1.2218792385460e+00,  4.2953661897415e+00
                    A, -1.0545919632287e-01,  4.0112518350520e+00,  4.0267565481190e+00,                    A, -2.2390708610072e+00, -5.8736859728025e-01,  3.3056899715668e+00,                    B, -3.1522182549165e-02,  2.9810598077717e+00, -1.0911355918263e+00,                    B,  8.3540705389198e-01,  1.2374201219190e+00,  8.0499585800783e-01
                    A, -3.2228933654560e+00,  4.9432192628755e-01, -4.6816455540507e+00,                    B,  5.0104206702547e+00,  1.0630913011446e+00,  1.8004681533748e+00,                    B, -4.8073786632639e+00, -2.2578422604921e+00,  4.4580840225867e-01,                    A, -6.7308480557224e+00, -2.4002008236452e+00, -1.3917265545821e+00
                    B,  1.2845345359807e+00, -3.0617713589221e+00,  2.1287363484400e-02,                    B, -5.2562512351646e-01,  3.5486892048783e+00,  2.1097422304523e+00,                    A, -5.5308462362805e-01,  1.4323526190048e+00, -3.2605235529241e-01,                    A,  5.1539787930462e+00,  5.1850476632915e+00, -2.5467126271786e+00
                    A, -1.3255214567447e-01,  2.1312344331036e-01,  7.8076499975828e-01,                    A, -1.9697706132810e+00,  3.7934481319954e+00, -5.9016809016610e-04,                    B,  4.8030648673115e+00, -3.2549622087737e-01,  2.4894513748736e-01,                    B,  5.3537808108323e-01,  2.3176079412293e+00, -4.6901052665236e+00
                    A,  2.3918878490469e+00, -2.6062926846487e+00, -2.8098222649571e+00,                    A,  5.9316331618996e+00, -1.3416606257896e-01, -2.4468665951323e+00,                    B,  3.7724674791505e-01,  2.8848422591824e+00,  1.4214143545025e+00,                    B,  1.9391431559429e+00,  1.4736114259245e+00,  3.9975161410843e+00
                    B,  7.2017889947027e+00,  8.6691060535061e-01,  2.0425213783827e+00,                    A,  3.0929603056495e+00,  8.3771377962105e-01, -2.6021763892032e+00,                    A, -2.1121087766964e+00, -2.0186835948901e+00, -2.1819118544136e-01,                    B, -2.3867352579145e+00,  2.3365953988603e+00, -6.2131413036880e-02
