#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A,-4.731275957811e-01, 1.094447194934e+00, 7.787152455875e-01,                  B,-2.295611922457e-01,-9.039546162483e-01,-4.921893025710e-01
                  B, 9.364706423923e-01, 2.277444901764e+00, 4.224296073695e-01,                  A,-3.359659325909e-01,-1.493111054075e+00, 5.800333381944e-01
                  B,-3.187746614763e+00,-2.814360417010e+00, 2.310061277064e+00,                  A, 1.451852855181e+00,-1.564792425923e+00,-8.634814644095e-01
                  B, 1.183028350389e+00, 1.322612858656e+00, 1.901817770437e+00,                  A, 2.722172328987e+00,-2.178978574122e+00, 2.084631547786e+00
                  B,-4.057850494765e-01,-3.101079242088e-01, 6.058438023985e-01,                  A,-1.626523865231e+00,-1.817256655795e+00,-1.090704463300e+00
