#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  A, 1.671871549320e+00, 7.444686523985e-01, 4.285892443479e-01,                  B,-4.085377128884e-02,-5.013733170682e-01,-2.003326551184e+00
                  B,-1.380618988167e+00, 1.556226362219e+00,-4.448803565437e-01,                  A,-4.358403147810e-01, 3.714229439012e-01,-5.039503070373e-01
                  B,-1.704700284652e-01, 1.532331983726e+00, 2.008974566228e+00,                  A,-3.880874981097e+00,-2.524309155236e-01, 3.017665974547e-01
                  A, 1.436391390248e-01,-6.962640573347e-01, 7.520930795587e-01,                  B, 8.294914113112e-01,-2.707305368063e+00, 4.349934901625e-01
                  A, 1.128528395683e-03,-2.384070944826e+00, 9.361127907387e-01,                  B, 2.888745442936e+00,-1.003615979539e+00, 7.239679068105e-01
