##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2,            p8 flavor,                p8 x0,                p8 x1,                p8 x2,            p9 flavor,                p9 x0,                p9 x1,                p9 x2,           p10 flavor,               p10 x0,               p10 x1,               p10 x2,           p11 flavor,               p11 x0,               p11 x1,               p11 x2
                    A,  1.4132047466836e+00,  1.8498808202869e+00,  5.0806534371295e-01,                    A,  2.5102032068373e+00,  4.1858632420063e-01,  3.7509070520790e-01,                    A,  1.5821073012964e+00,  5.3193073215140e-01, -6.2894024314045e-01,                    A,  5.2486333664158e-01,  1.6121851642242e+00, -6.3413096101125e-01,                    B, -1.2456482212083e+00, -5.2968647614222e-02, -1.1059552637980e+00,                    B, -2.6433630993363e+00,  1.1996433861834e+00, -5.3767527426005e-01,                    B, -1.3279010381947e+00, -7.9364971132424e-02,  1.4483546670372e+00,                    A,  5.0390386854455e-01,  1.3810155384725e+00,  1.0428327795942e+00,                    B, -1.2509203924173e+00, -1.9754490748293e+00, -3.9146989963536e-01,                    A,  1.4393103532967e+00,  2.1744495254970e-01,  1.0749640275279e+00,                    B, -1.3124109565744e-01, -5.8238036196698e-01, -8.6393923707457e-01,                    B, -2.2214663963514e+00,  6.0496650859878e-01,  8.5985687566775e-01
                    A,  5.8999290376555e-02,  1.5163907731038e+00,  5.9394215249255e-01,                    A,  1.4210090357121e+00,  1.6355566600564e-01, -4.2126122368050e-01,                    B, -2.9074859493183e+00, -1.4434349882348e+00,  5.7789570594294e-01,                    A, -6.5562356233249e-01,  8.6410575716653e-01,  2.5154161345373e+00,                    A, -9.5160372570485e-01,  1.5247657757843e+00, -2.2351295389270e+00,                    B,  2.8738860558135e-01, -3.5844927996911e+00,  6.9783231639476e-01,                    B,  2.4280400648251e+00, -2.7681299656656e+00,  1.1773825585653e-01,                    B,  7.6118621781087e-01, -1.3294479769933e+00,  9.4987077532190e-01,                    A,  3.3434640682396e-01,  2.1277696823576e+00, -1.1507004989111e+00,                    A, -1.6253466351873e+00,  1.4324094089350e+00,  6.1222516878701e-02,                    B, -8.6131164947012e-01, -1.1225758373918e+00,  1.1576328308783e+00,                    B,  1.1090459583553e+00, -8.9752029936086e-01, -2.3030205769275e+00
                    A,  3.4173953215838e-01,  2.0387613324257e+00, -1.1150703839014e+00,                    A, -2.1681317690282e+00, -8.9433782914979e-01,  1.2564712224963e+00,                    A,  3.5435785014096e-01,  1.9731032303697e+00,  1.1364086687613e+00,                    B, -3.6018270192233e-03, -1.5136591169840e+00, -2.0663329626969e+00,                    A, -6.0601785912168e-01,  1.5527837561372e+00, -1.3094469351852e-01,                    B, -5.5517611541027e-02, -5.7121799963291e-01, -7.7317797860256e-01,                    B,  1.1953875688112e+00, -2.1967838101156e+00,  1.0590583602914e-01,                    B,  2.3242404597336e+00,  2.8284432755462e-02, -4.2366913254899e-01,                    B, -8.8681108315339e-01, -6.7143598889155e-01, -2.2867077895375e+00,                    B,  2.3787350336148e+00, -1.5894884574290e-01,  5.8805041365341e-01,                    A, -5.8308437808572e-01,  3.6884995670734e-01,  6.9977902183086e-01,                    A, -1.3570384201811e+00,  1.5907777543841e+00,  4.3994230380152e-01
                    A, -4.0976524130491e-01,  1.7565960302236e+00,  5.2381730396923e-01,                    B, -5.8665272744952e-01, -6.2739059600186e-01, -2.3654983640660e+00,                    B, -2.1101914660135e+00,  4.1248444321223e-01, -2.0252356409824e+00,                    A, -1.0495485063099e+00, -2.0812501615612e+00, -2.9069160221932e-01,                    B,  4.6327417940569e-01,  1.2192777722700e+00,  1.9372549901709e+00,                    A, -2.3461583309269e+00,  8.2229835309055e-01,  5.1572829526808e-01,                    A,  6.5934157428600e-01,  2.2028719006898e+00, -1.8153354157217e+00,                    A, -8.4639574123945e-01,  5.7000753178572e-02, -4.5697647290788e-02,                    B,  3.0692984890305e+00,  5.8440577718206e-01, -6.9543598655867e-01,                    A,  1.1476425959494e+00,  1.9789263923140e+00, -3.0932485048353e-01,                    B,  5.9283016137740e-01, -1.1159544622360e+00, -8.9469386698480e-02,                    B,  1.3030946562143e+00, -9.6736346719427e-01,  1.0632136496489e+00
                    A,  6.8646498983513e-02, -1.8471013724505e-01,  2.7387030763321e+00,                    B, -3.6034476951701e-01,  3.2299347436817e-01, -1.2770950799019e+00,                    B,  2.7222895027122e-01,  3.0173466787306e-01, -4.9490978921121e-01,                    B,  6.1301157110141e-01, -1.5828171641288e+00, -5.8897264593688e-01,                    A, -1.6789079855821e+00,  4.4969703068927e-01,  2.3462974795926e+00,                    B, -3.6825443288432e-01, -1.4639017393179e+00,  5.4046867167276e-01,                    A,  2.2872924177839e+00,  1.7422478931770e+00,  7.3974083479943e-01,                    B,  1.7219060331218e+00, -1.4996534383881e+00,  1.2735282476543e+00,                    A,  1.8136788841326e+00,  1.8656039341276e+00,  2.7028245880984e+00,                    B, -9.3100135827073e-01,  1.9499406557854e+00, -1.6271734183698e+00,                    A, -6.5431363391790e-01,  2.3753038493271e+00,  1.1529265769161e+00,                    A, -1.0223813058884e+00, -1.0137840772340e+00, -3.0407985834738e+00
                    A, -1.0807763129689e+00,  9.8758017604577e-01,  1.2166992676619e-01,                    A, -8.1503075849265e-01, -2.1588847634872e-01, -2.5560100012528e+00,                    B,  1.0749163019052e+00, -2.0260558081125e+00,  1.1521067325558e+00,                    A, -4.1404480825034e+00,  1.1860944646348e+00,  5.1309890544676e-02,                    B, -4.1570010309510e-01, -1.2306268223435e+00,  1.2537994318357e+00,                    A, -1.9066067997288e+00, -9.3693168990892e-01, -7.5247404672860e-03,                    A, -7.3957896326761e-01,  1.6460274983459e+00, -1.7391660990772e+00,                    B,  1.2775132235910e+00, -5.1882947851975e-01, -7.4337365415928e-01,                    A, -2.5021392715391e+00,  1.1666031319987e-01,  1.4428155414065e+00,                    B,  5.7105304497341e-01, -2.1841813841862e+00, -3.8206294736276e-01,                    B,  3.2019062995973e-01, -4.6108968879019e-01, -4.7889862810581e-01,                    B,  5.7124023841062e-02, -2.6765316582528e+00, -1.4399226485404e+00
                    A,  1.5357912645781e+00, -4.7311312575012e-01, -2.0032646341297e+00,                    A,  1.6699890661772e+00,  2.4144639352112e-01,  1.1243007894092e+00,                    B, -3.7375991398914e-01, -9.0056114838498e-01,  1.3819684431742e-01,                    B, -8.1192539274121e-01,  2.2011669115096e+00, -1.3864412016249e+00,                    B, -2.7876343383947e+00, -5.1824368225624e-01, -1.4735003293447e+00,                    A,  1.7927309308888e+00, -1.0701064150206e-01, -2.2289281157953e-01,                    B, -1.5817136178539e+00,  4.8911848304207e-01,  5.8908550811537e-02,                    A, -3.7587858882486e-01, -2.3337973316771e+00, -8.8173954153214e-01,                    A,  2.6474481106383e-01,  1.3180565331638e+00,  5.6433597580794e-01,                    A,  1.7583414328875e+00,  1.3857868740226e+00, -1.3665079421628e+00,                    B, -7.8694130347963e-01, -5.6099356732022e-01,  1.9041535818865e+00,                    B, -2.9604611608457e+00, -5.4798902068068e-01,  6.8913430944144e-01
                    B,  1.3012140458611e+00, -2.1600568007915e+00,  1.2875879141564e+00,                    B, -2.7511381072372e-01,  2.5519913691263e-01,  8.4229529073773e-01,                    A, -7.6805181566284e-01, -8.2998463278034e-01, -1.2759234102667e+00,                    A,  2.3948724040463e+00, -1.0247541970537e+00, -1.1854690064603e+00,                    B,  1.0203917688526e+00, -2.6534698799736e+00, -5.2164165719814e-01,                    B,  2.6284675303918e-01, -6.2914235152431e-01, -1.6717955852514e-01,                    B, -2.2602546304669e+00,  2.4991294527739e-01,  9.5309853913694e-02,                    A, -1.6880146497643e+00,  1.9860368586531e+00, -1.5897063887949e+00,                    A,  2.4835769152813e+00,  1.4278450412615e+00,  3.3932330955482e-01,                    B, -6.0612851859899e-01, -2.8573199830281e+00, -1.0859964222246e+00,                    A, -1.0287521383987e+00, -1.9745672061142e+00,  1.2631063458417e+00,                    A,  1.9169187488151e+00,  2.7079212465179e+00, -1.6445392852248e+00
                    A,  1.9535345672441e+00, -2.9335041199873e+00,  3.3837388751181e-01,                    A,  5.4713683389294e-01,  1.3609038375645e-01, -2.2699193216535e+00,                    A,  5.2998951315013e-02,  2.8562250450803e+00,  1.3806547881739e+00,                    B, -2.5301255978997e-01, -2.6504119023349e+00, -3.4929741371048e+00,                    B,  2.4140488130897e+00,  1.1083484963360e+00,  2.5646878524204e-01,                    B,  8.3511019681178e-01,  5.5686472756601e-01,  1.0721704428060e+00,                    B, -8.6059440125050e-01, -2.9256645411390e-01,  1.9976849004423e+00,                    A, -7.2488443472528e-01, -2.3577986796897e+00,  1.2100913659170e+00,                    B,  3.2189323416586e+00, -1.4143120094601e+00,  5.5426173877820e-02,                    A, -1.4717983170888e+00,  4.8478599283735e-01, -8.5409465231282e-01,                    A, -2.5367551480161e+00,  1.9453112850335e-01,  3.2290137721358e-01,                    B,  1.1381949062437e+00, -3.3546253105680e-01,  1.0803715331348e+00
                    A,  1.4361834218158e+00, -1.1385883729052e+00,  1.4123173903056e+00,                    A,  1.5680653780355e+00, -8.8066232427210e-02, -1.9711888607608e+00,                    B,  4.9993318207958e-01,  1.8586782917642e+00,  1.2251132911420e+00,                    B, -2.2041791215117e+00, -7.3658395410301e-01,  5.6851459795054e-01,                    B, -5.5054322231565e-01,  5.8761489101329e-02,  1.7509230147945e-01,                    A, -3.4987008601163e-01,  2.9271064680659e+00,  2.1222782703008e-01,                    A,  2.5008073687886e+00,  1.1275884119079e+00,  2.3436241819868e+00,                    B, -8.5202280438869e-02,  4.3426748668800e-01,  2.0166890491736e+00,                    A, -9.9625668215088e-01, -3.2895631770217e-01, -2.2787630282620e+00,                    B, -1.4222448168698e+00, -2.0485574100434e+00, -1.3667686031960e+00,                    B, -9.4715095995036e-01, -8.5689560919655e-01,  1.6027020518825e+00,                    A,  1.3177146877965e+00, -1.8021424747627e-01, -7.4363714998707e-01
