##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B, -1.1272354268031e+00, -5.5004008304821e-01, -6.0538576098572e-01,                    A, -1.5143305927063e+00, -3.7023007619956e-01,  8.3827787922786e-01
                    A,  9.5654831580205e-01, -7.0877544071364e-01, -7.3868445035614e-01,                    B, -9.5143009860850e-01,  5.4436143536646e-02,  1.4688115058948e+00
                    A, -9.5253877680106e-01, -2.0073643053485e+00,  1.0650623044842e+00,                    B,  4.7397324670668e-02, -1.1756423749918e+00, -5.1946282146318e-01
                    A, -2.6120505216345e+00, -1.0023161647031e+00,  5.0860837663638e-01,                    B, -1.6020209918085e+00, -4.9270103871726e-01, -1.0466837266140e+00
                    A, -2.4133346241656e-01,  5.4010549412983e-01, -3.9111241766419e-01,                    B,  2.6033520775453e+00, -5.8082570978076e-01, -7.1529716368388e-01
                    A, -6.3214167982299e-01, -2.1001906621374e+00, -1.9884069183048e+00,                    B, -1.9413910066330e+00,  1.2049019457473e+00,  1.8184724712971e-01
                    B,  1.8786945052349e+00,  8.4824281576639e-01, -1.2608943668748e+00,                    A,  1.7951605240246e+00,  8.6578695036326e-01,  2.3817406693889e+00
                    B,  2.0818665630414e-01, -3.5544066412199e-01,  5.7860744142577e-02,                    A, -1.0608788907012e+00, -1.4218423346787e+00, -1.2042579330289e+00
                    B, -1.1952726955623e+00, -1.8382052143108e+00,  1.8362705796366e+00,                    A, -1.1818536542435e+00, -1.9604607706698e+00,  3.4301569328853e-01
                    B, -1.6056725489709e-01, -1.0598432881763e+00,  1.8618584237020e+00,                    A,  1.2449815490395e+00,  2.4450497743869e-02, -5.7660733837764e-01
