#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B,-1.393345180072e+00, 5.364551324283e+00, 1.693153415965e+00,                  A,-3.164329113247e+00, 2.441619486472e+00,-2.597136637332e+00,                  B,-1.456033398563e+00,-4.074431353485e+00, 1.237996590065e+00,                  A,-1.169842102356e-01,-1.590180132244e-01, 3.096854609022e+00
                  B,-2.549064077296e+00, 3.685420986668e+00,-3.427011329208e+00,                  A,-2.865452408051e-01, 1.240433283771e+00,-2.529187495051e+00,                  B, 6.909017580635e-01,-2.512830224708e+00, 3.816791485873e+00,                  A, 3.733325968565e+00, 8.460627680040e+00,-3.913162986306e-01
                  B, 1.760981836006e+00, 3.551832473327e-01, 2.889237275307e+00,                  B,-6.043188015144e+00, 5.454334854563e-01, 2.729208428659e+00,                  A,-4.931150258494e-01,-5.483874296183e-01, 3.938355901604e+00,                  A,-3.062767881414e+00, 3.684575948632e-02,-2.834959848092e+00
                  A, 3.130092410271e+00, 1.315373292496e+00, 2.134495014188e+00,                  B, 4.807622754538e+00, 4.251024557013e-01, 1.845557424137e-02,                  B,-3.356186960737e+00, 9.365302990967e-01,-1.105222126576e+00,                  A, 9.760571129745e-01, 3.140675480080e+00, 6.153824066377e-01
                  A,-3.764195674680e+00, 1.875400012233e+00, 1.147728281683e+00,                  B,-1.368740529898e+00,-3.500331957517e+00, 1.022040819691e+00,                  B,-4.480577379512e+00,-1.852966484140e+00, 6.753867838515e-01,                  A,-2.649545375730e+00, 2.008916747979e+00, 3.612000620620e+00
