#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  B,-7.784189443076e+00, 6.134686413220e-01, 3.593920970200e+00,                  A,-2.052466978857e+00, 2.620392632546e+00, 2.932795363129e+00,                  B, 1.298624939833e+00,-1.801545893772e+00, 1.066622097328e+00,                  B, 1.895601932752e+00, 3.930608777287e+00, 5.932458502614e-01,                  A, 2.091476306882e-01, 5.405017814034e-01, 1.149370035205e+00,                  A,-6.775206427365e-01,-6.721648105637e-01, 2.624508300931e+00
                  B, 4.588348987689e+00, 3.603218482490e+00,-1.996593361370e+00,                  A, 1.482732707365e-01, 1.010041296481e+00, 5.848805915575e+00,                  B,-2.675837238426e+00,-2.019291712211e+00,-4.125339898131e-01,                  B, 4.554904354689e+00,-8.694098199621e-01, 6.216617182197e-01,                  A, 3.333207103291e-01, 3.717920505036e-01, 1.821452266590e+00,                  A, 2.342786739411e+00, 2.738476094079e+00,-6.253209357552e+00
                  A,-2.444218639840e-01, 4.842298101493e-01, 1.702309505435e+00,                  A,-6.305108588655e+00,-8.784162836219e-01,-4.685454016639e+00,                  B, 2.367679943707e+00,-1.068545171510e+00, 9.241387448835e-01,                  B,-3.657025673928e+00, 4.283494062825e+00, 1.313810585532e-01,                  B, 7.540379344681e+00,-7.867377805748e-02, 2.365663626473e+00,                  A, 2.267620692317e-01, 1.297697216925e-01,-3.366899909326e+00
                  B,-1.473310139463e+00, 5.898467760632e-01,-5.828129045725e+00,                  A, 2.231229615181e+00, 2.528801469645e+00, 2.231068910878e+00,                  A, 3.246769920117e+00,-1.252838607858e+00,-1.950709385335e+00,                  B,-1.604474880648e+00,-6.742919435185e-01, 2.814480432907e+00,                  B,-1.981359820793e+00, 1.445090357223e+00, 2.171702550913e+00,                  A,-4.050260194121e-01,-2.537439050160e+00,-1.710956464368e+00
                  A,-6.098326979443e+00, 5.378682473191e-01,-5.773440868193e+00,                  B, 8.584693373020e-01,-9.955677734167e-01, 2.370492342876e+00,                  B,-4.893543474834e-01, 3.313408752426e+00,-7.978955525606e-02,                  A, 3.116007429227e+00,-2.008818549493e+00,-4.758367866077e-02,                  A, 4.708536971448e-01, 1.458308095566e+00, 1.405589948940e+00,                  B, 2.134480977846e+00, 2.348969405766e-01, 1.218754424122e-01
