##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -8.1615742369895e-01,  2.0464291509869e+00,  6.9282031352101e-01,                    A,  4.7591188998349e-02,  2.6945450060502e-01,  6.4672765672518e-01,                    A, -1.7742890372695e-01,  1.7155070390067e+00, -1.1411960525570e+00,                    A,  2.8370908185203e-01,  3.9529637271681e-01, -2.7576559146165e+00,                    B, -9.1905992785204e-01, -8.3613052302650e-01,  9.4174525766958e-01,                    B, -6.7106293654717e-01, -5.9346478719858e-01, -1.3649019186578e+00,                    B,  5.4800376466528e-01,  1.5352890960667e+00,  5.6339995980592e-01,                    B,  1.5926864032442e-01,  1.6058535996446e-01,  2.1653573297651e+00
                    A,  1.9977403491255e-01,  1.4691970830615e+00,  1.3074709038947e+00,                    A,  1.4388979506617e+00, -4.0729946198882e-01, -2.6203000404335e+00,                    B,  3.2581878777408e+00, -5.5819008864932e-01, -7.4395889596709e-01,                    A,  3.2600160156863e+00,  1.5586060523393e+00,  1.4588282758002e-02,                    B, -5.1882374190756e-01, -1.8402598896745e+00, -2.6546187637057e-01,                    A,  5.1195101183976e-01,  1.2271489904469e-01,  5.6705445765680e-01,                    B,  5.0023874535215e-01,  2.7851810218316e-01, -9.1328795931698e-01,                    B,  7.0774261768498e-01, -1.8055166267191e+00,  1.0937841436129e+00
                    B,  1.4727200355770e-01, -3.7338714503369e-01, -1.3191804300407e+00,                    B, -1.5582221604261e+00, -1.4575134706394e+00, -3.6062201105427e-01,                    B,  1.3092374251953e+00, -1.1128375168116e+00,  2.4805379306080e-01,                    A,  9.3578808548460e-01,  1.3338329680589e+00, -8.5234780116886e-01,                    A, -4.5689044717891e-02,  2.7601261808488e-01, -2.3742804764027e-01,                    A,  8.5247547445286e-01, -5.7003217067040e-01,  1.3191360630643e+00,                    A, -2.1438435807259e+00,  2.0018522031255e+00, -4.0620705872133e-01,                    B, -7.9111514991406e-01,  3.5190065545623e-01,  2.4818651557999e+00
                    A, -1.6964235895403e+00,  6.2309379627286e-01,  7.7203481222594e-01,                    A, -5.7022104366392e-01,  4.2062090351438e-01, -1.5630103170798e+00,                    B,  1.0694779039086e+00,  5.5333011710270e-01,  1.1826482261879e+00,                    B,  3.0872065660554e-03,  3.2575153795163e+00,  1.1950189605083e+00,                    B,  4.0759484693537e-01, -5.8469142204322e-01, -9.7870805171671e-01,                    A, -4.8705072532254e-01, -1.5912351052305e+00, -2.3044975086216e+00,                    B, -1.4923619779508e+00, -1.1055564373547e+00, -6.9548067295697e-01,                    A,  3.2229604473239e-01,  1.6638237745180e+00, -3.0350235285239e-01
                    B, -1.6072893966531e-01, -3.9272081727390e-01, -9.3210838852395e-01,                    A,  7.3125377430310e-01,  5.0784487834728e-01, -1.4155019740549e+00,                    A, -1.4250234762376e+00, -5.5509693740458e-01, -1.6201597680228e+00,                    A, -9.8274339253816e-01, -1.1690728336398e+00, -1.0743301981166e+00,                    B,  5.2277043195955e-02,  7.4728455004972e-02,  1.9115353018766e-01,                    A,  5.1591629982214e-01, -1.7884983904360e+00,  2.5064683498314e-01,                    B,  2.0386711216005e+00, -4.4537640173561e-01,  1.3447514878277e+00,                    B, -1.2374839905776e+00, -1.3079396444350e+00,  5.2992328664277e-01
                    B, -3.9851000945792e-01, -1.0670441087154e+00,  7.3413649143257e-01,                    A,  1.8588599611114e+00,  4.8200887921516e-01,  7.2992019875066e-02,                    A, -7.6129445136623e-01,  6.6282115307054e-01,  1.2656350369470e+00,                    B,  7.6679415333261e-01, -4.4516390853895e-01,  7.9087164823417e-01,                    B,  8.4676911618563e-01,  1.4905859895752e+00,  9.7537273958900e-01,                    A, -2.8367163526456e-01, -2.2840073305835e-01, -4.5507354780457e-02,                    B,  2.0389415390409e-01, -2.0520938830402e+00, -1.9745717107908e+00,                    A,  1.9528062929628e-01, -2.8625890908222e-02, -2.0281012114210e+00
                    A,  8.7372350196843e-01,  1.8289774230946e+00,  9.3255748434466e-01,                    B,  1.2881835188867e-02, -6.1907194601710e-01, -8.1180611537250e-02,                    B, -1.1498432008557e+00, -1.1349232714440e-02,  6.3555906032376e-01,                    A, -7.6067293541009e-01, -1.4596927201932e+00, -2.5832623532160e-01,                    B, -1.5181296593681e+00, -1.0942871547311e+00,  1.7885427207878e+00,                    A,  1.0146859513102e+00,  1.8241699105613e+00, -4.3619449284166e-01,                    B,  1.6532550390963e+00,  1.1980909162046e+00,  1.7920060006813e+00,                    A,  2.6713155999102e-01,  5.7925660832081e-01, -9.0089384087548e-01
                    B,  1.4688772088470e-01, -2.5565446319830e-01, -3.7525412512229e-01,                    B, -8.4576145114134e-01,  9.8964504120273e-01,  5.0719181636041e-01,                    A,  9.6983314834373e-01,  1.1242924276511e+00, -2.2560865228092e-01,                    B,  2.4511966808900e+00, -6.6240720725838e-01,  1.8887002429447e-01,                    A, -2.5813595886017e+00, -2.7167350269037e-01,  3.8768642473766e-01,                    A, -3.0595314344374e-01, -7.1418311943779e-01, -2.4149526528601e+00,                    B, -5.2765730897187e-01,  2.1407747905585e+00, -1.3164824310347e+00,                    A,  1.2954831353169e+00, -9.8155539115381e-01, -1.6523787487577e+00
                    A,  1.1240540578787e+00, -1.8907950820082e-01, -1.6836143292181e+00,                    A,  9.7211172097780e-01, -1.1112484664867e+00, -2.1400828096119e+00,                    B,  5.3961403285568e-01, -8.7687624015053e-01, -5.5332313840993e-01,                    A, -8.3314827443033e-01, -2.2550242901745e+00,  1.0367425165213e+00,                    B, -1.0443365324004e+00, -9.1078121166118e-01,  2.4934431667260e-01,                    B,  1.6050691674931e+00, -3.0395382384338e-01, -4.2583453635392e-01,                    A, -1.4613420885766e-01,  3.5374632477894e-01,  1.5003364998571e-02,                    B,  1.2570907140560e+00,  2.9507689684915e-01,  8.3838089533311e-01
                    A,  4.6934548014337e-01, -3.3791665231736e-01,  1.6883411133404e+00,                    A,  5.6466698785790e-01, -8.3423643474235e-01, -5.9541655028029e-01,                    B, -4.3768292654630e-01, -9.2398970866832e-02,  3.3841824629417e-01,                    A,  1.0225398280272e+00,  1.0187046723836e+00, -3.4835030047250e-01,                    B, -1.1060421216810e+00,  1.6925580500945e+00,  1.1043024958818e-01,                    A,  1.9434471686885e-01, -1.7993640148187e+00,  8.4842719440907e-01,                    B,  1.5938006586994e+00, -2.8371518720176e-01,  2.7749083689793e-01,                    B, -6.1742854681437e-01, -6.8719940823954e-01, -1.6592242938034e+00
