#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  A, 5.989754492760e-01, 8.736960034251e-01, 1.026182256017e+00,                  B, 2.095267182506e+00, 1.113408742805e+00, 7.130841493082e-02,                  A,-1.807226159265e-01,-3.528426075192e+00, 1.136876059509e+00,                  B,-4.385774910119e+00, 3.654714860254e+00,-2.536552583001e+00
                  A, 1.680196537895e-01, 4.886793127106e-01, 1.161661643180e+00,                  B,-1.984395728017e+00, 1.551777534830e+00,-8.450404247622e-01,                  B, 2.968947176385e-01, 2.261387850473e+00, 3.740403286591e+00,                  A, 3.452124692623e-01,-2.451565076796e+00, 1.369305860146e+00
                  A,-5.509594089375e-01,-1.054942754743e+00, 8.507675305314e-01,                  B, 2.346061085068e-01,-1.902067391610e+00, 3.194918034268e+00,                  A,-2.142479225347e+00, 3.215140999863e+00,-1.268396236274e+00,                  B,-2.687651320842e-01, 6.856464977043e-01,-1.252741895742e+00
                  A,-4.669900571969e-01,-1.421458291188e+00,-5.916784222972e-01,                  B, 1.545425174208e+00,-2.245354366354e+00, 3.486225543727e+00,                  A,-1.079405775450e+00, 2.204358172340e+00,-1.127985103619e+00,                  B,-4.241749868582e-01,-6.710969844299e-02, 2.322282435623e+00
                  A, 1.488169034506e-01,-4.290880932721e-01, 2.777629072800e-01,                  A, 1.830493601515e+00, 2.961633335491e+00, 1.410427063927e+00,                  B, 1.130733816551e+00, 9.342397879597e-02,-1.703099332291e+00,                  B, 2.468108395452e+00, 1.236675303835e-01,-1.714191137701e+00
