#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  B,-1.090737178755e+00,-8.856818651314e-01, 5.318660208398e-01,                  A,-3.960478362256e-01,-7.746669711675e-01,-1.897915611691e+00,                  B, 1.312199600776e+00,-1.258032018001e+00,-1.253423185647e-01,                  A,-3.884441551637e-01, 8.020694516282e-01, 1.269844191141e+00,                  B, 5.009929550700e-01, 9.412175783225e-01,-6.607558800705e-01,                  A, 1.531012970972e+00,-2.913804601051e-02, 3.272579585741e-02
                  B,-1.441457182279e+00, 2.734888078858e+00, 5.319928158685e-01,                  B,-1.553734460449e-01, 7.667236499006e-01, 7.111093922423e-01,                  B, 1.559284514999e+00, 1.568724176512e+00, 1.147031283442e+00,                  A,-1.252584863164e+00,-1.736195704507e-01,-1.441020175780e+00,                  A, 1.509589782275e-01, 1.403528120472e-01,-1.349023241024e+00,                  A,-2.660895159514e-01,-1.124761466487e+00,-3.414729367097e-01
                  B,-1.588732464314e+00, 4.855699613405e+00,-1.811817410523e+00,                  B, 1.446420117379e-01,-2.268006774663e+00, 5.601063794303e-01,                  A,-2.073976834892e+00, 4.640453827051e-01,-3.893508118698e-02,                  A, 1.841690578548e+00, 1.883023673534e+00,-1.377115259544e+00,                  B, 5.448340089535e-01, 3.922218796037e-01, 5.078092568606e-01,                  A,-3.967843547699e-01, 1.120345651972e+00, 1.359136730877e+00
                  B,-1.364928464326e+00,-2.269290018171e+00,-3.662893586638e-01,                  B,-8.031602886529e-01, 8.084933327769e-01,-1.002692222570e-01,                  B, 6.663562142913e-01, 1.066771449961e+00,-8.759738631719e-01,                  A, 1.083002836060e+00,-1.254717430234e+00, 2.703726298405e+00,                  A,-1.407994256442e+00, 1.323164028943e+00, 9.811960194004e-01,                  A,-2.602207223754e+00,-1.578485682471e+00,-1.834698828059e+00
                  B,-1.600197634272e+00,-4.972515701503e-01, 1.776013127144e+00,                  A,-3.358276516626e+00,-6.326164446345e-01,-5.285336284935e-01,                  A,-2.026897942584e+00,-8.271733863139e-01,-9.749379867910e-01,                  A, 4.124239349271e-01, 1.164457844159e+00, 1.149211995326e+00,                  B, 1.070518911075e-01, 3.889551308139e-01,-1.245871457668e+00,                  B, 6.650627995917e-01,-1.833927863794e+00, 4.771420298004e-01
