#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B,-9.028333619827e-01, 2.864830457467e+00, 1.759995715792e+00,                  B,-2.410528779511e+00, 2.244761159931e+00, 1.523101280043e+00,                  A,-1.249361608288e+00,-1.556544829742e+00,-1.560417187550e+00,                  B, 2.845113663198e+00,-1.575092385135e+00, 3.462350143757e+00,                  A, 1.873821592054e+00, 2.234730707830e+00,-4.837890198359e-02,                  A,-6.716113232644e-01,-3.189011007937e-01, 1.778732010638e+00,                  B, 4.149493450173e+00,-1.650625134407e+00, 3.350112783503e+00,                  A,-1.740317972184e+00,-1.549449914654e+00, 3.224500135475e+00
                  A, 2.609018553971e+00,-4.945126953712e+00,-1.294418687978e+00,                  A, 3.433396544090e+00, 2.287664766030e+00, 2.213501782950e+00,                  B, 1.423592292450e+00,-2.128296739492e+00,-2.158925378263e+00,                  B, 3.917528251308e+00, 4.153422386416e-01,-2.340427804129e+00,                  A,-4.334749398604e+00,-1.881440360199e+00, 1.899435126302e+00,                  B, 1.761729927168e+00,-9.199819416811e-01, 3.171686591357e+00,                  B,-1.694872584202e+00, 7.156896486316e-01,-4.240834443737e+00,                  A,-1.049936052695e+00,-7.875952554008e-01,-9.865833560601e-01
                  B, 2.022138671421e+00, 2.940448669273e+00,-2.023835614338e+00,                  B, 5.722899887484e+00, 2.809245495607e+00,-7.142660189631e-01,                  A,-1.164382579341e+00, 1.266982989098e+00, 5.201123449107e+00,                  A,-3.827215116136e+00, 1.933972306479e+00,-2.351483936423e+00,                  B, 2.340981576427e+00,-8.176123137599e+00, 2.340922416356e+00,                  A,-1.954302925904e+00, 3.288316258510e+00, 2.456269133077e+00,                  B, 3.446383898486e+00, 3.048251342820e+00, 5.792011964459e-01,                  A, 1.496978121099e+00,-3.878439494748e+00,-7.571589554060e-01
                  A,-2.502008534388e+00, 1.006672378021e+00,-5.762204562510e+00,                  B, 1.823441235456e+00, 3.107653605297e+00,-7.116088679595e-01,                  B,-4.457949886992e-01,-2.355257177390e-01, 1.745380086669e+00,                  A,-3.195932868538e+00, 2.191868623905e+00, 7.787979255133e-01,                  B,-4.447392894829e+00,-8.673509088522e-01,-2.086160714863e+00,                  A, 1.455900892248e+00,-5.475473775876e-01, 6.881084999902e-01,                  A,-5.638514331158e-01,-3.409265447594e+00, 8.959686230133e-01,                  B, 2.164643811539e+00,-1.565567938695e+00, 1.749994406400e+00
                  A,-4.135418149682e+00,-5.191018312549e-01,-7.547322973242e-01,                  A, 3.732230802683e+00,-4.058267121741e-01, 3.365791673220e+00,                  A,-7.084311932148e-01, 2.913106230282e+00, 1.449801415803e+00,                  A,-2.621350870936e-02,-3.235233590098e+00,-4.351768442772e+00,                  B, 3.225960571330e+00,-1.018299581759e+00,-3.780463880440e+00,                  B,-9.117109389856e-01,-1.246899525176e-01, 7.166227574462e-01,                  B, 2.121316820330e+00,-2.612213910003e-02,-3.170902422846e+00,                  B,-1.107424622139e+00, 1.529628676890e+00, 1.575134028921e+00
