#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  A,-1.560386943628e-01, 1.742658394317e+00, 7.159624051365e-01,                  A,-1.009454710759e+00,-9.360651498645e-01,-7.977474942689e-01,                  B, 5.369032264065e-01, 1.052608384469e+00,-1.922610598451e-01,                  B, 1.318109759669e+00,-4.244424302729e-01,-2.229988720597e+00
                  A,-1.775404774489e+00,-1.150641330623e+00,-5.716092633017e-01,                  B,-3.054362075716e+00, 5.554456036458e-01,-6.650504113686e-01,                  B, 3.415078847622e+00, 2.199480097489e-01, 3.841512077739e-01,                  A, 1.433878824286e+00, 1.563158124631e+00,-9.172709983846e-01
                  A, 9.902061661942e-01,-3.144733936983e+00,-3.586988725542e+00,                  B, 6.815251886804e-01, 4.714430666215e-01, 6.991851129795e-01,                  B,-1.433876494410e+00,-4.764072615276e-01, 9.717695487303e-01,                  A, 9.560699545731e-02,-1.854847105347e+00,-4.469561526140e-01
                  B,-7.419221042217e-01, 4.075123001790e+00, 2.285444101483e-02,                  A,-3.029914051716e-01,-3.209618465502e+00,-4.550643371361e-01,                  A,-1.152698467283e+00,-3.027815647894e-02,-7.367018643494e-01,                  B, 1.380526087099e+00,-8.126885762831e-01,-1.700694844673e-01
                  A, 1.987503944853e+00, 5.653444156645e-01,-2.974959277775e-01,                  A, 3.062207182544e-01, 4.641804313795e-01,-1.510087766893e+00,                  B,-1.183222738552e+00,-1.161313887831e+00, 2.212464751320e-01,                  B, 3.374202512274e+00,-1.665060750168e-01,-5.713158377193e-01
