#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  A, 3.786972029942e-01,-7.861308565795e-01,-3.014920278420e-01,                  A,-5.350512915523e-02, 1.888405495878e+00,-1.505505992038e+00,                  B,-1.410341030107e+00, 2.716166267379e-01, 5.106120286313e-01,                  A, 6.524517453910e-01, 1.058855414910e+00, 7.101026923894e-01,                  B, 1.135399832948e+00, 5.931914250528e-01, 1.822612313702e+00,                  A,-1.407976059415e+00, 4.640871157905e-01,-1.907257609802e+00,                  B, 2.474241776410e-01, 6.330477718594e-01,-8.449037258808e-01,                  B, 1.173968809019e+00,-5.478460556789e-01, 1.095341514420e+00
                  A, 2.625602742724e-01,-7.706670730164e-01, 1.018434179369e+00,                  A,-1.545921426590e-01,-3.293929625070e-01,-8.998807897254e-01,                  B,-2.446004781319e-01,-2.438556864665e-01,-2.173033534569e+00,                  B, 1.087393370667e+00, 5.858387595653e-01,-1.183371956016e+00,                  B, 1.623707001029e+00,-1.001591405734e+00,-7.550444982953e-01,                  A,-1.288269133808e+00, 2.095748807687e+00, 8.553104630646e-01,                  B,-1.535882986341e+00, 1.080871756361e+00,-1.252049666512e+00,                  A, 1.961587791387e+00,-1.283540394825e+00, 9.181638267518e-01
                  A,-1.324571050828e+00,-1.251105753092e+00, 4.015088150460e-01,                  B,-8.435065236263e-02, 1.392117979805e+00, 1.721122048190e+00,                  B,-1.621894765309e+00, 1.233467527104e+00,-6.882332722800e-01,                  B, 1.858953735711e+00,-5.282703842236e-01, 1.129129330483e+00,                  B,-1.348383349456e+00,-9.154618660760e-01,-1.788121394419e+00,                  A,-1.083566619447e-01,-2.176815049720e+00, 1.070398222375e+00,                  A, 8.328199538622e-01,-1.095242584447e+00, 1.024595929209e+00,                  A, 5.502077848299e-01,-9.665465716445e-01,-1.028406606632e+00
                  A, 9.453691897811e-01, 1.025258968649e+00, 1.547569581853e-01,                  B, 2.687740168687e-01,-7.233095264198e-01, 7.152895698012e-01,                  A,-1.703598840296e+00, 4.971650842090e-01,-1.072095634263e+00,                  B,-6.198072173363e-01, 1.187757834465e+00,-7.469027602040e-01,                  B,-2.407262103486e-01,-1.273699666161e+00,-3.425117905315e-01,                  A, 3.526295801819e-01,-2.214217697618e-01,-6.760170909518e-01,                  B, 6.973817863141e-01,-2.327851780241e+00,-2.003734898377e-01,                  A,-3.812326441232e-01, 3.467169047850e-01, 1.506589547814e+00
                  A, 2.875915312623e-01, 6.379835217299e-01,-2.700791064114e-01,                  B, 2.739869943320e-01, 1.594372002432e+00, 3.838790467653e-01,                  B,-1.460772069665e+00,-1.271600949423e+00,-7.318433442632e-01,                  A,-1.757891211578e+00, 1.146402307771e+00,-3.370311706185e-01,                  B, 7.822890568245e-01,-2.907575060378e+00,-2.088876294031e-01,                  B, 9.479490040744e-02,-1.615797683209e+00,-2.320021509602e-01,                  A, 1.069092591374e-01, 5.664656041158e-01, 2.460558843122e+00,                  A, 6.958987118867e-01,-2.134978128399e+00, 8.839250932661e-01
