#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B, 1.265979317336e+01, 7.119939922466e+00,-9.058169350945e+00,                  A, 3.141688317920e-01, 3.823851519992e+00,-7.140772900862e+00
                  A, 1.626805616452e+01, 2.949126802524e+00, 9.269252297060e-01,                  B,-4.667255044669e+00, 9.567788316270e+00,-1.640804101359e-01
                  B, 2.031825825771e+00,-2.885953163164e+00, 2.704100529110e+00,                  A, 1.519335368554e+00, 2.947506400596e+00, 4.733357420323e+00
                  B, 2.335008446843e+00, 3.291774969097e+00, 5.488948919650e+00,                  A, 2.913804091805e-01, 8.057350597920e+00, 7.431598632991e-01
                  A,-1.854094234717e-01,-8.477824258874e+00,-4.510779236409e+00,                  B,-7.173349010321e+00, 5.969334633878e+00, 9.555050557774e-02
