##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    B, -2.5766926695973e+00,  1.3387378096491e+00, -4.3519420044283e-02,                    A,  1.0764543889870e-01,  6.2401233221768e-01, -2.5162694176661e-01
                    B, -7.2140281180929e-01,  2.1073346429756e+00, -1.5583163377311e+00,                    A,  1.5439090324835e-01, -1.6503063210541e+00, -1.0793608018843e+00
                    A,  1.2539664859240e+00,  2.9424286279393e-01,  2.9179219607471e+00,                    B,  3.7864081711925e-01,  7.9933652271231e-01,  1.7783547431620e-01
                    B,  3.6489785286128e-01,  4.0980292070004e-01,  1.3851526968293e+00,                    A,  2.8202043692064e+00,  4.2215662849212e-01, -1.1043779237580e+00
                    B, -2.1959626305759e+00,  6.4774608785875e-01,  9.8356883641531e-01,                    A, -5.6167344406505e-01, -6.4936231307024e-01, -1.3283287311164e+00
                    B, -2.1266549257137e+00,  2.3712387089041e+00,  9.9590738647651e-01,                    A, -1.8773791228520e+00, -1.0261982352693e+00, -2.3243567038359e+00
                    A, -6.4689183042493e-01,  1.9740572209688e+00,  1.0900997347194e+00,                    B,  1.2183281918676e+00, -1.0616346603565e+00, -1.2655441722040e+00
                    A,  4.7455692770725e-01, -1.7347466217366e-01,  2.3308489945791e+00,                    B, -8.3953266766213e-01,  1.7681013215585e+00,  3.6053004540051e-01
                    A,  3.2511910040893e-01, -1.9036917302233e+00, -6.9261536557339e-01,                    B, -8.9938392667256e-02, -4.0314809694984e-01, -7.3615308788720e-01
                    B, -1.6541031959079e+00, -3.8079519970537e-01, -1.2571946651073e+00,                    A, -5.5370565780055e-01,  1.0800054927837e-01, -3.2081133024100e-01
