##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B, -2.6584067758474e+00,  1.7338059884179e+00, -1.2633042529719e+00,                    A,  5.1235310393849e-01, -5.7483983837462e-01, -1.5408337270157e+00,                    A,  2.1323648700500e-01,  2.5721444163188e-01, -1.6270627645069e-01,                    A,  6.2788523612290e-01,  2.5850135909441e+00,  1.7773535944913e+00,                    B,  1.0483336820965e+00, -3.4832023831329e-01,  1.4468457473616e-01,                    B,  2.3399331294886e+00, -3.4155317319088e-01, -6.8662288480587e-01
                    A, -2.0943885200815e-01, -3.1073585712308e+00, -6.0466070681367e-01,                    A, -6.3175583102054e-01,  1.2131451073046e+00, -4.6562749847773e-01,                    A, -1.2788202458238e+00, -1.0948224053476e+00, -2.1360157697783e+00,                    B,  1.4242756938154e+00, -7.5196558810661e-01,  2.1903144154637e-01,                    B,  1.6289553606813e-01,  5.7742838989086e-01, -2.6708027672120e-01,                    B, -2.6444820469032e+00, -1.6398876801289e+00, -5.6936111914133e-01
                    A,  2.5199044487567e+00, -1.8569264296973e+00,  1.0031294257604e+00,                    B,  3.6200087461698e-01,  8.9948836933612e-01, -1.8428674882291e+00,                    A,  1.4481205586028e+00, -2.9919022002640e+00, -1.0647933484386e-01,                    A,  1.3103964546909e+00, -3.9693225584643e+00,  2.5213264067187e+00,                    B, -2.1374512398246e+00,  2.8332937628060e-01,  6.4079396361853e-01,                    B, -8.8580996345030e-01,  3.1063419689761e-01, -7.7037237354847e-01
                    A,  5.0648118394179e-01,  1.6762628237190e+00, -4.0034792355597e-01,                    B, -1.6403168417525e+00, -9.1063396317818e-01, -2.0744218696254e+00,                    A,  1.2412506495151e+00, -3.5329733999830e-01,  1.2634576644276e+00,                    A,  8.4041337408402e-01,  1.2114066493112e+00, -2.0415357731416e+00,                    B, -1.5109461215130e+00, -8.5113966235072e-01,  8.7726353209541e-01,                    B, -4.2890857073341e-01,  2.8106398505714e+00, -1.3790180125433e+00
                    A, -6.4429957642736e-01, -1.3314793206543e+00, -2.5708269899370e+00,                    B,  5.0937430197641e-01,  2.3790722263156e-01, -1.6716554986051e+00,                    B, -2.9406279902862e-01, -8.3187017002767e-01,  3.6990415601426e-01,                    A,  2.3954485547124e-01,  1.8487120271508e+00, -2.3902803587357e+00,                    B, -6.8786921370208e-01,  1.9971999525452e+00, -1.8012911553253e-01,                    A, -1.2619833903668e+00, -8.8699718158307e-01,  1.1133811841159e+00
                    B, -9.8698071595454e-01, -3.7873265678525e-01,  1.3961050763220e+00,                    B, -4.3845489184597e-01, -1.7968438543512e+00,  2.3439859724007e+00,                    A, -1.6139906613451e+00,  1.1981414711960e+00,  1.3523195892990e+00,                    A, -7.2129930815534e-01,  2.3445424854432e+00, -2.6295484704125e+00,                    B,  2.1249264779339e+00, -1.4883434192972e+00,  2.2995075257501e-02,                    A, -5.2335391850504e-01,  3.6488522846620e-02,  3.6540038736713e-02
                    B, -5.5241770284093e-01,  1.1405936218519e+00,  3.0808204770613e+00,                    B,  5.3878323661406e-01,  2.9513556599356e-02, -1.5495738476714e-01,                    A,  6.2314830143317e-01,  1.5503206821957e+00, -2.2400293855540e+00,                    A, -1.7786542081379e+00, -8.4011980294512e-01,  1.6610453193116e+00,                    A,  1.3311906350076e+00,  3.3603389815666e-01, -8.2534430880378e-01,                    B,  3.0584392792630e+00, -4.0302017694923e-01, -1.7933949395944e+00
                    B,  1.9057426503130e-01, -1.4883294821457e+00,  4.4271356189388e-01,                    A,  7.8287211506853e-01,  2.2406985194440e+00, -1.1002688133966e+00,                    A, -1.3845403211987e+00,  1.4089101244605e+00, -1.3510104261173e+00,                    A,  8.1776914768759e-01,  2.1041371104721e+00,  1.7106955759813e+00,                    B, -1.9000655271377e+00, -2.6949148149367e-01, -2.1363317746474e+00,                    B, -1.9782273356877e+00, -2.3590378851944e+00,  1.5487474250549e+00
                    B,  2.2289005773615e+00, -2.5817937088523e+00, -1.9545005865627e+00,                    A, -1.9443163909254e+00,  5.8323326877738e-01, -8.6086606970272e-01,                    B, -5.8570437360935e-01, -1.8207482377142e+00, -7.7504332087292e-01,                    A,  2.6054102068152e+00,  3.1994878244696e+00,  9.6250727993218e-01,                    A, -6.4552332631917e-01, -5.9630491554269e-03,  1.0609360183063e+00,                    B, -1.1052640854879e-01, -5.2674600152031e-01, -2.1142660446171e-01
                    A, -8.4268125348082e-02,  2.1913005366828e-01,  1.3805043970425e+00,                    B,  2.0059064607915e+00, -2.9597461180411e+00,  9.9490336788272e-01,                    B, -1.0066188976000e+00,  5.7886057453910e-01, -2.8374116260873e-01,                    B,  9.3020743315051e-02,  7.8071659466514e-01, -1.0674176513034e+00,                    A,  1.4807317057088e+00, -1.5221052933954e+00, -5.3062433029617e-01,                    A, -2.9609389705977e+00, -2.3537402633583e+00,  4.6617523946211e-01
