#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2
                  A,-2.007901500355e+00,-3.086459769893e-01, 2.809493394538e-01,                  B, 6.229627365631e-01,-4.627317426436e-01,-2.010648699762e+00,                  B, 2.117232233160e+00, 2.628172218840e+00, 1.640822238366e-01,                  A,-1.205437727299e+00,-1.404628559775e+00,-1.393498235904e+00,                  A, 9.629173124969e-02,-3.426407526998e+00,-4.068617960436e-01,                  B, 2.202059359673e+00, 2.822598009231e-01, 1.202103485757e+00
                  A,-2.666856241575e+00, 2.472227404124e-01, 3.767374546942e-01,                  A,-2.482137243347e+00,-5.107813232024e-03,-7.255499983463e-01,                  B,-6.668675408198e-01, 7.626583142532e-01, 4.058437822415e-01,                  B, 6.897562099840e-01,-1.570044395837e+00, 1.076230468455e+00,                  A, 2.467883014788e+00, 1.044165413397e+00, 5.902658701774e-01,                  B,-7.338640938170e-01,-1.615080193094e+00, 3.899101013953e-01
                  A,-1.403447331708e+00,-1.668538375957e-01, 1.296528356880e+00,                  B,-6.253996213216e-01,-8.135899094528e-01,-3.080539609922e+00,                  A,-1.519962669826e+00,-2.357844697388e+00, 1.294669558851e+00,                  A,-1.182479548011e+00,-1.452371341813e+00,-6.058929888651e-01,                  B,-1.303775539640e-02,-1.015134321577e+00,-1.065602290597e+00,                  B, 1.458590974273e+00, 5.504354085328e-01, 1.475201741873e+00
                  B,-5.027795586255e-01, 2.489414190353e+00, 2.170309322619e-01,                  B, 1.185987301159e+00,-3.011491103809e+00,-5.591506192128e-01,                  B,-1.421864715849e-01,-6.858630858651e-01, 1.528221255668e+00,                  A, 5.202480730737e-01, 1.967821799238e+00, 1.012430811711e+00,                  A,-1.897559990456e+00,-3.736052970114e-01,-7.020411457089e-01,                  A, 1.307896677961e+00,-2.243190392266e-02,-2.538718914798e-01
                  B,-8.278375205213e-01, 1.374271068858e-01,-2.082865446483e+00,                  A, 8.959730403597e-01,-2.474489882246e+00, 1.038244937065e+00,                  B,-1.384097089053e+00,-7.282379834386e-01, 2.761554407152e-01,                  A, 3.230749346182e+00, 7.393958307968e-01,-1.362257242618e-01,                  A, 1.617474405701e+00, 8.998780664219e-01, 2.289355556758e+00,                  B, 1.054644697151e+00, 7.305795965900e-01,-3.887471123672e-01
