#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2
                  B, 2.733165439278e-01, 3.834236945726e+00,-2.530513119895e+00,                  A, 4.007158272692e-01,-7.908445085658e-01,-6.673544809622e-01
                  A, 8.646538729664e-01,-3.333299636867e-01, 1.601914794599e+00,                  B,-1.253711274387e+00, 3.664871443024e-01,-3.409475067356e+00
                  A, 2.085379942427e+00, 6.722772020360e-01,-1.229879632181e+00,                  B, 8.352308179858e-01, 1.035551738761e+00, 8.797145898285e-01
                  B,-1.218559052174e+00, 2.419193752262e+00, 1.370569403860e+00,                  A,-5.529725256015e-01,-1.538959565287e+00,-1.664574831660e-01
                  B,-5.178587654567e-01,-1.429202005933e-01,-1.659990131856e+00,                  A,-1.806737412615e-01, 4.457436140565e-01, 2.023286398467e+00
