##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B, -1.7350622611797e+00, -1.7307815393784e+00, -1.5258665023961e-01,                    B,  1.4116432436087e+00, -1.5657536196584e-02,  1.7445874214412e+00,                    B,  7.8952299491810e-01,  2.2253430482851e-01, -8.9474747125050e-01,                    A, -4.2692241441532e-01,  6.0828188233585e-01,  4.3153011791649e-01,                    A,  2.6091936829670e+00, -4.6543650383673e-01,  1.8026694250269e+00,                    A, -1.1339045570604e+00,  2.6179123870086e-01, -1.8236258755557e+00
                    A, -1.8032502298599e+00, -1.0488443017636e+00, -1.0553866561517e+00,                    A, -1.4196718597013e+00, -5.2862168364675e-01,  1.1184694778939e+00,                    B,  1.0530198037759e+00, -1.0640763375812e-01, -4.7561491761166e-01,                    B, -9.5650600323678e-01, -4.0825269271789e-01, -3.1034844723070e-02,                    B,  1.6831724907393e+00,  1.8102674741154e+00, -1.1558979678305e+00,                    A,  1.6115400307516e+00,  2.7276939545379e-01, -6.6454274560504e-01
                    A, -3.9604735046684e-01, -1.6900516798896e+00,  9.2871674508431e-01,                    B, -2.3012677548708e-01, -8.9065276974180e-01,  1.4841915162629e+00,                    B,  6.1743768864369e-01,  1.2615340256477e+00,  8.8808067416501e-02,                    A, -9.4572357366689e-01, -7.4542294572254e-01,  1.3443289755020e+00,                    B, -1.6108487880338e+00, -7.9608207059617e-01, -3.6393131086791e-01,                    A,  1.0228135303761e+00, -5.5856081172591e-01,  5.7304378648086e-01
                    B, -6.3527569207029e-01, -1.5880817731003e+00,  6.6722783352630e-01,                    A,  6.9550564000731e-01, -1.8008070395622e+00,  5.4295442478217e-01,                    A,  1.5480528455809e+00, -3.6422542350799e-01,  4.8107096666462e-02,                    B, -1.7960311517600e+00, -1.0581186262004e+00,  4.6951893171431e-01,                    A, -5.4868852883171e-01,  1.8835536867496e+00, -1.5379920085446e+00,                    B, -1.3711862333656e+00,  4.2318252753815e-01, -1.1388545192505e+00
                    B, -1.7819144626239e+00,  1.1877141461668e+00,  5.7156103920631e-01,                    B,  1.3799877692191e+00,  6.6054464831449e-01, -6.9523239553051e-01,                    A,  4.3987962411602e-02, -1.9855029860176e+00,  1.6082340809865e+00,                    A,  1.3756211192528e+00, -1.1975413723082e+00,  3.0178995091159e+00,                    B, -2.1281342533991e-01, -8.2720447603375e-02,  1.6896529730783e+00,                    A, -8.1395668034026e-01, -9.2442773043618e-01, -4.3379664601335e-01
                    A,  7.3146844630506e-01, -8.0218289082154e-01,  7.9117438680661e-01,                    A,  3.9633479559772e-01,  3.9508775939662e-02,  1.3118168484936e+00,                    B,  1.0284414543160e+00,  7.4856416302278e-01, -3.5412250507963e+00,                    A,  1.1229482702670e+00, -2.2820652767348e+00, -5.1914326037864e-01,                    B, -5.5797541878568e-01,  2.3230258302894e+00,  1.6375593848772e+00,                    B,  1.3537040024224e+00, -2.8724584101202e-01,  2.0440696638288e+00
                    A, -1.5744025083413e+00,  1.8437120560343e-01, -2.4970036489044e-01,                    A,  1.4016906201329e+00, -1.2523575595536e-01, -1.4583013922867e+00,                    B, -8.0866174639750e-01, -9.9824503970353e-01, -1.7122024020806e+00,                    B, -1.6871710902067e+00, -1.3403476929835e+00,  6.2996384054232e-01,                    B, -1.4268303067804e+00,  3.4252301683745e-01, -1.1139523044957e+00,                    A,  7.8366614323385e-01, -1.0399366093447e+00,  3.5920909660309e+00
                    B,  1.7923963957327e+00, -2.0717113034148e+00, -8.6418730660294e-01,                    B,  2.2772345926597e-01, -5.8381857272691e-01,  7.2352628520282e-01,                    A, -2.0545831552379e+00, -3.2625648239756e-02, -1.1678861500435e+00,                    A,  1.7731356243670e+00, -3.1496148453758e+00, -1.6017640855976e-01,                    B,  2.2055015719317e+00, -7.6015837232990e-01,  8.5601658779132e-01,                    A, -8.6637036333584e-01, -2.3725015259040e+00,  5.9166343423380e-01
                    B, -1.0784954025888e+00,  3.2286416640118e+00,  2.9315375139011e+00,                    A,  4.8872658569136e-01, -1.2372964125294e+00, -2.5360957292022e-01,                    A,  1.0075455457170e+00,  7.6331384891977e-01, -8.3094403798159e-01,                    B, -5.4539519900811e-01,  8.3647358666479e-01,  2.0647741021864e+00,                    A,  3.5890990527056e-01,  5.4554882281376e-01,  3.8333840280923e-01,                    B, -2.2335445977935e+00, -5.5123632996939e-01,  1.1575387496676e+00
                    B,  1.2346920893099e+00, -1.1419997985487e-01, -2.9772708870068e-01,                    A, -7.9551847198050e-01, -1.1752263914668e+00, -9.2364691901351e-01,                    B, -5.8707100064046e-01,  1.4355055134502e+00, -4.2014136400021e-01,                    B, -5.3344057921662e-01, -7.3044363863317e-01, -3.8985835793138e-01,                    A, -4.9122043268832e-01, -2.3839198316924e-01, -2.3245655906170e+00,                    A, -2.9537438586506e+00,  2.1764052934570e-01,  1.0947524404746e+00
