#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2
                  B, 2.556805732788e+00, 1.077276028485e+00,-2.149933957776e+00,                  A,-1.024643281039e+00,-4.655180671624e+00,-5.323072045501e-01,                  B, 3.753938417287e-01, 2.782224535597e+00,-1.161144244474e+00,                  A,-3.030490475313e-01,-1.006376310026e+00,-1.650285158847e+00
                  A,-4.595751145546e-01,-3.983340064656e-01, 5.194726729391e-01,                  A, 1.290874569219e+00, 1.529662217627e+00, 9.201624761281e-01,                  B,-7.152752057386e-03, 1.728886537756e+00, 1.103196270115e+00,                  B,-1.259592444437e+00, 2.896128420244e+00,-2.236952026687e+00
                  B,-5.410272631241e-01, 1.315704365486e+00,-2.175076017033e+00,                  A, 4.737358778499e+00,-8.161103200409e-01,-6.294868098688e-01,                  A, 1.159005796795e-01, 3.637250653113e+00,-6.928318143820e-01,                  B,-9.952469939388e-02, 1.438283037400e+00,-7.912284232052e-01
                  B,-8.732621496727e-01, 3.056027946126e+00,-2.601202917984e+00,                  A, 1.197652883303e+00, 2.744917683433e+00, 4.762684023462e+00,                  B,-3.370975412100e+00,-7.959432438387e-01, 3.434245007283e+00,                  A,-4.614094864356e+00,-5.320277328848e-01, 1.299739248618e+00
                  B,-1.232355923289e+00, 2.846603323650e+00, 2.730853688084e+00,                  A,-1.077020113514e+00,-2.445697604750e+00,-1.081584190877e+00,                  B,-1.084824064335e+00, 2.032936495142e-01, 8.163563638745e-01,                  A,-4.362475903084e-01, 8.708825107875e-02, 2.690568610197e+00
