##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2,            p8 flavor,                p8 x0,                p8 x1,                p8 x2,            p9 flavor,                p9 x0,                p9 x1,                p9 x2,           p10 flavor,               p10 x0,               p10 x1,               p10 x2,           p11 flavor,               p11 x0,               p11 x1,               p11 x2
                    B,  3.2279302159014e-01, -5.7298478750287e-01,  3.4181815205756e-01,                    A, -8.9821451666815e-01, -1.7536722840278e+00,  3.6867270461338e+00,                    B,  7.9506287446101e-02,  6.0775060902905e-01, -2.2816993593143e+00,                    A,  3.6623596160580e+00,  1.7430062732357e+00, -3.4085745567710e+00,                    B,  9.4918917552165e-02, -2.5705804573876e+00, -2.7173039491464e+00,                    A,  7.4400532731615e-02,  1.2071321866618e+00, -4.5198357398168e-01,                    A,  1.5758485827157e+00,  2.7325949083845e-01,  4.4009233767195e-01,                    B,  1.8573233328856e+00,  8.4338017358446e-01, -2.5141096277729e+00,                    A, -2.8952221327425e+00,  2.0690629662215e+00, -5.8700493320862e-01,                    A, -1.1880872121201e+00, -1.2321889273224e+00, -8.8110870075294e-01,                    B,  5.8394485337434e-01, -1.0364140077053e+00,  2.5640928349401e+00,                    B, -2.6316135281573e+00, -1.7877748258591e+00,  1.4498274492095e+00
                    A, -5.7670292901010e-01, -1.3030676695038e+00,  3.5556022275761e-02,                    A,  9.2435027207972e-01, -3.8379706487760e-01,  2.2568830492360e+00,                    A,  2.2718894759772e+00, -7.5003027758713e-01, -2.3625764544413e+00,                    B, -2.5495434027180e-01,  7.0962301602267e-02, -4.3181740623630e+00,                    B, -5.0306821642329e-01,  8.1680354524246e-01,  4.6018052332335e-01,                    B,  2.0819429594851e+00, -1.3444940749249e+00,  1.3281451177360e+00,                    A, -5.6249269221130e-01,  2.0341574583252e+00, -3.2836219708601e-02,                    B, -3.5646715085922e-01, -4.2367947353991e+00, -3.7792968558900e+00,                    B,  7.9293168530466e-01, -2.3241627408623e+00, -2.1410533835046e+00,                    B,  3.7760057632154e+00,  2.1702822970115e+00, -1.1217750003722e+00,                    A, -4.9883612905301e-01, -2.8232039907299e+00, -1.0890372308557e+00,                    A,  1.3980728766102e+00,  4.5978905352803e-01, -2.3593645766285e+00
                    A, -7.4192088305784e-02, -3.8092347148007e+00,  3.9749313495120e+00,                    B, -1.4486924925202e-01, -7.8349310203462e-01, -2.5252994951324e-01,                    A, -8.2164834326751e-01,  4.9048300071808e+00,  1.6168025302820e+00,                    B, -1.2768523318355e+00,  3.1544761723137e-01,  9.4601586528835e-01,                    A,  5.7850217215462e-01,  1.6678761476246e+00, -4.6619888610111e-01,                    A, -4.4479507005857e-01,  2.4735556967826e+00, -5.6838908824211e-01,                    B,  1.8444425255055e+00, -3.8613146045376e-03, -3.3234178334881e+00,                    A, -5.8642707110474e-01, -1.9706547705313e+00,  2.1990329369585e+00,                    A, -1.6264548725840e+00, -1.3271920321310e+00, -1.8495680413702e+00,                    B, -4.3975305844798e-01, -9.9920053772309e-01,  1.2195785810309e+00,                    B, -7.9686919769786e-01,  9.8319039003177e-01, -7.2872486405786e-01,                    B,  1.9175452223100e+00,  1.2644163178029e+00,  2.0855250221860e+00
                    B,  3.1867547254407e+00,  1.1379957194502e+00, -1.0405495459123e+00,                    B, -8.1031559772171e-01,  2.3898276703458e+00, -2.7339629937163e-01,                    A, -2.0140931949502e+00,  2.6826345529253e+00,  2.6221774848416e-01,                    B, -2.5590063065441e+00, -8.4408383795567e-01, -5.3825313358844e-02,                    A, -8.4918716971428e-01, -3.4768000038881e-01, -3.7430932980857e-01,                    B,  1.8700038156725e+00,  5.7978063601783e-01,  2.2155737957100e+00,                    A,  3.0537895915219e+00, -2.2098818062677e+00, -2.7530228691541e+00,                    A,  2.0085729135947e+00,  3.3512683590158e-01,  1.3314915472383e+00,                    B, -1.9245323953701e+00, -7.8588586632004e-01,  4.1022160567227e+00,                    A, -5.0712142831903e-01, -4.4879846366288e-01,  1.3432577900960e+00,                    B, -1.2262590652904e+00, -1.2983250531612e+00,  3.4816622776694e-01,                    A,  7.2354135672764e-01, -3.2963330880515e-01,  2.1168332532333e+00
                    A, -1.0579782102053e-01, -1.8984386070613e-01, -1.4792551255383e+00,                    A, -4.0308407740550e+00,  2.0977149801986e+00,  2.8067749035656e+00,                    A,  2.6826893015838e+00, -1.5654042696172e+00, -2.2600253242174e+00,                    B,  2.7142963229513e-01,  1.2550856217809e+00,  8.8567648319694e-01,                    A, -1.6272521260981e+00,  2.7026277058906e-01,  1.9109324478277e+00,                    B, -2.0212327571678e+00, -1.8100901860408e+00,  2.5787269533877e+00,                    A, -1.4549886129460e-01, -2.3907153463277e+00, -9.3460909021014e-01,                    A,  4.5487546402350e-02, -8.1380747839279e-01,  5.8417354995862e-01,                    B,  1.3396558382367e+00,  3.3487256764925e-01, -2.9974616975270e+00,                    B, -2.7240198771433e+00,  8.0729076149955e-01,  5.2615381673141e-01,                    B, -2.2547315755660e+00,  7.6915759999929e-01, -1.7484338817113e+00,                    B, -1.0091227685381e+00,  1.1495603006898e+00, -1.0214268039542e+00
                    A, -2.7302672402048e-02, -1.2562634240102e+00,  2.0779473881620e+00,                    B,  4.7785279837982e+00,  1.9580834731256e+00, -1.6160459806077e+00,                    A,  2.7514738885344e-01,  2.3367406844203e+00,  2.3239054180271e+00,                    B,  7.3322991125991e-01, -4.0311912222343e-01,  2.7560323846305e+00,                    A, -4.5312419883875e+00,  5.6595261266076e-01, -9.6019065485251e-01,                    A,  1.9454737079365e-01,  7.7777457456730e-01,  2.7409319992493e-02,                    A, -1.4139157095713e+00, -4.2498359539831e-01, -1.8256652697710e+00,                    A,  1.4678463171542e+00, -2.0299844417011e+00,  2.0453446402557e+00,                    B,  1.3622368813064e+00, -2.2829856571036e+00,  9.5771550430006e-01,                    B, -7.5840739216033e-01, -2.3113021596489e+00, -1.2839683479048e+00,                    B,  1.7050115775839e+00,  1.5188054260253e+00, -7.5767363180740e-01,                    B,  3.1068901001825e+00,  6.6866199536361e-01,  3.2530309942527e-01
                    B,  1.2230725011651e-01, -8.5541635836489e-01,  9.9844166471210e-01,                    A,  3.0503809801575e+00, -3.2367951443594e+00,  3.4862387724398e+00,                    B, -6.8780403846533e-01,  1.3521001594598e+00,  2.5629029240967e+00,                    A, -2.0864201242075e+00, -1.4948424995021e+00,  2.8016880495769e+00,                    A,  4.4870238590349e-01, -3.0340980637651e-01, -1.4512228785788e-01,                    B, -4.2522773568786e+00, -1.6651819112618e+00,  2.6462309267311e+00,                    B,  5.5986808832022e-01,  5.2661481305704e-01, -2.0666936469560e+00,                    A, -1.8764856514565e+00, -7.3883816183300e-01, -9.3030039298058e-01,                    A,  2.2668022623320e+00, -2.1700021193608e+00, -5.5566003259387e+00,                    B, -7.1800670117890e-01,  2.8454235449777e+00, -9.7961850359561e-01,                    B, -4.6651959586949e+00,  1.0406780844767e+00, -6.2204507839384e-01,                    A,  1.7917319691410e+00, -3.8559403878933e-01, -1.0634921623751e+00
                    B, -1.6272793017599e-01,  1.9686762171445e-01,  2.4881164867926e+00,                    A, -1.5933213423132e+00,  2.4574842167659e+00, -7.8673960981995e-02,                    A, -1.2996042853559e+00,  1.2173015822767e+00,  2.6052384768281e-01,                    A, -1.8948631373394e+00,  4.0880021246831e-01,  4.0370204381714e+00,                    A,  1.0705652363130e+00,  2.6729981408181e+00, -9.1732198156835e-01,                    B, -2.1050513732751e-01, -2.0149029006925e+00,  2.6264890287250e+00,                    B, -1.0397697927171e+00,  2.2476900614803e+00,  1.8279540477403e+00,                    B,  2.6491392675166e+00,  5.4943953189239e-01, -1.3307226623706e+00,                    B,  1.5897728166584e-01,  3.2130597431299e+00,  2.3617450316100e-01,                    A, -1.7790457395049e+00, -6.2929844316624e-02, -1.3963802752559e+00,                    B,  1.6448055086372e+00,  2.6017437906947e+00,  6.5751359908731e-01,                    A,  2.0256841833517e+00, -8.6087802463280e-01,  3.8572172590434e+00
                    A,  1.1125595399103e+00,  1.1703003053544e+00, -1.9597753432000e+00,                    A, -1.6047761259355e-01,  4.5614666934876e+00,  4.6659552595284e-01,                    B,  2.3583466524100e+00,  1.4681631120061e-02, -1.3073377564885e+00,                    A,  1.3767873031073e+00, -3.8787013391155e+00,  1.7589061919936e+00,                    B,  1.7512078418513e+00, -2.0164247867480e+00,  1.5055685291603e+00,                    B,  1.8505742926733e+00,  2.0308109615255e+00,  1.6025824148889e+00,                    A, -1.5733747059542e-01, -8.8155283006045e-01,  2.8802931736979e-01,                    A, -1.0393158058150e+00,  2.5006083617733e+00,  4.0346752902134e-01,                    B, -1.6539647255644e+00,  3.9511367993630e-01,  2.0466292405464e+00,                    B,  1.5736293609201e+00, -1.7420500150798e+00, -1.6907262456670e+00,                    A, -2.6674031172429e+00, -3.5786449930461e+00, -2.0972565235618e+00,                    B,  1.6421767925727e-01, -4.1144411969204e-01,  1.9710513984558e+00
                    A, -1.5917131975519e+00,  9.2207856301952e-01,  6.9653122137162e-01,                    A, -1.2286561048510e+00,  2.5874228107734e+00,  1.8208789949721e+00,                    A,  7.7936406432105e-01,  1.2968290798141e+00, -1.0497791703557e+00,                    B,  4.7228937957528e-02,  3.3770820927994e+00,  5.0205597017055e-01,                    B,  2.2952883012965e+00, -1.4337293458902e+00, -1.8678759991253e+00,                    B, -2.7586742351001e+00, -1.2216064841012e+00, -1.3792160589680e+00,                    B, -9.3359066980904e-01,  1.8025846343809e-01, -1.5742546726538e+00,                    B, -1.9983920877682e+00,  2.7910035110107e+00, -1.2893800888245e+00,                    A,  7.4051275467705e-01, -1.9695037114349e+00, -3.1136090010543e+00,                    A, -4.4808410033300e+00, -2.0568533029336e+00,  6.7685401617692e-01,                    A, -9.0381244582469e-01,  1.5089890229459e+00, -1.7010697216780e+00,                    B,  1.4595163487031e+00,  2.1605758351806e+00, -4.0412059777756e-01
