##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B, -1.5462294530251e+00,  1.7774879640937e+00, -1.2752819490213e+00,                    A,  4.8285780586236e-01,  2.4670006643902e+00, -4.5826212005665e-01,                    B, -5.2150126202248e-01,  2.1047331529749e+00,  1.1609269989664e+00,                    B, -2.3928609680551e+00,  1.6721417811446e+00,  1.5836432664171e+00,                    A, -2.0617182813845e-01, -4.2478629734551e-01, -1.8329452369665e+00,                    A, -1.5316210952549e+00,  1.2070821475229e+00,  2.0406445740294e+00
                    A, -1.6738897449007e+00,  2.0998905666127e+00,  2.4269472150112e-01,                    A, -2.4454823647276e+00, -1.7323744029092e+00, -1.7696888797467e+00,                    B,  3.0172188679630e+00,  2.1817770680860e-01,  8.3443872400333e-01,                    A, -7.3965319020514e-02,  2.4614331475820e+00, -6.9463986886653e-01,                    B, -5.1643930357173e-01,  1.1654835187840e-01,  1.1829681768108e+00,                    B, -1.3975615003338e+00, -4.2898330380778e-01, -1.0776781750495e+00
                    A,  7.9726078122614e-01,  1.2463356479127e+00,  7.8583904068550e-01,                    A,  7.9263380659765e-01,  1.7803667312865e+00, -8.9086962695650e-01,                    B,  2.2100278242489e+00,  2.6288406266423e+00,  9.1599458049980e-01,                    B,  2.4398732011892e+00,  4.4875697340964e-01,  2.1972920482566e+00,                    A, -2.4121415643312e-01,  2.3146889754561e-01,  1.5310436476353e-01,                    B,  1.1366838686721e+00, -3.1487378462353e+00, -2.8789915786514e-01
                    A,  3.2936955142604e+00, -2.0804071621009e-01,  1.0362655340660e+00,                    A, -1.6580868535671e+00, -1.0036956746467e+00, -1.5819051432330e+00,                    B, -1.0169286414779e-01, -1.0864172623085e+00, -3.1810547998070e-01,                    B, -5.6100627062944e-02,  2.2150755405772e+00, -7.5338663941511e-01,                    B, -1.6130016492531e+00, -2.6352801981721e-01,  2.5513116268974e-01,                    A, -2.9838774461220e+00, -1.2743966755190e-01, -2.0516094723004e+00
                    A,  1.0687860821832e+00,  2.7817857332376e+00,  8.6339690021729e-01,                    B, -1.7579731171186e+00, -1.0240016818096e+00,  9.9070549346947e-01,                    B, -7.1039657387637e-01,  6.0627692050879e-01, -2.1766194930766e+00,                    B, -1.9858349572969e+00, -1.7792198289539e+00,  3.4150143053975e-01,                    A,  1.0551842481417e-01,  1.1803906389696e+00,  1.3176288975028e+00,                    A,  1.1642005961230e+00, -5.5490528592394e-01,  1.0051297695572e+00
                    A,  2.7419324610898e-01,  2.1148436672404e+00,  1.6999432899729e+00,                    B,  3.5335780878146e-02, -1.8192079283895e-01,  2.0438022705844e+00,                    A, -1.0186076656269e+00,  1.3376230518053e+00,  4.0172045064710e-01,                    B, -1.7168749802103e+00, -2.5150191015082e-01, -1.1882020748764e-01,                    B,  1.3534796652061e+00, -1.3119534120210e-01,  4.2169969627015e-01,                    A, -1.0454199929809e+00, -3.5070145939378e+00,  1.2382663285429e-01
                    B,  9.3335874268101e-01,  6.3839129272397e-01, -1.7925432964662e-01,                    B,  2.6378562731238e-01, -1.5507143945469e-01,  1.2794322471128e+00,                    A, -1.5639855616636e+00, -1.1282553103746e+00, -1.8635735185666e+00,                    A,  4.3241772221146e-02, -3.4826878432325e-01, -5.4363268846247e-01,                    A, -2.2682579264076e+00,  9.8561780055716e-01,  2.3871361648640e-01,                    B, -1.4773023835528e+00,  1.4910317164949e-01,  2.7810854867316e+00
                    A,  1.3656511943616e-01,  2.1023473170871e+00,  4.9201017172115e-01,                    B,  8.4315036624706e-01,  9.4061731987514e-02,  5.9416563103602e-01,                    B,  8.7921083531997e-01, -2.5404452913497e+00, -6.2025834834507e-02,                    A, -9.9052081244332e-01,  5.7863579752824e-01, -9.9711693342950e-01,                    A,  1.6559486656649e+00,  2.0322846893864e-01, -1.9238006654197e+00,                    B,  5.5457872966807e-01, -1.9458489663340e+00,  3.4519139939362e+00
                    B, -1.9212133465755e+00,  1.1650085355700e+00, -2.5873537155452e+00,                    A, -7.1647362828658e-02, -1.4454855273424e+00,  9.2890290235945e-01,                    A,  1.4023271525690e+00, -9.6409334426555e-01, -1.3735903958690e+00,                    A, -2.7472971608187e-01,  1.1207570709854e+00, -4.6411330255303e-01,                    B, -1.8664080553351e+00, -2.4028078764566e+00, -9.3128849195536e-01,                    B,  1.6171337277278e+00,  2.8763148997392e+00, -1.9293085783697e+00
                    A,  2.9200466306984e-01,  1.6853608400404e-01, -2.2586920628888e+00,                    A,  1.1191605030075e+00, -6.0856976613990e-01,  1.2552280216738e+00,                    B, -5.3100891898974e-02,  1.0740424686460e+00, -3.8230464902026e-02,                    B,  1.1063512596825e+00, -1.0930892681772e+00,  1.2862224720960e-01,                    A, -1.4841757878935e+00, -1.8163941319569e+00,  1.8846518069664e+00,                    B, -4.8605160985944e-02, -1.8295072736647e+00,  2.1744921641835e+00
