##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2,            p8 flavor,                p8 x0,                p8 x1,                p8 x2,            p9 flavor,                p9 x0,                p9 x1,                p9 x2,           p10 flavor,               p10 x0,               p10 x1,               p10 x2,           p11 flavor,               p11 x0,               p11 x1,               p11 x2
                    A, -2.0831297784687e+00,  6.0510909224684e-01,  2.5915863942225e+00,                    B, -1.5289235234435e+00,  2.2250936001477e+00, -1.9731365333440e+00,                    A, -1.1410343821517e+00, -3.0954467988208e+00, -1.0342530244887e+00,                    A, -9.4770689475402e-03, -5.6675533835061e-01, -2.3529448977056e+00,                    A,  9.6359561299698e-01,  1.2304431678892e+00,  1.3911632807342e+00,                    B,  1.5477323448825e+00, -2.3813561450573e+00, -8.4398783633247e-01,                    B, -1.5407577047850e+00,  3.2070601965892e-02, -2.4646504599877e+00,                    A, -1.9836375676633e+00, -1.5105432888590e+00, -6.5547657802641e-01,                    A,  1.5930792123849e-01, -1.3802266533848e+00,  8.4724650736511e-02,                    B,  2.4678551399749e+00, -1.6772229569437e-02, -2.3816766043116e+00,                    B,  8.7886493218372e-01,  2.3127286638595e+00, -9.6150102894889e-01,                    B, -1.8138388089121e+00, -1.4533370936004e+00, -1.5606404359880e+00
                    A,  1.4314475240908e-01,  5.7617585527362e-02,  1.5814501765559e-01,                    A, -2.8509548070343e-01, -2.5205094887832e+00, -1.4716438929146e+00,                    B,  2.8707138111621e+00,  1.2280808019058e+00,  1.9702083728284e-01,                    A,  7.5851750955454e-01,  6.0935482220555e-01, -5.5030846176037e-01,                    A, -1.1576922147172e+00, -1.6938182722197e-02, -1.2270696052030e+00,                    B, -4.7051843924457e+00, -1.6589955067907e-02, -7.8438682591739e-01,                    A,  2.0779100692932e+00, -1.1020354247144e+00,  1.4348049790113e+00,                    B,  3.9947376615448e-01, -1.8924926365975e+00,  5.6757731396216e-01,                    A,  1.0961570114005e+00,  5.7756900623182e-01,  1.4871637942485e+00,                    B, -1.0074497474319e+00, -1.3152367169280e+00,  5.5040856801808e-01,                    B,  3.3347321826070e+00,  5.0784844119472e-02,  5.6441075283240e-01,                    B,  9.8974880807534e-01,  8.5984063563498e-01, -2.9544784200271e+00
                    B,  7.3632261962663e-01,  1.0999208011877e+00, -1.0747515016513e+00,                    A, -2.5584565354566e+00, -1.6308995636368e+00,  2.8211362499620e-01,                    A, -3.2679976603330e+00,  6.4002114127277e-01, -3.1795876781735e-01,                    A, -2.3585312483406e+00, -7.7102755088997e-02, -1.7906189429273e+00,                    B,  1.7090020070435e+00,  1.6531445914820e+00,  1.1776671261872e+00,                    B, -4.4979618144545e+00, -2.2786601904997e+00,  4.8928507660274e-01,                    A, -1.6149224413240e+00,  2.1899811894651e-01, -5.9218711021520e-01,                    A,  2.4106224561210e+00,  4.5618892052288e-01,  1.1131301001231e+00,                    B,  4.8594456614360e-01, -1.5849977877165e-01, -1.0561774432058e+00,                    B,  3.1185169765163e-01,  2.4299345630272e-01,  5.1884262065355e-01,                    A, -2.4493190467241e-01,  5.0997108654550e-01, -2.1951102371336e+00,                    B,  1.8743638714829e+00, -1.0265480052692e+00, -1.5828811214206e+00
                    B,  2.8105750382871e-02,  2.3266975329849e+00,  4.1196546237725e+00,                    A, -1.7000746868567e+00,  7.1392558813852e-01, -2.4122761782240e+00,                    B, -1.0607586055189e+00, -1.1172336676416e+00, -3.2537288580005e+00,                    A, -1.5407662515686e+00,  2.1075655797319e+00, -9.5070514286875e-01,                    A,  6.5022489888929e-02,  1.1936485319432e+00, -6.3659887132818e-01,                    A,  4.6544317596876e-01, -1.8019731382993e+00,  7.8046553607250e-01,                    B,  2.8991314373598e+00,  8.8225262147724e-01,  3.7545216596530e-01,                    A,  3.0764674693612e+00,  2.3745344455482e+00, -3.1819896835375e+00,                    B,  1.4715543082484e+00, -2.3122958347459e-02,  9.2389037333438e-01,                    B, -3.3074764869716e+00,  1.5610115304633e+00,  3.7682341483423e+00,                    B, -8.8264437174548e-01, -2.2213805593132e+00,  5.3876436946799e-01,                    A,  2.9113739873852e-01, -8.6844154113730e-01, -5.4743267062903e-01
                    A, -6.6165360994985e-01, -1.0073589917164e+00, -3.6877120104695e+00,                    A,  1.4763343360152e+00, -1.5866950283005e+00,  4.8772565531718e-01,                    B,  1.3238822365785e-01,  2.7737021077228e+00, -1.8660149830442e+00,                    B,  9.0500400173636e-01, -2.9965610908922e-01, -3.5717773668177e-01,                    B,  2.4927157081506e+00, -7.5807631470298e-01, -4.7289218121971e-01,                    A,  1.5494776135212e-01, -1.2634305609201e+00,  1.3349669493951e+00,                    B, -4.3542202347842e-01,  3.6025091550402e+00, -2.8360592872224e+00,                    A, -1.3177500838023e+00, -4.2951313130057e-01, -7.2869006585740e-01,                    B, -3.3532304861199e+00,  2.0079923261184e+00,  8.3386430774420e-02,                    B,  8.4505268647969e-01,  3.3032913876326e+00,  5.7354165792971e-02,                    A,  1.8278335691818e+00, -3.1135023133199e+00, -1.9947224772170e+00,                    A,  2.4341243947708e+00, -2.1490777809102e-01, -3.2237645800694e+00
                    B,  1.8261019245579e+00,  1.0610032607632e+00,  3.8015448386195e+00,                    A,  3.7719274703457e+00, -2.5540152120958e+00,  1.8009607802344e-01,                    B, -2.3285173956598e+00, -1.3101808953835e-01, -2.0931799476179e+00,                    A, -3.1260293427624e+00, -6.6724652939351e-01, -1.3838070939662e+00,                    B, -2.3262128673394e+00,  5.8639815307776e-01,  8.4332526155704e-02,                    A,  1.4540197366594e+00,  2.8193741437435e-01,  1.2022529907668e+00,                    B,  3.7295498088953e-01, -2.8018545635860e-01, -7.4367702914109e-01,                    A, -1.4851327542049e+00, -1.3719002701606e+00,  8.7420906634046e-01,                    A, -1.2987030799356e+00,  1.5340866305685e+00, -3.9559669261397e-02,                    B,  2.4032524567061e+00, -2.4778645207025e+00,  1.7784778258768e+00,                    B, -2.7807626459865e+00,  9.1326195709657e-01,  2.7973389321142e+00,                    A,  1.0048734515614e+00,  2.6205275796611e+00,  1.3075028849262e+00
                    A, -8.2387002078385e-01,  1.9173429779215e+00, -9.1611656742274e-01,                    B, -1.1688386365369e-01, -8.7097729866466e-01, -1.5414706232537e+00,                    A,  6.0822649060970e-01,  5.7998559748499e-02, -1.3444997390473e+00,                    A, -2.4087964183807e+00,  5.7763316345518e-01, -2.9998660596455e+00,                    A,  2.4026118398485e+00, -2.8630398383450e+00,  1.8972664051765e+00,                    A, -1.7979450756415e+00,  5.5417633610970e-01,  1.9741046609619e+00,                    B,  4.5130367109231e-01, -1.5556528797492e+00,  4.8265438420418e+00,                    B, -5.6021332804425e-01,  1.4978258777412e+00,  1.4178532212682e+00,                    B, -4.9031091465277e-02,  3.4371920015834e+00,  1.6009411878691e+00,                    B, -3.3854668078597e+00,  7.3036041607069e-02, -1.9884968577355e-01,                    A, -7.9033088193247e-01, -1.7610273696790e+00,  2.2317219364173e-01,                    B,  3.1290584848505e-01,  3.2086403140847e+00, -4.2998291514194e+00
                    B,  2.6825009944616e+00,  2.7959185294381e-01,  1.3200494829033e+00,                    A,  1.0109947645911e+00,  2.2662222594540e+00, -4.5043111628803e-01,                    A,  1.4171637891479e+00, -3.7275885701355e-01,  2.5032382317891e-02,                    B,  3.8200486818309e+00, -1.7271531791256e-02, -3.0613509983087e+00,                    A,  6.3918203427046e-01, -4.4772472869516e-01,  1.9794043576737e+00,                    B, -4.2540269171306e-01,  4.7093904791615e-01, -1.1258021376146e+00,                    B,  8.3134378758124e-01, -1.8973498081961e+00, -2.6196969778533e+00,                    B,  1.0039161063202e+00,  1.4996745701089e+00,  2.0614222888626e+00,                    B,  4.7618976975929e-02, -2.1118151937026e+00,  1.1670298830416e+00,                    A, -8.2452471674384e-01,  6.9182671883820e-02,  3.6516318642288e-01,                    A, -4.7805033773515e+00, -5.2234491789495e-01, -1.1757075240014e+00,                    A,  1.6114260841911e+00,  2.1613307595644e-01, -1.9301879602969e+00
                    B, -1.0761741248178e-01,  3.1769442553087e-01,  8.4595581719248e-01,                    B,  7.0402580150770e-01, -9.1687658928738e-01,  3.2014711287556e+00,                    A, -2.3690158406594e+00,  1.7332657122267e+00, -2.7968203061299e-01,                    A,  1.2045051622479e+00, -7.0182523659960e-01, -3.1478293506767e-01,                    B, -7.7684709570942e-01, -1.3487434919394e-01, -2.3112599508282e-01,                    A,  6.4471326474334e-01,  1.1313452592548e+00, -3.0677276772265e-01,                    B,  2.4710737061653e+00,  2.4146084990916e+00,  4.2365844642270e-01,                    A, -1.9387105646312e+00,  6.8721299630031e-01, -8.9106026499392e-01,                    B, -1.2004313447956e+00,  4.5612212990939e+00, -2.2277129456954e+00,                    B,  2.0997350347373e+00,  2.7405423766330e+00, -2.7640196106292e+00,                    A,  1.2807151047498e+00,  1.3857242447063e+00,  2.4331294398583e+00,                    A, -1.1376784440604e+00, -1.8498091002109e+00, -2.3772160762896e+00
                    A,  1.8036103337565e+00,  6.6390310467145e-01,  1.0418991379896e+00,                    B, -5.1733791337574e-01,  2.7913410805755e-01, -6.0454152770160e-01,                    B,  3.0417915376156e+00,  2.7251641853889e+00, -1.2175838566999e+00,                    A, -1.5128253725991e+00,  1.3352278506280e+00, -1.0576227189820e+00,                    A,  8.9431481938829e-01, -1.3190943691016e+00, -3.8865046835727e-01,                    A, -1.7477602132993e+00, -3.6821307273446e+00,  2.6891207329500e-01,                    A, -1.8887688413621e-01,  3.7985546650457e-01, -2.9890124778320e+00,                    B, -2.3420212366209e-01,  1.8889942282053e+00,  7.8308953698661e-01,                    A, -1.3913905770754e+00, -2.3105170327374e-01, -8.9010464798410e-01,                    B, -3.2119268190277e+00,  5.0464681255438e-01,  4.0983113256240e-01,                    B,  2.0399054704901e+00, -1.2800557218354e+00, -2.3556879413719e-01,                    B,  3.5350514777011e+00,  3.5362568120982e+00, -2.0672222055731e+00
