##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2
                    A, -4.9681408052164e-01,  3.6041265296011e+00,  1.4751323736801e+00,                    B,  5.1869299551952e+00,  1.2959436006636e+00,  1.5327892067994e+00
                    B,  4.6661272301538e-01,  5.5034947654310e-01, -5.4738046091996e-01,                    A, -3.9721348460775e+00,  1.4935165643951e+00, -6.9357005948131e+00
                    B,  4.1066359035490e+00, -2.7785874337273e-01,  3.1665565737101e+00,                    A,  9.7464557691386e-01,  7.7270973205764e+00, -1.3873081861047e+00
                    A, -2.5290676769933e-01,  2.5323086027576e+00,  3.5430076878669e-01,                    B, -5.5973111846637e+00, -4.3789088429771e+00, -7.4561204651845e-01
                    A,  1.6046104758359e+00,  1.1539967522443e+00, -2.1146156703023e+00,                    B, -2.1904076064060e+00, -5.8327355864109e-02, -3.9650122903366e-01
                    B,  2.7778487688298e+00, -6.4061608819470e+00,  3.4891891113679e+00,                    A,  1.1456587605419e+00, -1.9146318315880e+00, -1.4287360375370e+00
                    B, -7.1216565050472e-01,  5.2977127872180e+00,  1.2568630318932e+00,                    A,  3.3093225875880e+00, -3.6660961770387e+00, -8.0194673712837e-01
                    B,  1.8684204533544e+00, -1.2915942626162e+00,  8.1831224911644e-01,                    A, -3.0406220830470e+00,  4.1009161974261e+00, -2.4851114240762e+00
                    B,  9.0368218417871e-01, -4.1114882558616e+00,  1.0869308666392e+00,                    A, -1.2932543574347e+00,  3.7853787681217e+00, -4.0728813741209e+00
                    A,  7.1941774387754e-01, -9.5541610302159e-01,  2.2896403955666e+00,                    B, -1.7968153499464e-01,  2.4638471026704e+00, -2.5334766988460e+00
