##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A,  1.2468942944752e+00, -9.1244361448691e-01, -9.1911878271381e-01,                    A,  2.0655195538916e+00,  1.9066542225734e+00,  1.3744915658391e+00,                    A, -1.4452145765193e+00,  1.8684896317478e-01, -1.4511675309070e+00,                    B, -5.2583831476576e-01,  2.3725228975967e+00,  1.1546645940525e+00,                    B,  1.7806339896673e+00, -5.8473223585094e+00, -5.2654943111541e-01,                    B,  2.0346339170759e+00, -3.9582518428945e-01,  2.0213931995160e+00,                    A, -5.4938334303818e-01, -2.7870388179648e+00,  5.6993438054013e-01,                    B,  3.0617987999974e-01,  8.5989503564726e-01,  1.0260306051989e+00
                    A, -3.3396421448702e+00, -6.9535214583358e-01, -4.5918684816070e-01,                    B, -6.0235549974498e-01,  1.3995283798908e+00, -1.2267355190348e+00,                    A,  1.0856384093416e-01, -1.0300223945298e+00, -6.1057520439217e-01,                    A, -3.0400301893772e-01,  3.0614437714341e-03,  1.9832704669626e+00,                    B,  4.7465515277934e-01, -1.3937545681822e+00,  7.2901050658538e-01,                    A,  1.3817745826842e+00, -1.9546539315499e+00, -1.3336518176281e+00,                    B, -1.7443678159166e+00,  1.0356294489472e-01, -1.0261542579860e-01,                    B, -1.5731615065271e+00, -2.2516336650444e+00, -3.3326392024718e-02
                    B,  1.1999633907529e+00,  3.8526529097790e-01, -6.2191905610947e-01,                    B, -1.5094477927886e+00, -6.8049706536843e-02,  1.8488002920359e+00,                    A, -8.6133276572525e-02,  7.0087053092194e-01, -2.0410976138608e+00,                    A,  1.2325580640896e+00, -1.7030392575890e+00, -1.6498057718433e-02,                    B, -4.6844646627737e-01,  2.8920094085732e+00, -4.2097955230891e-01,                    A,  1.2235385956923e+00, -8.8383185341655e-01, -1.0348886683722e+00,                    B, -1.2949434574020e+00, -1.9606548617692e+00, -6.7732158180916e-01,                    A,  6.5951209550984e-01,  9.4998268785118e-01,  2.1503680958002e+00
                    B, -3.2287516812374e+00, -1.6622907809106e+00, -1.0893503232209e+00,                    A,  1.9991666989562e+00,  6.6080632408285e-01,  1.6624494770763e+00,                    B, -1.5942555242807e-01,  1.1163880088986e+00,  2.6576096021728e+00,                    A,  1.7735288369070e+00,  7.6460247388844e-01, -1.5702100331939e+00,                    A, -4.0055046586622e-01,  1.2414151584669e-01, -1.0172311163906e+00,                    B, -1.4817257676004e+00,  1.9560876378753e+00,  1.8742957985046e+00,                    A, -1.5565655517657e+00, -3.9712406783826e-01,  1.7264302879398e+00,                    B,  1.8995089444284e+00,  3.1628725162827e+00,  8.5368622527800e-01
                    B,  1.0342782479570e+00,  2.4822840669421e+00, -2.2144812803009e+00,                    A,  1.6329547523817e+00,  1.0244222803726e+00,  2.6677432077544e+00,                    B,  1.0338551568505e-01, -1.3849875468478e+00,  3.0352959203435e-01,                    A,  2.8656548088087e-02, -1.9399280951278e+00,  4.4478315020178e+00,                    A, -9.9131538436892e-01, -1.3175661056890e+00,  8.1253322848466e-01,                    B, -2.8188444534332e-01,  1.6305753077599e-02,  3.4246275821101e+00,                    A,  8.5886452251337e-01,  4.0657137800002e-02, -7.3032192477712e-01,                    B, -2.8913243397622e-01,  4.3738683162667e-01, -1.2567945778658e+00
                    A, -1.9444234932943e+00,  1.1057465985030e+00, -1.1176292160528e+00,                    B,  1.9174038741509e+00, -5.3944215749564e-01,  1.5323989663704e+00,                    A, -7.1568429256566e-01, -1.1297324367709e+00, -1.4653838745610e+00,                    B, -3.1224476000361e+00, -1.9728940121159e+00,  6.4797044380420e-01,                    B, -8.6626110119761e-01, -2.5900846508992e-01, -5.8313248938910e-01,                    B,  9.7914858192957e-01, -4.7490049071937e-01, -5.2985862952721e-01,                    A,  1.3627649147178e+00, -1.2513139900570e+00, -2.8911768154706e+00,                    A, -3.7040709623197e+00, -4.5522242904774e-01, -3.5950385226048e+00
                    B, -2.4713135368387e+00, -1.1809174734870e+00,  1.7213873721124e+00,                    B, -1.7871700181792e+00, -9.8671395255838e-03,  2.5374441690490e+00,                    B,  2.6170248531610e-01, -2.8419966305590e+00,  3.8916575107444e-03,                    A, -3.9736833591563e-02,  5.7681262156508e-01,  1.6524583878185e+00,                    A,  1.3313840283447e+00,  1.1497210773475e+00,  1.6847396408979e+00,                    A, -5.2692362660516e-01,  2.2037939360631e+00, -1.7975199690846e+00,                    A,  1.4628891967505e-01,  3.3244255674384e-01, -4.1496167278143e-01,                    B, -2.7006138372211e+00, -1.3901807930286e-01, -9.1106818684780e-01
                    B, -3.0072411948114e+00, -6.6974050649305e-01, -3.1887502785336e-01,                    B, -2.9678209574385e+00, -2.1618018594953e+00, -1.9498128737491e+00,                    B,  1.4908569565246e+00,  1.7624283466405e+00, -1.6132743057665e+00,                    B,  2.3092595539696e+00, -1.3931569806750e+00, -8.4968104261660e-01,                    A,  3.4896944992301e-02, -6.8534342514484e-01, -3.1088175335113e-01,                    A, -4.0534398551576e-01,  1.1382779284994e+00,  7.3205553505103e-01,                    A, -2.0783229792585e+00,  3.4123097681827e+00, -2.4812850714994e+00,                    A,  1.8363179838753e+00, -6.2266474275535e-01, -1.9666999122376e+00
                    A,  3.0086978932983e+00,  1.5240602435062e+00, -3.9769982104440e-01,                    B,  3.2095778206582e+00, -3.6992675060398e-02, -1.5667382389610e+00,                    B,  1.2520879189995e+00,  5.9800947294731e-01,  1.1386871669790e+00,                    B, -1.1384016854000e+00,  1.5324009601012e+00,  3.8479715664174e-01,                    A,  1.5874900708695e+00,  4.4975841554771e-01, -6.7725127240858e-01,                    A,  8.6671969701179e-01, -6.1595432617357e-01,  1.3340451003601e+00,                    A, -1.7021545650811e+00,  2.1239143366349e-01, -1.2954679459567e+00,                    B, -1.7289180245999e+00, -4.4592181297296e-01,  1.5623081014247e+00
                    A,  3.7146879493205e-01,  1.3168862997056e+00, -9.4508963379252e-01,                    A,  2.4627884757473e-01,  2.0999823403593e-01, -2.6447895153294e+00,                    B, -2.8688308534225e+00, -2.4998408730862e-01,  4.7844758950266e-01,                    A,  1.3453727084171e-01,  1.6697778410459e-01,  1.4803837450405e+00,                    A,  1.0824976611824e-01, -2.9671249037276e+00, -8.7816565525274e-01,                    B,  3.7338785516143e-01,  2.3426053076798e+00, -1.4359649911945e-01,                    B,  2.0693930809447e-01, -2.8348584345545e+00,  1.1901998755238e+00,                    B, -1.2015221075273e+00,  3.2240819535340e+00,  1.1373964281014e-01
