#         p0 flavor,              p0 x0,              p0 x1,              p0 x2,          p1 flavor,              p1 x0,              p1 x1,              p1 x2,          p2 flavor,              p2 x0,              p2 x1,              p2 x2,          p3 flavor,              p3 x0,              p3 x1,              p3 x2,          p4 flavor,              p4 x0,              p4 x1,              p4 x2,          p5 flavor,              p5 x0,              p5 x1,              p5 x2,          p6 flavor,              p6 x0,              p6 x1,              p6 x2,          p7 flavor,              p7 x0,              p7 x1,              p7 x2
                  B, 2.128153058285e+00, 2.994228651597e-01,-1.324306607076e+00,                  B,-1.369883741350e+00,-2.413083064585e+00, 1.837197561087e+00,                  A,-5.563458998727e-01,-1.190737474156e+00, 2.211329397475e-01,                  B,-1.107089748948e+00,-2.725412842852e+00, 1.645641134638e+00,                  A,-1.092376318018e+00,-5.423306222749e-01, 3.040531947119e+00,                  B,-7.801132598251e-01,-1.102234733165e+00,-1.198677640368e+00,                  A, 4.132307856686e-01,-4.002371141931e-01, 2.564701155254e+00,                  A, 2.865210976587e+00,-1.778792244465e+00,-6.311158393094e-01
                  B, 7.021631880847e-02, 4.478949121595e-01,-5.839894232153e-01,                  A, 4.462230501107e-01,-2.199465473303e+00, 2.698255470763e+00,                  A,-3.538748590938e-01,-1.555515014462e+00, 8.141963080496e-01,                  A,-4.314695315588e-01,-7.701585309243e-01,-3.731152685903e-01,                  B,-9.597990005153e-01,-1.188891566480e+00, 1.846356362375e+00,                  B,-1.092456599816e+00, 3.371036997607e-01, 4.538044553878e-01,                  A, 4.285786372040e-01,-8.405293213965e-01, 2.723500830387e-01,                  B, 3.053088035460e+00,-3.600262915001e-02, 1.706981153863e+00
                  B, 4.431383822565e-01, 1.509634912348e+00,-1.313949342353e+00,                  A,-1.065665728098e+00, 9.238915217450e-01,-3.044992855278e+00,                  B, 1.456440139476e+00,-1.635118024119e+00, 1.076099031501e+00,                  B,-1.936226932043e+00, 7.345855633005e-01,-2.780122560714e+00,                  A,-1.181160278773e+00,-1.019517477972e+00,-3.326184005633e-01,                  A,-1.027069223852e+00,-2.764187759893e+00,-4.448240552902e-01,                  A,-4.587304228311e-01,-3.697060849141e-01,-1.718236913503e+00,                  B, 1.748345791185e+00, 9.105335471898e-01,-5.378343510177e-01
                  A, 9.561289727883e-01, 1.241584527042e+00, 1.300386764518e-01,                  B, 1.713318602219e-01, 5.725287500797e-01, 2.986297199409e+00,                  B, 2.383219329848e+00,-5.188442975867e-01,-2.617902462428e-01,                  A, 1.889551485843e-01, 7.104636898639e-01, 1.529696089346e+00,                  A, 1.247346600988e+00, 4.901984099227e-01,-1.252091461985e+00,                  A, 2.097187581496e+00, 2.689143763822e-01,-1.847808850962e+00,                  B,-2.532009106268e+00, 1.001398058731e+00,-3.136998469986e+00,                  B, 9.198691900554e-01,-1.117049245868e+00,-8.126791617199e-01
                  B, 6.067226702716e-01,-1.508969474223e+00,-1.938500691279e+00,                  B,-2.127064129438e+00, 4.305607358676e-01,-9.293564407693e-01,                  A,-5.795402143673e-02,-7.516276021093e-01,-2.251104665592e+00,                  A,-5.874874937208e-01,-3.782807209342e-01, 9.361380239128e-01,                  A, 1.670628228209e+00,-1.270849346591e+00, 1.764589821836e+00,                  B, 1.339402227236e-02, 1.409034209852e+00,-6.489792113544e-01,                  B,-5.786540179830e-01,-1.356109694957e+00,-8.401644993721e-01,                  A, 2.234308186619e+00, 5.754746214741e-01, 1.083634350943e+00
