##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    B, -2.6717101611439e+00, -1.6092157343529e+00, -1.6274285358442e+00,                    A,  3.3303663178716e-02, -1.4999898584302e+00,  2.8514650250197e+00,                    A, -1.0074822562158e+00, -2.4792662019532e+00,  2.0337306928185e+00,                    A,  5.2261127004658e-01,  1.8781796512527e+00, -9.1338570691795e-01,                    B,  1.0467042721404e+00, -1.0737449311725e+00,  1.0834071161166e+00,                    B, -1.1720898560383e+00, -1.6594803699781e+00,  3.2834469663623e+00,                    A, -9.2375266667648e-01,  2.2750601869366e+00,  1.3224532707725e+00,                    B, -1.1604552643189e+00, -5.1936044616256e-01, -4.3852306299043e-01
                    B,  4.8412391771843e-01,  1.1191951401298e-01, -1.2136718806789e+00,                    A,  1.9379718480005e-01, -9.4509658616382e-02, -3.8303248685854e+00,                    B, -4.1121680443932e-01,  1.7270067213002e+00,  1.1475124154238e+00,                    A, -1.8720046062473e+00, -1.6659037309902e+00, -1.2221747192290e+00,                    B,  1.7460195111103e+00,  8.5009340893023e-01,  2.0264331474848e+00,                    B, -3.0846115735071e-01,  1.6518624412912e+00, -3.1820521614119e+00,                    A, -1.6573739374123e+00,  9.8574803360231e-01, -3.3487174971772e-01,                    A,  5.7433282739315e-01,  1.1054018551596e+00,  5.1769748930108e-01
                    A,  1.2927080947240e+00, -7.8933056740738e-01, -5.8493598727926e-01,                    B, -2.6903057017577e+00,  1.6347392359991e-01, -1.2646206682702e+00,                    A, -1.7373893228066e-01,  6.0902432291191e-01, -2.5166633177555e+00,                    B, -4.8299426321166e-01, -3.9121235990745e-01, -1.0985417437354e+00,                    A, -5.6541616136495e-01,  2.3493436121163e-01,  1.9507427534216e+00,                    B, -2.2528140542041e+00, -8.8171248423146e-01,  7.5167272375450e-01,                    A, -1.2791698565866e+00,  2.7241372402530e-01,  1.8723556047857e-01,                    B,  1.3661815445713e+00,  5.6699859866706e-01, -1.0115797802353e+00
                    B, -1.5056403107910e+00,  2.1967419828035e+00,  3.0011646726302e+00,                    A,  2.4529136295010e-01, -3.5555479055004e+00, -7.0366125745484e-01,                    B,  8.1931371556582e-01, -7.9359900407267e-01, -3.2568194237244e+00,                    A,  7.7470644967880e-02,  1.2147939747812e+00,  3.7685196932483e-01,                    A,  4.7168888478670e-01, -8.0500223393102e-01, -1.0297591920238e-01,                    A,  1.6608671279192e+00, -2.5210394133548e+00, -5.2681716059115e-01,                    B, -5.6742937016676e-01, -1.7117740062785e+00,  1.4019568724326e+00,                    B, -7.4390484121736e-01, -8.7078963166852e-01, -2.3052400660871e+00
                    A,  4.4526684388153e+00,  9.8327799895556e-01, -2.0592942442092e+00,                    B,  2.3231096846107e-01, -1.7505412246817e+00,  8.3243594410578e-01,                    B,  2.0284975140299e+00, -3.4157450187005e+00,  2.8777001859998e-01,                    A,  1.0772224165480e+00,  2.3079541607498e+00, -3.7461504644408e+00,                    A,  1.5820064840027e+00, -1.1040242768474e+00, -3.0964865811101e-01,                    A, -5.4634532822792e-01, -5.5139480877715e-01, -2.6940381435129e+00,                    B,  2.8421745973437e-01,  2.7762573462677e+00, -1.1168107788482e+00,                    B,  9.7463567647439e-01,  3.9528122416893e-01,  1.7515544786607e+00
                    A, -1.4333058720731e+00,  1.5562167704083e+00, -4.8136511921480e-02,                    B,  3.5183806635522e-01, -2.5401433571056e+00, -4.3907300587449e+00,                    A,  1.0558095225855e+00, -8.5470468678515e-01, -2.1647235076880e+00,                    B,  3.2381973422056e-01,  1.5356942235164e+00, -2.3780289789464e+00,                    B,  1.6144219977739e+00,  1.2530718056454e+00, -2.3195622386364e-01,                    A,  2.8748322129583e+00,  5.6560492048824e-01,  8.6707864621128e-01,                    B, -3.1493359231608e+00,  3.3883838134768e+00, -3.8590751793509e-01,                    A, -1.1178825486708e+00,  5.3948689911629e-01, -1.4475522227013e+00
                    B, -1.1463781979763e+00,  2.6785444836908e+00,  5.6945749747805e-01,                    A, -6.9893415086626e-02,  1.3687112151848e+00,  2.9490578315207e-01,                    B, -3.7637085137473e-01, -2.7518559231112e-01, -2.9256959622292e+00,                    A, -1.5562513805396e+00, -2.6462630859372e+00, -3.9806944922536e-01,                    B,  1.2156244539156e+00,  4.7807523985850e+00, -2.7240308650390e+00,                    B, -6.0391114926351e-01,  4.0025292544544e+00,  6.4663312416210e-01,                    A,  5.3553231973408e-01,  4.0238231019667e+00,  1.1654335622849e+00,                    A,  1.3087015582278e+00, -1.4553536991927e+00,  3.8426531053366e-02
                    A,  8.6182650821151e-01,  1.2932776239190e+00, -4.3313684426740e-01,                    B, -1.6424608881864e+00,  5.3482075176398e-01,  2.9596796053923e+00,                    B,  3.6363420232060e-01,  3.5685300100520e+00, -5.0470427663670e-01,                    B, -1.0448232545570e+00, -2.1404491527712e-01, -2.3751081716919e+00,                    B, -4.7693154326923e-01,  1.2321383704677e-01,  4.4570569293058e-01,                    A, -4.9761980952745e-01,  1.7609683170353e+00,  5.3692004709863e-01,                    A,  6.4268518311538e-02,  2.1604552625654e+00, -4.4943148635644e-01,                    A, -1.0187525010472e-01, -8.2551175328457e-01, -1.0125147725885e+00
                    A, -1.1669238242353e+00, -7.7940530643955e-01, -1.4957123784091e+00,                    A,  2.6075374445695e+00,  2.9595688515705e+00,  3.7130525464166e+00,                    B, -1.8112444477044e+00,  7.0476494357724e-01, -2.9853206794496e+00,                    B,  1.5067189485173e-01, -9.8733304618948e-01,  7.5300336215658e-01,                    B, -1.3456615971954e+00, -1.4174332063099e+00,  2.4555739847831e-01,                    A, -8.9392552603938e-01,  9.9859341340020e-01,  3.9602208125623e+00,                    A,  3.9384408867987e-01,  1.7189203955621e+00, -2.4434697079548e+00,                    B, -1.2103072390798e+00, -1.7176777085372e-01,  9.4149978532264e-01
                    B, -1.7590015288990e-01,  1.6605179452522e+00,  5.0512184930602e-01,                    A,  1.4695874437264e+00, -2.1149866646604e+00,  2.2638641189268e+00,                    A, -3.0464803734259e-01,  3.4547819996694e+00, -9.7076945846430e-02,                    B, -8.1616318840675e-02, -2.2080833520047e+00,  6.1849095668559e-03,                    B,  4.4457638783533e-01, -1.3237758252334e-01, -3.4530086220054e+00,                    A,  3.7043436941630e+00, -4.2761205979704e-02,  6.4924174446903e-01,                    A, -1.6613730363231e-01,  1.0867630681291e+00, -5.7764910305726e-01,                    B, -3.0049624859989e-02, -5.3250771181007e-01, -1.3170367450985e+00
