##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2,            p6 flavor,                p6 x0,                p6 x1,                p6 x2,            p7 flavor,                p7 x0,                p7 x1,                p7 x2
                    A, -9.3011173677818e-01, -4.7759838123869e-01,  1.5219980638839e+00,                    A,  1.1256318226536e+00, -3.7054054969469e+00, -2.3741091618483e+00,                    A, -4.1513053036074e-01,  4.1200204832943e-01, -3.2784248399704e+00,                    B,  2.4953117422911e+00, -2.0094947648663e+00,  1.8708187186225e+00,                    B, -4.0009816671611e+00, -5.6824365944129e-01,  4.2274737368603e+00,                    B,  1.2924875803933e+00,  1.0934370598396e+00, -2.7922298003301e+00,                    A,  3.2110424282128e+00,  5.0322564727372e-01, -4.5324565179067e-01,                    B, -1.9475293048814e+00,  2.0145059192538e-01, -3.3109817770376e+00
                    B,  5.7049615384333e+00,  3.2012649416351e+00,  1.1843550919621e+00,                    B, -1.5563359029685e+00,  4.0455566263968e+00,  4.5636240719554e-01,                    A, -4.3512550315214e-01, -5.2335565479865e-01,  8.5275501481112e-01,                    A, -2.1279895527599e+00, -2.4378924887674e+00, -8.2620435005275e-01,                    A,  3.9138858677178e+00,  2.4068486514340e-01,  3.3024326900393e+00,                    B,  5.6044476261916e-01,  2.5182133964828e+00,  1.9731053796408e-01,                    B, -2.8634381922007e+00,  2.8566154000428e+00,  2.8158009590740e+00,                    A, -3.7466541123577e+00,  1.1691261888753e+00, -8.5832494458834e-01
                    A, -8.3980351878116e-01, -1.5834102320719e+00,  1.6412758914248e+00,                    A,  1.9387861066942e+00, -1.8055426866446e+00,  3.3534909287561e+00,                    B, -3.1837795098367e+00, -8.3594932197769e-01, -5.6433847682796e+00,                    B, -3.0915908077570e-01,  3.3920265771273e-01,  3.4393418385135e+00,                    A, -1.5205238601852e+00, -5.1307329090012e-01, -8.8829172194826e-01,                    B,  1.9088605270563e+00,  5.0073728165216e-01,  5.4217325992341e-01,                    A, -2.1683760320285e-01, -9.1374694278044e-01, -2.0794536356281e+00,                    B, -1.7645436763788e+00, -5.0573108909153e+00,  7.2270910248379e-01
                    A,  2.0702122438415e+00, -1.0116858480311e+00, -2.7054079573860e+00,                    A, -1.4633680767725e+00,  2.8652808896613e+00,  3.9069379578885e+00,                    A, -1.0086099656542e+00, -1.9349796829418e+00,  5.4877075710581e+00,                    B, -1.1060869373835e+00,  2.3150978619727e+00, -4.3192340942612e-01,                    B, -1.8965264185989e+00, -4.3152266372584e-03, -1.3329891654385e-01,                    B, -2.7548276694421e-01, -2.1930584595266e+00,  2.5116509145784e-01,                    A, -7.8044387559851e-01,  5.2232263486365e+00, -2.9045359629608e+00,                    B,  1.6378575239469e+00, -3.8050292364504e+00,  5.4715735755065e-02
                    B, -1.7472267232074e+00,  1.3424895671994e+00,  3.1460964471127e+00,                    A,  3.8125892322115e-01, -4.8570228409516e+00,  1.7832544997716e+00,                    A, -2.1517022161286e+00, -5.8888318153095e+00, -2.7038630829654e+00,                    A, -1.8483549279873e+00, -2.0544379650434e-01,  1.2058329688585e-02,                    B, -7.8203996560632e-01, -1.9976066242082e+00,  5.1825148392534e-01,                    B,  2.7653187476891e-01, -4.2656226158353e+00, -2.7854080909092e+00,                    A,  3.6665356344033e+00,  8.6813818750683e-01, -2.7596619978940e+00,                    B, -3.2563584886795e+00,  1.8683299017418e+00, -3.8766755636587e+00
                    B,  1.4325202982887e+00, -2.5886308260206e+00,  1.1910566054708e+00,                    A, -5.1114432143633e-01,  3.3491871660248e-01,  1.3384439775579e+00,                    B,  7.1030061163717e-01,  7.2450710550191e+00, -5.4223275950164e+00,                    A, -2.9062765175168e+00, -7.3539340320811e-01,  1.9747282245485e+00,                    A,  2.6414543110432e+00, -1.0993513167160e+00,  5.9802696118648e+00,                    B, -1.3997161009146e+00, -1.8320348334593e+00, -1.9558510986746e-01,                    B,  8.2388608487919e+00, -2.3649308290168e+00, -3.6200163647389e+00,                    A, -6.3978741032873e+00,  2.4536495179101e+00,  3.1225265851460e+00
                    B,  1.1844334707832e+00,  1.3182734945027e+00,  5.1082269594837e+00,                    A,  2.9702940189683e-01, -5.2504688657678e-01, -5.2438676075127e-01,                    A, -4.0087737544538e+00,  4.0972936872886e+00,  2.8675141025906e+00,                    A,  5.4528447781319e+00, -6.0123769709402e+00,  2.7649100931927e+00,                    B, -5.6249456646941e-01,  9.9596542530487e-01,  3.3208932523178e+00,                    B,  3.6968010799557e-01, -1.1373673473406e+00, -1.3866642067711e+00,                    B,  1.4729810982589e+00,  4.4878172004959e+00, -1.7343374243988e+00,                    A, -2.3112287276823e+00,  1.3155954191974e+00, -2.5655598381005e+00
                    A, -2.6789297720896e+00, -1.1399280838710e+00, -2.6371009762793e+00,                    A, -4.6541591850546e-01,  3.5217105844059e+00,  2.1084731828386e+00,                    B, -9.2445299841195e-01,  3.9081830772437e+00, -1.3212674392408e+00,                    B,  1.1591955427524e+00,  2.2468635297703e+00, -3.6622330328679e-01,                    A,  1.1839268731636e+00, -1.1500173461719e+00,  2.1380660968375e-01,                    B,  1.4818519999161e+00, -1.9748779341222e+00,  1.1465848114953e+00,                    A,  2.9572654399260e+00,  2.7922939467188e+00,  1.8812751206212e-01,                    B, -1.6894199635575e+00,  1.4123880760307e+00, -9.4623884272184e-01
                    A,  2.8248787196507e+00, -1.0916686019308e+00,  2.4901311989808e+00,                    B, -2.2846530922496e+00, -2.0209379006555e+00,  7.8579594699108e+00,                    A, -2.6440311927987e+00,  3.3299761912179e+00,  1.1954679262019e+00,                    A, -1.1641714077313e+00,  1.4172441847000e+00, -6.5584438632853e-01,                    B, -1.6833576769944e+00,  1.2780845944117e+00,  4.5717955445257e+00,                    A,  8.5356685790652e-01,  2.4457039726789e+00,  1.5354132096272e+00,                    B, -2.3083442417723e-01,  2.5232972947597e+00, -6.9375099725667e-01,                    B, -3.8039413742384e+00,  9.5590131872355e-01, -8.1393798158091e-01
                    A, -5.5262756557706e-01,  1.6925505503146e+00,  1.1242736895673e+00,                    B,  5.7876258102447e-01,  1.1537285182564e-01, -3.9218521142478e+00,                    A, -3.2250812007563e-01, -1.5473463296069e-01, -7.1456779363507e+00,                    B, -3.7124901873900e-01, -2.0918973061699e+00,  1.2706960986303e+00,                    A,  3.2335556124446e+00, -2.6521769746619e+00, -3.4999260222235e+00,                    B,  1.4533111920748e+00,  4.1844885538985e+00, -1.1627215645870e+00,                    A, -4.5698229028584e+00, -4.4555987850810e+00,  1.5693757874440e+00,                    B,  2.8841920642128e+00, -2.2263581506652e+00,  8.0210591377613e-01
