##           p0 flavor,                p0 x0,                p0 x1,                p0 x2,            p1 flavor,                p1 x0,                p1 x1,                p1 x2,            p2 flavor,                p2 x0,                p2 x1,                p2 x2,            p3 flavor,                p3 x0,                p3 x1,                p3 x2,            p4 flavor,                p4 x0,                p4 x1,                p4 x2,            p5 flavor,                p5 x0,                p5 x1,                p5 x2
                    B,  2.5310625361557e+00,  6.0624850511791e-01, -2.8527180246502e-01,                    A, -1.3041407581912e+00,  1.7024376444372e+00, -2.2701253141873e+00,                    B, -5.4040399241465e-02, -1.9827200093143e+00,  8.5915664833458e-01,                    A, -4.6069625741229e-01,  5.7917028369009e-01,  1.7922337350372e+00,                    B,  9.1721457510947e-01,  9.1932846343700e-01,  9.8689016150738e-01,                    A, -8.7813786651361e-01,  3.4102902003820e-01,  3.3017347035665e-01
                    A, -8.9922625916965e-01,  7.1793319428695e-03,  1.3579010753311e+00,                    B,  1.3079657099983e+00,  2.6327323606354e+00,  1.5404048812372e+00,                    B, -5.4198595860451e-01,  1.0507393318622e+00,  5.6013168343333e-01,                    A,  1.9214831376294e-01,  1.1347500436743e+00, -1.3218523343955e+00,                    A,  5.2958133608422e-02, -3.4213126418682e-02,  5.4165555326759e-01,                    B, -1.5072963675181e+00,  1.1119151630480e+00, -5.3903846525940e-01
                    A,  2.4193681283838e+00,  3.0982163272745e-01,  1.1071056601653e+00,                    A,  6.4558169902996e-02, -1.5114792896940e+00,  1.7705448714190e-01,                    B,  7.3804398931650e-01, -1.3818235118896e+00, -2.6737211457742e+00,                    B, -3.9189202695332e-01, -3.0526473972155e-01, -1.4714592358525e+00,                    B, -9.6261365970022e-01, -3.2090348365302e-02,  3.9916291881945e-01,                    A, -8.0983983320659e-01,  1.5282939414563e+00,  3.0936277227397e-01
                    A, -2.3052343347696e+00, -1.4752355285283e+00,  2.3528285828195e-01,                    B,  2.5512874815376e+00, -9.0781858000040e-01,  1.4062623236635e+00,                    B, -1.0723311160535e+00, -2.1856370382127e+00,  1.7220379452344e+00,                    B, -8.2698288925841e-01,  8.5766230583662e-01, -6.0810689114336e-01,                    A,  9.9824821918195e-01,  4.9040824663932e-01, -7.2653235721874e-01,                    A, -1.8932424805084e-01, -7.8008578165840e-01, -3.7618620239530e-01
                    B, -5.5054000430461e-02, -8.8777661897421e-01,  9.2532238637235e-01,                    B, -1.0643592241718e+00, -1.2571856435873e+00,  7.8270420015532e-01,                    A,  7.3905389513762e-01,  4.0064986824624e-01,  1.1419608098021e+00,                    A,  7.1087457765003e-01, -1.2015768647240e+00, -3.3188194861149e-01,                    A, -5.0559801859676e-01,  1.2476527479688e+00, -3.6837769921021e-01,                    B,  2.1807895824418e+00, -1.9301582947361e-01, -1.2379229289061e+00
                    A,  1.5538359592617e+00, -1.0815330726680e+00,  6.7827509928133e-01,                    B, -4.2619150817228e-01, -9.5504911069865e-02, -3.4940038500350e-02,                    B, -1.0645964635914e+00, -1.1724918698474e+00, -3.9218236115409e-01,                    B, -1.2035679881750e+00, -3.0150697223098e-01, -9.9016566723105e-01,                    A, -3.2370964594655e-01, -8.4124425786261e-01, -2.0934970745388e+00,                    A, -2.0228962353793e+00, -1.5215849188507e-01,  1.0914435890051e+00
                    B, -9.2960734947433e-01, -2.9131554608839e+00, -8.1995331174123e-02,                    A, -8.2158111962413e-01, -8.4187141232332e-01,  1.0330835550683e+00,                    B, -5.4656211049624e-01, -9.0493939361925e-01, -2.3788050168902e+00,                    B,  6.7509460181143e-01, -2.5160619905726e-01,  1.2300402444519e+00,                    A, -9.5683742999908e-01, -8.8678365428434e-01, -9.5969241396731e-01,                    A,  1.3086899739481e+00, -1.2579243207206e+00, -1.4976518305114e+00
                    A, -9.3770170637447e-01,  1.5203278722966e+00,  3.3634781733449e-01,                    B, -4.0808084729530e-01,  7.4296372346971e-01,  2.3282379727051e+00,                    B,  1.4452303224226e-01, -1.9926305779354e+00, -2.2244453367690e-01,                    A, -7.9883518011483e-01,  2.5486479704087e+00, -8.5093287394017e-01,                    A,  8.3119337172641e-01, -1.9500316748212e+00,  6.4021319379384e-01,                    B,  6.9162585948876e-01,  2.0097295707620e+00,  8.1589756305804e-01
                    B,  1.3832816936005e+00, -1.5051141548699e+00,  1.8749162602404e+00,                    B,  2.3578982827984e+00,  1.5792537346792e+00,  1.7418534677416e+00,                    A,  1.6262703065001e-02,  3.7311172937291e-01,  5.0507426484450e-01,                    A,  3.7396020293971e-01, -5.3744026497048e-01, -9.3757365008698e-01,                    B, -1.3815163243682e+00, -2.6633388888581e-02,  9.8982164667268e-01,                    A, -9.3345471463188e-01,  1.0096218539608e+00,  3.8065321753357e-01
                    A,  1.4829667146014e-01, -2.2384621473552e-01, -1.0419973555592e+00,                    B, -2.3311981004399e+00,  4.6005172141562e-01,  1.0074415259870e-01,                    B,  1.2026511764970e+00, -3.3468619948091e-01,  3.1513975306317e+00,                    B, -8.3722954855474e-01, -2.2086940099257e+00, -2.0266460592634e-02,                    A,  1.2314979093688e+00,  1.8060387428070e-01,  9.5823288550008e-01,                    A, -1.9290296386406e+00,  1.5116569239783e+00, -1.5939965350923e+00
